garde#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
british;British;;;;;;;;;;;;;x
romanian;Romanian;;;;;;;;;;;;;x
lichtensteiner;Lichtensteiner;;;;;;;;;;;;;x
romani;Romani;;;;;;;;;x
brittannic;Brittannic;;;;;;;;;;;;;x
austrian;Austrian;;;;;;;;;x
pomoran;Pomoran;;;;;;;;;x
amriqi;Amriqi;;;;;;;;;x
gallo;Gallo;;;;;;;;;x
macedonian;Macedonian;;;;;;;;;x
skanian;Skanian;;;;;;;;;x
belgian;Belgian;;;;;;;;;x
muscovite;Muscovite;;;;;;;;;x
pietrovan;Pietrovan;;;;;;;;;x
swiss;Swiss;;;;;;;;;;;;;x
bavarian;Bavarian;;;;;;;;;;;;;x
rheinlander;Rheinlander;;;;;;;;;;;;;x
brandenburger;Brandenburger;;;;;;;;;;;;;x
swabian;Swabian;;;;;;;;;;;;;x
prussian;Prussian;;;;;;;;;;;;;x
berliner;Berliner;;;;;;;;;;;;;x
danzigian;Danzigian;;;;;;;;;;;;;x
koningsberger;Koningsberger;;;;;;;;;;;;;x
schleswigvolk;Schleswigvolk;;;;;;;;;;;;;x
germanic;German;;;;;;;;;;;;;x
farlander;Farlander;;;;;;;;;;;;;x
french;French;;;;;;;;;;;;;x
corsu;Corsu;;;;;;;;;;;;;x
francophone;Francophone;;;;;;;;;;;;;x
apeninian;Apeninian;;;;;;;;;;;;;x
sard;Sard;;;;;;;;;;;;;x
sicilian;Sicilian;Sicilian;;;;;;;;;;;;x
bengali;Bengali;;;;;;;;;;;;;x
assamese;Assamese;;;;;;;;;;;;;x
panjabi;Punjabi;;;;;;;;;;;;;x
assyrian;Assyrian;;;;;;;;;;;;;x
german_saxon;Saxon;;;;;;;;;;;;;x
castilian;Castilian;;;;;;;;;;;;;x
galician;Galician;;;;;;;;;;;;;x
argonese;Argonese;;;;;;;;;;;;;x
andalusian;Andalusian;;;;;;;;;;;;;x
Belgian;Belgian;;;;;;;;;;;;;x
luxembourgish;Luxembourgish;;;;;;;;;;;;;x
nord;Nord;;;;;;;;;;;;;x
islander;Islander;;;;;;;;;;;;;x
slovenian;Slovenian;;;;;;;;;;;;;x
west_german;West German;;;;;;;;;;;;;x
czech;Czech;;;;;;;;;;;;;x
ukrainer;Ukrainer;;;;;;;;;;;;;x
cossack;Cossack;;;;;;;;;;;;;x
moldavian;Moldavian;;;;;;;;;;;;;x
aragonese;Aragonese;;;;;;;;;;;;;x
sanmarinese;San Marinese;;;;;;;;;;;;;x
israeli;Israeli;;;;;;;;;;;;;x
karelian;Karelian;;;;;;;;;;;;;x
yemeni;Yemeni;;;;;;;;;x
omani;Omani;;;;;;;;;x
iraqi;Mashriqi;;;;;;;;;x
hazar;Hazari;;;;;;;;;x
khorasani;Khorasani;;;;;;;;;x
persian;Farsi;;;;;;;;;x
kazakh;Batys;;;;;;;;;x
alagol;Alagolan;;;;;;;;;x
ontustani;Ontustani;;;;;;;;;x
anatolian_group;Anatolian;;;;;;;;;x
aral_group;Aral;;;;;;;;;x
old_welsh;Old Welsh;;;;;;;;;x
westlander;Westlander;;;;;;;;;x
bielaruskaja;Belarussian;;;;;;;;;x
cypriote;Cypriote;;;;;;;;;x
khorasani;Khorasani;;;;;;;;;x
azerbaijani;Azeri;;;;;;;;;x
nogai;Kumyk;;;;;;;;;x
caucasian;Caucasian;;;;;;;;;x
icelander;Icelandic;;;;;;;;;x
greenlander;Grenlander;;;;;;;;;x
saran;Saran;;;;;;;;;x
nigeren;Nigeren;;;;;;;;;x
fulani;Fulani;;;;;;;;;x
tuareg;Tuareg;;;;;;;;;x
malian;Malian;;;;;;;;;x
chechen;Chechen;;;;;;;;;x
kalmyk;Kalmyk;;;;;;;;;x
turkmen;Turkmen;;;;;;;;;x
sibiran;West Sibiran;;;;;;;;;x
volgar;Permiak;;;;;;;;;x
hui;Hui;;;;;;;;;x
shan;Xigaoshan;;;;;;;;;x
maltese;Maltese;;;;;;;;;x
tashadian;Tashadian;;;;;;;;;x
zabbalin;Zabbalin;;;;;;;;;x
oromo;Oromo;;;;;;;;;x
sudanese;Sudanese;;;;;;;;;x
misri;Misri;;;;;;;;;x
moroccan;Moroccan;;;;;;;;;x
libyan;Libyan;;;;;;;;;x
tunisian;Tunisian;;;;;;;;;x
algerian;Algerian;;;;;;;;;x
konjara;Konjara;;;;;;;;;x
tajik;Tajik;;;;;;;;;x
uzbek;Uzbek;;;;;;;;;x
karakalpak;Karakalpak;;;;;;;;;x
kirghiz;Kirghiz;;;;;;;;;x 
english;Old English;;;;;;;;;x 
slovak;Slovak;;;;;;;;;x 
lativian;Latvian;;;;;;;;;x 
silesian;Silesian;;;;;;;;;x 
east_sibiran;East Siberan;;;;;;;;;x 
toubu;Toubu;;;;;;;;;x 
doggerlander;Doggerman;;;;;;;;;x 
barbariyya;Amazigh;;;;;;;;;x 
ulsterite;Ulsterite;;;;;;;;;x
piemontese;Piemontese;;;;;;;;;x
tuscanian;Tuscanian;;;;;;;;;x
emilian;Emilian;;;;;;;;;x
lombard;Lombard;;;;;;;;;x
venetian;Venetian;;;;;;;;;x
lazian;Lazian;;;;;;;;;x
neapolitan;Neapolitan;;;;;;;;;x
pugliese;Pugliese;;;;;;;;;x
maltese;Maltese;;;;;;;;;x
east_asian_group;East Asian;;;;;;;;;x
siamese;Siamese;;;;;;;;;x
pontian;Pontian;;;;;;;;;x
rumca;Rumca;;;;;;;;;x
kuhjungs;Kuhjung;;;;;;;;;x
new_anglo;New Anglo;;;;;;;;;x
angrezi;Angrezi;;;;;;;;;x
aeslabh;Aeslabh;;;;;;;;;x
kham;Kham;;;;;;;;;x
amdo;Amdo;;;;;;;;;x
u_tsang;U-Tsang;;;;;;;;;x
bhutanese;Bhutanese;;;;;;;;;x
griko;Griko;;;;;;;;;x
north_atlantic;North Atlantic;;;;;;;;;x
near_eastern;Near Eastern;;;;;;;;;x
niger_congolese;Niger-Congolese;;;;;;;;;x
yoruba;Yoruba;;;;;;;;;x
hausa;Hausa;;;;;;;;;x
igbo;Igbo;;;;;;;;;x
congolese;Congolese;;;;;;;;;x
ket;Ket;;;;;;;;;x
samoyedic;Samoyedic;;;;;;;;;x
yakut;Tuvayakut;;;;;;;;;x
yenisean;Yenisean;;;;;;;;;x
selkup;Selkup;;;;;;;;;x
nganasan;Nganasan;;;;;;;;;x
soitoskan;Soitoskan;;;;;;;;;x
yenisean;Yenisean;;;;;;;;;x
wolgadeutsche;Wolgadeutsche;;;;;;;;;x
tatarian;Tatar;;;;;;;;;x
bashkir;Bashkir;;;;;;;;;x
west_turkic;West Turkic;;;;;;;;;x
east_turkic;East Turkic;;;;;;;;;x
mongolic;Mongolic;;;;;;;;;x
west_indo_aryan_group;Western Indo-Aryan;;;;;;;;;x
domari;Domari;;;;;;;;;x
buryat;Buryat;;;;;;;;;x
manx;Manx;;;;;;;;;x
evenk;Evenki;;;;;;;;;x
novorusskiy;Novorusskiy;;;;;;;;;x
montenegrin;Montenegrin;;;;;;;;;x
faroyingar;Faroese;;;;;;;;;x
aigionoi;Aigionoi;;;;;;;;;x
sazzac;Sazzac;;;;;;;;;x
koryo_saram;Koryo-Saram;;;;;;;;;x
korean_group;Koreanic;;;;;;;;;x
liberian;Liberian;;;;;;;;;;;;;x
nigerian;Nigerian;;;;;;;;;;;;;x
low_bhutanese;Low Bhutanese;;;;;;;;;x
aigionoi;Aegian;;;;;;;;;x
frisian;Frisian;;;;;;;;;;x
llanito;Llanito;;;;;;;;;;x
newfie;Newfie;;;;;;;;;;x
beta_israeli;Beta Israeli;;;;;;;;;;x
gothic;Gotish;;;;;;;;;;x
kyolish;Kjolish;;;;;;;;;;x
guinean;Guinean;;;;;;;;;;x
gottonsk;Gottonian;;;;;;;;;;x
gallian;Gallian;;;;;;;;;;x
anglish;Anglish;;;;;;;;;;x

arberian;Albanian;;;;;;;;;;;;;x
cornish;Cornish;;;;;;;;;;x
polish;Polish;;;;;;;;;;;;;x
croatian;Croatian;;;;;;;;;;;;;x
serbian;Serbian;;;;;;;;;;;;;x
bulgarian;Bulgarian;;;;;;;;;;;;;x
hungarian;Hungarian;;;;;;;;;;;;;x
turkish;Turkish;;;;;;;;;;;;;x
bedouin_arabic;Bedouin;;;;;;;;;;;;;x
levantine_arabic;Levantine;;;;;;;;;;;;;x
spanish;Spanish;;;;;;;;;;;;;x
irish;Irish;;;;;;;;;;;;;x
scottish;Gallic;;;;;;;;;;;;;x
canarian;Canarian;;;;;;;;;;;;;x
portuguese;Portuguese;;;;;;;;;;;;;x
armenian;Armenian;;;;;;;;;;;;;x
georgian;Georgian;;;;;;;;;;;;;x
basque;Basque;;;;;;;;;;;;;x
greek;Greek;;;;;;;;;;;;;x
norwegian;Norwegian;;;;;;;;;;;;;x
lithuanian;Lithuanian;;;;;;;;;;;;;x
bosnian;Bosnian;;;;;;;;;;;;;x
coptic;Coptic;;;;;;;;;;;;;x
finnish;Finnish;;;;;;;;;;;;;x
ugricbaltic;Estonian;;;;;;;;;;;;;x
ethiopian;Ethiopian;;;;;;;;;;;;;x
breton;Breton;;;;;;;;;;;;;x
dutch;Dutch;;;;;;;;;;;;;x
danish;Danish;;;;;;;;;;;;;x
klynian;Klynian;;;;;;;;;;;;;x
wendish;Wendish;;;;;;;;;;x
kurdish;Kurdish;;;;;;;;;;;;;x
oglallan;Sggot;;;;;;;;;;;;;x
romansch;Romansch;;;;;;;;;;x
alpinian;Alpinian;;;;;;;;;;x
burgundian;Burgundian;;;;;;;;;;x
norman;Norman;;;;;;;;;;x

quebecois;Quebecois;;;;;;;;;;;;;x
acadien;Acadian;;;;;;;;;;;;;x
nahuatl;Nahuatl;;;;;;;;;;;;;x
beltway;Beltway;;;;;;;;;;;;;x
gothamite;Gothamite;;;;;;;;;;;;;x
hudsonian;Hudsonian;;;;;;;;;;;;;x
delawarean;Delawarean;;;;;;;;;;;;;x
yankee;Yankee;;;;;;;;;;;;;x
maritimer;Martimer;;;;;;;;;;;;;x
southron;Southron;;;;;;;;;;;;;x
dixie;Dixie;;;;;;;;;;;;;x
appalachian;Appalachian;;;;;;;;;;;;;x
lytsvin;Lytsvin;;;;;;;;;;;;;x
tamil;North Tamil;;;;;;;;;;;;;x,,,
yoonaanee;Yunani;;;;;;;;;;;;;x,,,
malayalam;Malayalam;;;;;;;;;;;;;x,,,
peninsular;South Tamil;;;;;;;;;;;;;x,,,
brytwysher;Brytwysher;;;;;;;;;;;;;x,,,
dhivehi;Maledivian;;;;;;;;;;;;;x,,,

EVTDESCMPU.211;Recently I've found myself thinking in a language that is not my own, but of a culture of conquerors and peasantry, Low Bhutanese. Perhaps converting to this hybrid culture will improve my social standing within our nation.;;;;;;;;;;;;;x

EVTDESCMPU.2;The people of our nation no longer speak the language of their Indian ancestors, nor do they communicate through the language of their [This.Culture.GetName] overlords, instead they have merged the two languages. We know them to be the "Low Bhutanese".;;;;;;;;;;;;;x


