garde#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_title;Title;Title;Title;;Title;;;;;;;;;x
k_title_adj;Title;Title;Title;;Title;;;;;;;;;x
british;Brwtysh;British;British;;British;;;;;;;;;x
romanian;Romana;Romanian;Romanian;;Romanian;;;;;;;;;x
lichtensteiner;Lichtensteiner;Lichtensteiner;Lichtensteiner;;Lichtensteiner;;;;;;;;;x
palmarian;Palmarian;Palmarian;Palmarian;;Palmarian;;;;;;;;;x
romani;Romani;;;;;;;;;x;;;;
lutheran;Lutheran;Lutheran;Lutheran;;Lutheran;;;;;;;;;x
brittannic;Brittannic;Brittannic;Brittannic;;Brittannic;;;;;;;;;x
austrian;Osterreichisch;Austrian;Austrian;;Austrian;;;;;;;;;x
pomoran;Pomorskiy;;;;;;;;;x;;;;
amriqi;Amriqi;;;;;;;;;x;;;;
gallo;Galo;;;;;;;;;x;;;;
macedonian;Makedonask;;;;;;;;;x;;;;
skanian;Skansk;;;;;;;;;x;;;;
belgian;Belgesh;;;;;;;;;x;;;;
muscovite;Moskvitch;;;;;;;;;x;;;;
pietrovan;Piterskiy;;;;;;;;;x;;;;
swiss;Swisch;Swiss;Swiss;;Swiss;;;;;;;;;x
afghan;Pashtun;;;;;;;;;x
traveller;Lucht Siúil;;;;;;;;;x
romaniote;Romaniote;;;;;;;;;x
russim;Russim;;;;;;;;;x
parsim;Parsim;;;;;;;;;x
bukharim;Bukharim;;;;;;;;;x
italkim;Italkim;;;;;;;;;x
menashe;Bnei Menashe;;;;;;;;;x
bavarian;Bayerisch;Bavarian;Bavarian;;Bavarian;;;;;;;;;x
rheinlander;Rheinlander;Rheinlander;Rheinlander;;Rheinlander;;;;;;;;;x
brandenburger;Brandenburger;Brandenburger;Brandenburger;;Brandenburger;;;;;;;;;x
swabian;Schwabisch;Swabian;Swabian;;Swabian;;;;;;;;;x
prussian;Preussisch;Prussian;Prussian;;Prussian;;;;;;;;;x
berliner;Berliner;Berliner;Berliner;;Berliner;;;;;;;;;x
danzigian;Danzigian;Danzigian;Danzigian;;Danzigian;;;;;;;;;x
lietuvininkai;Lietuvininkai;;;;;;;;;x
schleswigvolk;Schleswigvolk;Schleswigvolk;Schleswigvolk;;Schleswigvolk;;;;;;;;;x
germanic;Germanic;Germanic;Germanic;Germanic;;;;;;;;;x;
farlander;Farlander;Farlander;Farlander;;Farlander;;;;;;;;;x
french;Francien;French;French;;French;;;;;;;;;x
corsu;Corsu;Corsu;Corsu;;Corsu;;;;;;;;;x
francophone;Francophone;Francophone;Francophone;;Francophone;;;;;;;;;x
apeninian;Apeninian;Apeninian;Apeninian;;Apeninian;;;;;;;;;x
sard;Sard;Sard;Sard;;Sard;;;;;;;;;x
sicilian;Sicilano;Sicilian;Sicilian;;Sicilian;;;;;;;;;x
low_german;Plattdüütsch;;;;;;;;;x
saxon;Sassisch;;;;;;;;;;;;;x
castilian;Castellano;Castilian;Castilian;;Castilian;;;;;;;;;x
galician;Galego;Galician;Galician;;Galician;;;;;;;;;x
argonese;Argones;Argonese;Argonese;;Argonese;;;;;;;;;x
andalusian;Andalu;Andalusian;Andalusian;;Andalusian;;;;;;;;;x
luxembourgish;Luxemburgs;Luxembourgish;Luxembourgish;;Luxembourgish;;;;;;;;;x
nord;Nordic;Nordic;Nordic;;Nordic;;;;;;;;;x
islander;Islander;Islander;Islander;;Islander;;;;;;;;;x
slovenian;Slovenski;Slovenian;Slovenian;;Slovenian;;;;;;;;;x
west_german;West Germanic;West Germanic;West Germanic;;West Germanic;;;;;;;;;x
czech;Cesky;Czech;Czech;;Czech;;;;;;;;;x
ukrainer;Ukraïnska;Ukrainer;Ukrainer;;Ukrainer;;;;;;;;;x
cossack;Kozaky;Cossack;Cossack;;Cossack;;;;;;;;;x
aragonese;Aragones;Aragonese;Aragonese;;Aragonese;;;;;;;;;x
sanmarinese;San Marinese;San Marinese;San Marinese;;San Marinese;;;;;;;;;x
israeli;Israeli;Israeli;Israeli;;Israeli;;;;;;;;;x
yemeni;Yamaniun;;;;;;;;;x;;;;
omani;Aleumania;;;;;;;;;x;;;;
iraqi;Sawadi;;;;;;;;;x;;;;
hazar;Hazari;;;;;;;;;x;;;;
persian;Farsi;;;;;;;;;x;;;;
kazakh;Batys;;;;;;;;;x;;;;
alagol;Alagoldik;;;;;;;;;x;;;;
ontustani;Ontustani;;;;;;;;;x;;;;
anatolian_group;Anatolian;;;;;;;;;x;;;;
aral_group;Aral;;;;;;;;;x;;;;
old_welsh;Hybarch Cymry;;;;;;;;;x;;;;
westlander;Westlander;;;;;;;;;x;;;;
eastlander;Eastlander;;;;;;;;;x;;;;
bielaruskaja;Bielaruskaja;;;;;;;;;x;;;;
cypriote;Kyprioi;;;;;;;;;x;;;;
khorasani;Hrasany;;;;;;;;;x;;;;
azerbaijani;Azerbaycan;;;;;;;;;x;;;;
nogai;Kumyk;;;;;;;;;x;;;;
caucasian;Caucasian;;;;;;;;;x;;;;
icelander;Islendingur;;;;;;;;;x;;;;
greenlander;Greenlander;;;;;;;;;x;;;;
saran;Kameeni;;;;;;;;;x;;;;
moldavian;Moldoveneasca;;;;;;;;;x;;;;
nigeren;Nigeren;;;;;;;;;x;;;;
fulani;Fulani;;;;;;;;;x;;;;
tuareg;Tamasheq;;;;;;;;;x;;;;
malian;Malien;;;;;;;;;x;;;;
chechen;Nokhchiy;;;;;;;;;x;;;;
kalmyk;Xal'mgud;;;;;;;;;x;;;;
turkmen;Turkmen;;;;;;;;;x;;;;
sibiran;Zapadno-Sibiriak;;;;;;;;;x;;;;
volgar;Permiak;;;;;;;;;x;;;;
hui;Hui;;;;;;;;;x;;;;
shan;Xigaoshan;;;;;;;;;x;;;;
maltese;Malti;;;;;;;;;x;;;;
tashadian;Tashadi;;;;;;;;;x;;;;
zabbalin;Zabbalin;;;;;;;;;x;;;;
oromo;Oromo;;;;;;;;;x;;;;
sudanese;Sudani;;;;;;;;;x;;;;
misri;Misri;;;;;;;;;x;;;;
moroccan;Maghribiin;;;;;;;;;x;;;;
libyan;Libiun;;;;;;;;;x;;;;
tunisian;Lltuwnisia;;;;;;;;;x;;;;
algerian;Jzayry;;;;;;;;;x;;;;
konjara;Konjara;;;;;;;;;x;;;;
tajik;Tajik;;;;;;;;;x;;;;
uzbek;Uzbek;;;;;;;;;x;;;;
karakalpak;Karakalpak;;;;;;;;;x;;;;
kirghiz;Kirgizskiy;;;;;;;;;x;;;;
english;Old English;;;;;;;;;x;;;;
slovak;Slovensky;;;;;;;;;x;;;;
lativian;Latvietis;;;;;;;;;x;;;;
silesian;Slunska;;;;;;;;;x;;;;
east_sibiran;Vostochno-Sibiriak;;;;;;;;;x;;;;
toubu;Toubu;;;;;;;;;x;;;;
doggerlander;Doggersker;;;;;;;;;x;;;;
barbariyya;Thamazight;;;;;;;;;x;;;;
ulsterite;Ulsterite;;;;;;;;;x;;;;
piemontese;Piemontese;;;;;;;;;x;;;;
tuscanian;Tuscano;;;;;;;;;x;;;;
emilian;Emilano;;;;;;;;;x;;;;
lombard;Lombardo;;;;;;;;;x;;;;
venetian;Veneziano;;;;;;;;;x;;;;
lazian;Laziale;;;;;;;;;x;;;;
neapolitan;Napoletano;;;;;;;;;x;;;;
pugliese;Pugliese;;;;;;;;;x;;;;
east_asian_group;East Asian;;;;;;;;;x;;;;
siamese;Siamese;;;;;;;;;x;;;;
pontian;Póntioi;;;;;;;;;x;;;;
rumca;Rumi;;;;;;;;;x;;;;
kuhjungs;Kuhjung;;;;;;;;;x;;;;
new_anglo;New Anglo;;;;;;;;;x;;;;
old_norman;Old Norman;;;;;;;;;x;;;;
angrezi;Angrezine;;;;;;;;;x;;;;
aeslabh;Aeslabh;;;;;;;;;x;;;;
kham;Kham;;;;;;;;;x;;;;
amdo;Amdo;;;;;;;;;x;;;;
u_tsang;U-Tsang;;;;;;;;;x;;;;
bhutanese;Dzongkha;;;;;;;;;x;;;;
griko;Griko;;;;;;;;;x;;;;
north_atlantic;North Atlantic;;;;;;;;;x;;;;
near_eastern;Near Eastern;;;;;;;;;x;;;;
niger_congolese;Niger-Congolese;;;;;;;;;x;;;;
yoruba;Yoruba;;;;;;;;;x;;;;
hausa;Hausa;;;;;;;;;x;;;;
igbo;Igbo;;;;;;;;;x;;;;
congolese;Congolese;;;;;;;;;x;;;;
ket;Ket;;;;;;;;;x;;;;
samoyedic;Samoyedic;;;;;;;;;x;;;;
yakut;Saha;;;;;;;;;x;;;;
yenisean;Yenisean;;;;;;;;;x;;;;
selkup;Selkup;;;;;;;;;x;;;;
nganasan;Nganasane;;;;;;;;;x;;;;
soitoskan;Soitoskane;;;;;;;;;x;;;;
wolgadeutsche;Wolgadeutsche;;;;;;;;;x;;;;
tatarian;Tatarva;;;;;;;;;x;;;;
bashkir;Bashkir;;;;;;;;;x;;;;
west_turkic;West Turkic;;;;;;;;;x;;;;
east_turkic;East Turkic;;;;;;;;;x;;;;
mongolic;Mongolic;;;;;;;;;x;;;;
west_indo_aryan_group;Western Indo-Aryan;;;;;;;;;x;;;;
domari;Domari;;;;;;;;;x;;;;
buryat;Buryaad;;;;;;;;;x;;;;
manx;Manninee;;;;;;;;;x;;;;
evenk;Evenki;;;;;;;;;x;;;;
novorusskiy;Novorusskiy;;;;;;;;;x;;;;
montenegrin;Crnogorci;;;;;;;;;x;;;;
faroyingar;Faroyingar;;;;;;;;;x;;;;
low_bhutanese;Low Dzongkha;;;;;;;;;x;;;;
aigionoi;Aigionoi;;;;;;;;;x;;;;
sazzac;Sazzac;;;;;;;;;x;;;;
koryo_saram;Koryo-Saram;;;;;;;;;x;;;;
korean_group;Koreanic;;;;;;;;;x;;;;
gothic;Gotsk;;;;;;;;;;x;;;
kyolish;Kjolsk;;;;;;;;;;x;;;
klynian;Klynska;;;;;;;;;;;;;x
frencig;Frencig;;;;;;;;;;;;;x
assyrian;Suraya;;;;;;;;;;;;;x
kurdish;Kurdi;;;;;;;;;;;;;x
lytsvin;Lytsvinskaja;;;;;;;;;;;;;x
somali;Soomaal;;;;;;;;;;;;;x
polish;Polski;;;;;;;;;;x;;;
croatian;Hrvatski;;;;;;;;;;x;;;
serbian;Srpski;;;;;;;;;;x;;;
bulgarian;Bulgarski;;;;;;;;;;;x;;
hungarian;Magyar;;;;;;;;;;;;x;
lithuanian;Lietuvis;;;;;;;;;;x;;;
prussian;Preussisch;;;;;;;;;;x;;;
ethiopian;Itiyopiyawai;;;;;;;;;;;;x;
bedouin_arabic;Badawiin;;;;;;;;;;x;;;
levantine_arabic;Ash-Sham;;;;;;;;;;x;;;
greek;Hellene;;;;;;;;;;x;;;
alan;Alan;;;;;;;;;;x;;;
georgian;Kartuli;;;;;;;;;;x;;;
irish;Éireannaigh;;;;;;;;;;x;;;
scottish;Gàidheil;;;;;;;;;;x;;;
welsh;Welsh;;;;;;;;;;x;;;
breton;Breizhad;;;;;;;;;;x;;;
basque;Euskara;;;;;;;;;;x;;;
castillan;Castilian;;;;;;;;;;x;;;
catalan;Catala;;;;;;;;;;x;;;
portuguese;Portugues;;;;;;;;;;x;;;
armenian;Hay;;;;;;;;;;x;;;
dutch;Nederlander;;;;;;;;;;x;;;
swedish;Svealanning;;;;;;;;;;x;;;
norwegian;Norsk;;;;;;;;;;x;;;
danish;Dansk;;;;;;;;;;x;;;
german;Deutsche;;;;;;;;;;x;;;
turkish;Turk;;;;;;;;;;x;;;
coptic;Kubti;;;;;;;;;x;;;;
bosnian;Bosanski;;;;;;;;;x;;;;
farlander;Farlander;;;;;;;;;x;;;;
finnish;Suomalainen;;;;;;;;;;x;;;
ugricbaltic;Eestlane;;;;;;;;;;x;;;
liberian;Liberian;;;;;;;;;;x;;;
cornish;Kernowyon;;;;;;;;;;x;;;
frisian;Friisk;;;;;;;;;;x;;;
llanito;Llanito;;;;;;;;;;x;;;
newfie;Newfie;;;;;;;;;;x;;;
beta_israeli;Betah Yisraeli;;;;;;;;;;x;;;
wendish;Wendski;;;;;;;;;;x;;;
atlantian;Atlantean;;;;;;;;;;x;;;
central_slavic;Central Slavic;;;;;;;;;;x;;;
guinean;Guinean;;;;;;;;;;x;;;
oglallan;Clydbraek;;;;;;;;;;x;;;
romansch;Romansch;;;;;;;;;;x;;;
alpinian;Alpinian;;;;;;;;;;x;;;
burgundian;Bourguignons;;;;;;;;;;x;;;
norman;Normaunds;;;;;;;;;;x;;;
gottonsk;Gottonske;;;;;;;;;;x;;;
amriqi;Amriqi;;;;;;;;;;x;;;
anglish;Anglische;;;;;;;;;;x;;;
kaliningrader;Kaliningradetz;;;;;;;;;;x;;;
;;;;;;;;;;;;;;
quebecois;Quebecois;;;;;;;;;;;;;x
acadien;Acadian;;;;;;;;;;;;;x
nahuatl;Nahuatl;;;;;;;;;;;;;x
beltway;Beltway;;;;;;;;;;;;;x
gothamite;Gothamite;;;;;;;;;;;;;x
hudsonian;Hudsonian;;;;;;;;;;;;;x
delawarean;Delawarean;;;;;;;;;;;;;x
yankee;Yankee;;;;;;;;;;;;;x
maritimer;Martimer;;;;;;;;;;;;;x
southron;Southron;;;;;;;;;;;;;x
dixie;Dixie;;;;;;;;;;;;;x
appalachian;Appalachian;;;;;;;;;;;;;x
ontarian;Ontarian;;;;;;;;;;;;;x
laurentian;Laurentine;;;;;;;;;;;;;x
lacustrine;Lucastrine;;;;;;;;;;;;;x
crimean;Krymchanin;;;;;;;;;;;;;x
hessian;Hessisch;;;;;;;;;;;;;x
kashubian;Kaszëbi;;;;;;;;;;;;x,,,
;;;;;;;;;;;;;;
gallomerican;Gallomerican;;;;;;;;;;;;;x
south_anglo;South Anglo;;;;;;;;;;;;;x
north_atlantic;North Atlantic;;;;;;;;;;;;;x
brazilian;Brasileiro;;;;;;;;;;;;;x
baiano;Baiano;;;;;;;;;;;;;x
azorean;Açoriano;;;;;;;;;;;;;x
verdean;Cabo Verdiano;;;;;;;;;;;;;x
lusophone;Lusophone;;;;;;;;;;;;;x
hispanophone;Hispanophone;;;;;;;;;;;;;x
hong_konger;Hong Konger;;;;;;;;;;;;;x
prinsesser;Prinsesser;;;;;;;;;;;;;x
japan_group;Japonic;;;;;;;;;;;;;x
weeb;Amejo;;;;;;;;;;;;;x
afroatlantic;Afro-Atlantic;;;;;;;;;;;;;x
babylonian;Bavelaya;;;;;;;;;;;;;x
myanmarese;Myanmarese;;;;;;;;;;;;;x
albanian;Albanian;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
FERO_GOV_TITLE;Governor;;;;;;;;;x;;;;
FERO_GOV_FEMALE;Governoress;;;;;;;;;x;;;;
FERO_GOV_prefix;Governorate of;;;;;;;;;x;;;;
duke_british;Duke;Duke;Duke;;Duke;;;;;;;;;x
duke_female_british;Duchess;;;;;;;;;;;;;x
duchy_of_british;Duchy of;;;;;;;;;;;;;x
king_british;Governor;Governor;Governor;;Governor;;;;;;;;;x
king_female_british;Governoress;;;;;;;;;;;;;x
kingdom_of_british;Governorate of;;;;;;;;;;;;;x
count_stalinist;Commissar;;;;;;;;;;;;;x
baron_castle_oglallan;Earl;;;;;;;;;;;;;x
baron_castle_female_oglallans;Earless;;;;;;;;;;;;;x
count_oglallans;Count;;;;;;;;;;;;;x
count_female_oglallans;Countess;;;;;;;;;;;;;x
duke_oglallans;Lord;;;;;;;;;;;;;x
duke_female_oglallans;Lady;;;;;;;;;;;;;x
#king_oglallans;Wairdon;;;;;;;;;;;;;x
#king_female_oglallans;Maitron;;;;;;;;;;;;;x
emperor_oglallans;Autocrat;;;;;;;;;;;;;x
emperor_female_oglallans;Autocratess;;;;;;;;;;;;;x
baron_castle_kuhjungs;Sergeant;;;;;;;;;;;;;x
baron_castle_female_kuhjungs;Sergeant;;;;;;;;;;;;;x
count_kuhjungs;Lieutenant;;;;;;;;;;;;;x
count_female_kuhjungs;Lieutenant;;;;;;;;;;;;;x
duke_kuhjungs;Captain;;;;;;;;;;;;;x
duke_female_kuhjungs;Captain;;;;;;;;;;;;;x
king_kuhjungs;Major;;;;;;;;;;;;;x
king_female_kuhjungs;Major;;;;;;;;;;;;;x
emperor_kuhjungs;General;;;;;;;;;;;;;x
emperor_female_kuhjungs;General;;;;;;;;;;;;;x
count_female_stalinist;Commissaress;;;;;;;;;;;;;x
county_of_stalinist;Commissariate of;;;;;;;;;;;;;x
duke_stalinist;High Commissar;;;;;;;;;;;;;x
duke_female_stalinist;High Commissaress;;;;;;;;;;;;x;
duchy_of_stalinist;High Commissariate of;;;;;;;;;;;;x;
king_stalinist;Chairman;Chairman;Chairman;;Chairman;;;;;;;;;x
king_female_stalinist;Chairlady;Chairlady;Chairlady;;Chairlady;;;;;;;;;x
kingdom_of_stalinist;SSR of;;;;;;;;;;;;;x
kingdom_of_ugricbaltic;Freecountry of;;;;;;;;;;;;;x
kingdom_of_zarist;Principality of;;;;;;;;;;;;;x
empire_of_zarist;Grand Principality of;;;;;;;;;;;;;x
emperor_prussian;Caesar;Caesar;Caesar;;Caesar;;;;;;;;;x
emperor_swiss;Caesaratore;Caesar;Caesar;;Caesar;;;;;;;;;x
empire_of_swiss;Caesarreich of;Caesar;Caesar;;Caesar;;;;;;;;;x
emperor_brandenburger;Caesar;Caesar;Caesar;;Caesar;;;;;;;;;x
emperor_low_german;Caesar;Caesar;Caesar;;Caesar;;;;;;;;;x
emperor_swabian;Caesar;Caesar;Caesar;;Caesar;;;;;;;;;x
emperor_bavarian;Caesar;Caesar;Caesar;;Caesar;;;;;;;;;x
emperor_rheinlander;Caesar;Caesar;Caesar;;Caesar;;;;;;;;;x
emperor_austrian;Caesar;Caesar;Caesar;;Caesar;;;;;;;;;x
emperor_hessian;Caesar;Caesar;Caesar;;Caesar;;;;;;;;;x
emperor_saxon;Caesar;Caesar;Caesar;;Caesar;;;;;;;;;x
emperor_female_prussian;Caesarina;Caesarina;Caesarina;;Caesarina;;;;;;;;;x
emperor_female_swiss;Caesaratrice;Caesaratrice;Caesaratrice;;Caesaratrice;;;;;;;;;x
emperor_female_brandenburger;Caesarina;Caesarina;Caesarina;;Caesarina;;;;;;;;;x
emperor_female_low_german;Caesarina;Caesarina;Caesarina;;Caesarina;;;;;;;;;x
emperor_female_swabian;Caesarina;Caesarina;Caesarina;;Caesarina;;;;;;;;;x
emperor_female_bavarian;Caesarina;Caesarina;Caesarina;;Caesarina;;;;;;;;;x
emperor_female_rheinlander;Caesarina;Caesarina;Caesarina;;Caesarina;;;;;;;;;x
emperor_female_austrian;Caesarina;Caesarina;Caesarina;;Caesarina;;;;;;;;;x
emperor_female_hessian;Caesarina;Caesarina;Caesarina;;Caesarina;;;;;;;;;x
emperor_female_saxon;Caesarina;Caesarina;Caesarina;;Caesarina;;;;;;;;;x
emperor_dutch;Caesar;Caesar;Caesar;;Caesar;;;;;;;;;x
emperor_female_dutch;Caesarina;Caesarina;Caesarina;;Caesarina;;;;;;;;;x
job_chancellor_british;Prime Minister;;;;;;;;;x;;;;
job_marshal_british;Chief of the General Staff;;;;;;;;;x;;;;
job_treasurer_british;Chief Treasurer;;;;;;;;;x;;;;
job_spymaster_british;Director General;;;;;;;;;x;;;;
job_chancellor_kuhjungs;Chief of Staff;;;;;;;;;x;;;;
job_marshal_kuhjungs;Chief of Quartermaster Corps;;;;;;;;;x;;;;
job_treasurer_kuhjungs;Chief of Finance Corps;;;;;;;;;x;;;;
job_spymaster_kuhjungs;Chief of Psychological Operations;;;;;;;;;x;;;;
job_spiritual_stalinist;Commissar-in-Chief;;;;;;;;;x;;;;
job_spiritual_jacobinist;High Executioner;;;;;;;;;x;;;;
job_spiritual_nobelian;Chief Researcher;;;;;;;;;x;;;;
job_spiritual_folklorist;Court Vedmak;;;;;;;;;x;;;;
job_spiritual_folklorist_female;Court Vedma;;;;;;;;;x;;;;
job_spiritual_esoteric;Court Mage;;;;;;;;;x;;;;
job_spiritual_maoist;Party Supervisor;;;;;;;;;x;;;;
count_serbian;Grof;Grof;Grof;;Grof;;;;;;;;;x
;;;;;;;;;;;;;;
job_chancellor_americanist;Secretary of State;;;;;;;;;;;;;x
job_treasurer_americanist;Secretary of the Treasury;;;;;;;;;;;;;x
job_marshal_americanist;Secretary of Defense;;;;;;;;;;;;;x
job_spymaster_americanist;National Security Advisor;;;;;;;;;;;;;x
job_spiritual_americanist;Attorney General;;;;;;;;;;;;;x
temple_barony_of_americanist;Court of;;;;;;;;;;;;;x
temple_baron_americanist;Judge;;;;;;;;;;;;;x
temple_baron_female_americanist;Judge;;;;;;;;;;;;;x
temple_baron_americanists;Judges;;;;;;;;;;;;;x
temple_county_of_americanist;County Court of;;;;;;;;;;;;;x
temple_count_americanist;County Judge;;;;;;;;;;;;;x
temple_count_female_americanist;County Judge;;;;;;;;;;;;;x
temple_duchy_of_americanist;District Court of;;;;;;;;;;;;;x
temple_duke_americanist;District Judge;;;;;;;;;;;;;x
temple_duke_female_americanist;District Judge;;;;;;;;;;;;;x
temple_kingdom_of_americanist;Circuit Court of;;;;;;;;;;;;;x
temple_king_americanist;Circuit Judge;;;;;;;;;;;;;x
temple_king_female_americanist;Circuit Judge;;;;;;;;;;;;;x
temple_empire_of_americanist;Supreme Court of;;;;;;;;;;;;;x
temple_emperor_americanist;Supreme Judge;;;;;;;;;;;;;x
temple_emperor_female_americanist;Supreme Judge;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
city_count_americanist;Representative;;;;;;;;;;;;;x
city_count_female_americanist;Representative;;;;;;;;;;;;;x
city_duke_americanist;Speaker;;;;;;;;;;;;;x
city_duke_female_americanist;Speaker;;;;;;;;;;;;;x
city_king_americanist;Senator;;;;;;;;;;;;;x
city_king_female_americanist;Senator;;;;;;;;;;;;;x
city_emperor_americanist;Senate President;;;;;;;;;;;;;x
city_emperor_female_americanist;Senate President;;;;;;;;;;;;;
;;;;;;;;;;;;;;
baron_americanist;Sergeant;;;;;;;;;;;;;x
baron_female_americanist;Sergeant;;;;;;;;;;;;;x
barony_of_americanist;Garrison of;;;;;;;;;;;;;x
barony_americanist;Garrison;;;;;;;;;;;;;x
count_americanist;Major;;;;;;;;;;;;;x
count_female_americanist;Major;;;;;;;;;;;;;x
county_of_americanist;Post of;;;;;;;;;;;;;x
county_americanist;Post;;;;;;;;;;;;;x
duke_americanist;Colonel;;;;;;;;;;;;;x
