garde#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
british;British;;;;;;;;;;;;;x
romanian;Romanian;;;;;;;;;;;;;x
lichtensteiner;Lichtensteiner;;;;;;;;;;;;;x
romani;Romani;;;;;;;;;x
brittannic;Brittannic;;;;;;;;;;;;;x
austrian;Austrian;;;;;;;;;x
pomoran;Pomoran;;;;;;;;;x
amriqi;Amriqi;;;;;;;;;x
macedonian;Macedonian;;;;;;;;;x
skanian;Skanian;;;;;;;;;x
belgian;Belgian;;;;;;;;;x
muscovite;Muscovite;;;;;;;;;x
pietrovan;Pietrovan;;;;;;;;;x
swiss;Swiss;;;;;;;;;;;;;x
bavarian;Bavarian;;;;;;;;;;;;;x
rheinlander;Rheinlander;;;;;;;;;;;;;x
brandenburger;Brandenburger;;;;;;;;;;;;;x
swabian;Swabian;;;;;;;;;;;;;x
prussian;Prussian;;;;;;;;;;;;;x
berliner;Berliner;;;;;;;;;;;;;x
danzigian;Danzigian;;;;;;;;;;;;;x
koningsberger;Koningsberger;;;;;;;;;;;;;x
schleswigvolk;Schleswigvolk;;;;;;;;;;;;;x
germanic;German;;;;;;;;;;;;;x
farlander;Farlander;;;;;;;;;;;;;x
french;French;;;;;;;;;;;;;x
corsu;Corsu;;;;;;;;;;;;;x
francophone;Francophone;;;;;;;;;;;;;x
apeninian;Apeninian;;;;;;;;;;;;;x
sard;Sard;;;;;;;;;;;;;x
sicilian;Sicilian;Sicilian;;;;;;;;;;;;x
german_saxon;Saxon;;;;;;;;;;;;;x
castilian;Castilian;;;;;;;;;;;;;x
galician;Galician;;;;;;;;;;;;;x
argonese;Argonese;;;;;;;;;;;;;x
andalusian;Andalusian;;;;;;;;;;;;;x
Belgian;Belgian;;;;;;;;;;;;;x
luxembourgish;Luxembourgish;;;;;;;;;;;;;x
nord;Nord;;;;;;;;;;;;;x
islander;Islander;;;;;;;;;;;;;x
slovenian;Slovenian;;;;;;;;;;;;;x
west_german;West German;;;;;;;;;;;;;x
czech;Czech;;;;;;;;;;;;;x
ukrainer;Ukrainer;;;;;;;;;;;;;x
cossack;Cossack;;;;;;;;;;;;;x
aragonese;Aragonese;;;;;;;;;;;;;x
sanmarinese;San Marinese;;;;;;;;;;;;;x
israeli;Israeli;;;;;;;;;;;;;x
karelian;Karelian;;;;;;;;;;;;;x
yemeni;Yemeni;;;;;;;;;x
omani;Omani;;;;;;;;;x
iraqi;Mashriqi;;;;;;;;;x
hazar;Hazari;;;;;;;;;x
khorasani;Khorasani;;;;;;;;;x
persian;Farsi;;;;;;;;;x
kazakh;Batys;;;;;;;;;x
alagol;Alagolan;;;;;;;;;x
ontustani;Ontustani;;;;;;;;;x
anatolian_group;Anatolian;;;;;;;;;x
aral_group;Aral;;;;;;;;;x
old_welsh;Old Welsh;;;;;;;;;x
westlander;Westlander;;;;;;;;;x
bielaruskaja;Belarussian;;;;;;;;;x
cypriote;Cypriote;;;;;;;;;x
khorasani;Khorasani;;;;;;;;;x
azerbaijani;Azeri;;;;;;;;;x
nogai;Nogai;;;;;;;;;x
caucasian;Caucasian;;;;;;;;;x
icelander;Icelandic;;;;;;;;;x
greenlander;Grenlander;;;;;;;;;x
saran;Saran;;;;;;;;;x
nigeren;Nigeren;;;;;;;;;x
fulani;Fulani;;;;;;;;;x
tuareg;Tuareg;;;;;;;;;x
malian;Malian;;;;;;;;;x
chechen;Chechen;;;;;;;;;x
kalmyk;Kalmyk;;;;;;;;;x
turkmen;Turkmen;;;;;;;;;x
sibiran;West Sibiran;;;;;;;;;x
volgar;Permiak;;;;;;;;;x
hui;Hui;;;;;;;;;x
shan;Xigaoshan;;;;;;;;;x
maltese;Maltese;;;;;;;;;x
tashadian;Tashadian;;;;;;;;;x
zabbalin;Zabbalin;;;;;;;;;x
oromo;Oromo;;;;;;;;;x
sudanese;Sudanese;;;;;;;;;x
misri;Misri;;;;;;;;;x
moroccan;Moroccan;;;;;;;;;x
libyan;Libyan;;;;;;;;;x
tunisian;Tunisian;;;;;;;;;x
algerian;Algerian;;;;;;;;;x
konjara;Konjara;;;;;;;;;x
tajik;Tajik;;;;;;;;;x
uzbek;Uzbek;;;;;;;;;x
karakalpak;Karakalpak;;;;;;;;;x
kirghiz;Kirghiz;;;;;;;;;x 
english;Old English;;;;;;;;;x 
slovak;Slovak;;;;;;;;;x 
lativian;Lativian;;;;;;;;;x 
silesian;Silesian;;;;;;;;;x 
east_sibiran;East Siberan;;;;;;;;;x 
toubu;Toubu;;;;;;;;;x 
doggerlander;Doggerman;;;;;;;;;x 
barbariyya;Barbariyya;;;;;;;;;x 
ulsterite;Ulsterite;;;;;;;;;x
piemontese;Piemontese;;;;;;;;;x
tuscanian;Tuscanian;;;;;;;;;x
emilian;Emilian;;;;;;;;;x
lombard;Lombard;;;;;;;;;x
venetian;Venetian;;;;;;;;;x
lazian;Lazian;;;;;;;;;x
neapolitan;Neapolitan;;;;;;;;;x
pugliese;Pugliese;;;;;;;;;x
maltese;Maltese;;;;;;;;;x
east_asian_group;East Asian;;;;;;;;;x
siamese;Siamese;;;;;;;;;x
pontian;Rumca;;;;;;;;;x
yoonaanee;Yoonaanee;;;;;;;;;x
kuhjungs;Kuhjung;;;;;;;;;x
new_anglo;New Anglo;;;;;;;;;x
angrezi;Angrezi;;;;;;;;;x
aeslabh;Aeslabh;;;;;;;;;x
kham;Kham;;;;;;;;;x
amdo;Amdo;;;;;;;;;x
u_tsang;U-Tsang;;;;;;;;;x
bhutanese;Bhutanese;;;;;;;;;x
griko;Griko;;;;;;;;;x
north_atlantic;North Atlantic;;;;;;;;;x
near_eastern;Near Eastern;;;;;;;;;x
niger_congolese;Niger-Congolese;;;;;;;;;x
yoruba;Yoruba;;;;;;;;;x
hausa;Hausa;;;;;;;;;x
igbo;Igbo;;;;;;;;;x
congolese;Congolese;;;;;;;;;x
ket;Ket;;;;;;;;;x
samoyedic;Samoyedic;;;;;;;;;x
yakut;Tuvayakut;;;;;;;;;x
yenisean;Yenisean;;;;;;;;;x
selkup;Selkup;;;;;;;;;x
nganasan;Nganasan;;;;;;;;;x
soitoskan;Soitoskan;;;;;;;;;x
yenisean;Yenisean;;;;;;;;;x
wolgadeutsche;Wolgadeutsche;;;;;;;;;x
tatarian;Tatarva;;;;;;;;;x
bashkir;Bashkir;;;;;;;;;x
west_turkic;West Turkic;;;;;;;;;x
east_turkic;East Turkic;;;;;;;;;x
mongolic;Mongolic;;;;;;;;;x
west_indo_aryan_group;Western Indo-Aryan;;;;;;;;;x
domari;Domari;;;;;;;;;x
buryat;Buryat;;;;;;;;;x
manx;Manx;;;;;;;;;x
evenk;Evenki;;;;;;;;;x
novorusskiy;Novorusskiy;;;;;;;;;x
montenegrin;Montenegrin;;;;;;;;;x
faroyingar;Faroese;;;;;;;;;x
arberian;Albanian;;;;;;;;;;;;;x

polish;Polish;;;;;;;;;;;;;x
croatian;Croatian;;;;;;;;;;;;;x
serbian;Serbian;;;;;;;;;;;;;x
bulgarian;Bulgarian;;;;;;;;;;;;;x
hungarian;Hungarian;;;;;;;;;;;;;x
turkish;Turkish;;;;;;;;;;;;;x
bedouin_arabic;Bedouin;;;;;;;;;;;;;x
levantine_arabic;Levantine;;;;;;;;;;;;;x
spanish;Spanish;;;;;;;;;;;;;x
irish;Irish;;;;;;;;;;;;;x
scottish;Scottish;;;;;;;;;;;;;x
canarian;Canarian;;;;;;;;;;;;;x
portuguese;Portuguese;;;;;;;;;;;;;x
armenian;Armenian;;;;;;;;;;;;;x
georgian;Georgian;;;;;;;;;;;;;x
basque;Basque;;;;;;;;;;;;;x
greek;Greek;;;;;;;;;;;;;x
norwegian;Norwegian;;;;;;;;;;;;;x
lithuanian;Lithuanian;;;;;;;;;;;;;x
bosnian;Bosnian;;;;;;;;;;;;;x
coptic;Coptic;;;;;;;;;;;;;x
finnish;Finnish;;;;;;;;;;;;;x
ugricbaltic;Estonian;;;;;;;;;;;;;x
ethiopian;Ethiopian;;;;;;;;;;;;;x
breton;Breton;;;;;;;;;;;;;x
dutch;Dutch;;;;;;;;;;;;;x
danish;Danish;;;;;;;;;;;;;x


