#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
,,,,,,
CB_NAME_EUROPEAN_UNIFICATION;Unite Europe;;;;;;;;;;;;;x
WAR_NAME_EUROPEAN_UNIFICATION;European Unification War;;;;;;;;;;;;;x
european_unification_desc;We can declare war on any european kingdom in order to bring it under the authority of the Union.;;;;;;;;;;;;;x
CB_NAME_EUROPEAN_INVASION;Invade Britain;;;;;;;;;;;;;x
FEUDAL_PIETY_RET_1;Zealots;;;;;;;;;;;;;x
WAR_NAME_EUROPEAN_INVASION;European Invasion of Britain;;;;;;;;;;;;;x
european_invasion_desc;We can declare war on Britain in order to avenge their betrayal of the Union in the distant past.;;;;;;;;;;;;;x
,,,,,,
EUROPEAN_PRESIDENT_TITLE;President of All Europe,;;;;;;;;;;;;;x
,,,,,,
european_union_bloodline;Blood of the European President;;;;;;;;;;;;;x
european_union_bloodline_desc;The great ruler who united western europe under the banner of a resurgent European Union.;;;;;;;;;;;;;x
,,,,,,
TITLE_european_union_restoration;In Varietate Concordia;;;;;;;;;;;;;x
EVTDESC_european_union_restoration;The peoples of the European continent are numerous, and varied in language, religion and history. However, this great melting pot of peoples were once united under the European Union. Above culture, religion and national affilliation, the Union was a mighty state ruled by a President elected by a council of nobles from each corner of the realm. The Union brought the promise of prosperity to all that it ruled, and defended europe from threats both within and without. This was not to last, however, and the great Union of Europe collapsed of uncertain causes, and many believe that it fell due to the onslaught of the event itself. Nevertheless, the memory of the great state endured, and now, you have amassed enough power to declare yourself the President of All Europe, upholder of peace, bringer of prosperity, and the rightful sovereign of the continent.;;;;;;;;;;;;;x
OPT_A_european_union_restoration;Europe shall be united once more;;;;;;;;;;;;;x
e_european_union;European Union;;;;;;;;;x
e_european_union_adj;European;;;;;;;;;x
e_middle_earth;Middle Earth;;;;;;;;;x
e_middle_earth_adj;Middle Earther;;;;;;;;;x
