b_plovdiv;Plovdiv;;;;;;;;;x
b_stara_zagora;Stara Zagora;;;;;;;;;x
b_sliven;Sliven;;;;;;;;;x
b_pazardzik;Pazardzik;;;;;;;;;x
b_haskovo;Haskovo;;;;;;;;;x
b_dmitrovgrad;Dmitrovgrad;;;;;;;;;x
b_svilengrad;Svilengrad;;;;;;;;;x
b_momchilgrad;Momchilgrad;;;;;;;;;x
b_smoljan;Smoljan;;;;;;;;;x
b_pamparovo;Pamparovo;;;;;;;;;x
b_dospat;Dospat;;;;;;;;;x
b_vidin;Vidin;;;;;;;;;x
b_vraca;Vraca;;;;;;;;;x
b_pleven;Pleven;;;;;;;;;x
b_dunavci;Dunavci;;;;;;;;;x
b_lovech;Lovech;;;;;;;;;x
b_sofia;Sofia;;;;;;;;;x
b_perunik;Perunik;;;;;;;;;x
d_knights_of_saint_charbel;Knights of Saint Charbel;;;;;;;;;x
d_knights_of_saint_charbel_adj;Charbelites;;;;;;;;;x
d_nekrasovtsy;Nekrasovtsy;;;;;;;;;x
d_nekrasovtsy_adj;Nekrasovtsy;;;;;;;;;x
d_stargazers;Stargazers;;;;;;;;;x
d_stargazers_adj;Stargazer;;;;;;;;;x
d_puolustusvoimat;Puolustusvoimat;;;;;;;;;x
d_puolustusvoimat_adj;Puolustusvoimater;;;;;;;;;x
b_rila;Rila;;;;;;;;;x
b_kostendil;Kostendil;;;;;;;;;x
b_veliko_trnovo;Veliko Trnovo;;;;;;;;;x
b_sevlijevo;Sevlijevo;;;;;;;;;x
b_gabrovo;Gabrovo;;;;;;;;;x
b_elena;Elena;;;;;;;;;x
b_bor;Bor;;;;;;;;;x
b_pozharevac;Pozharevac;;;;;;;;;x
b_negotin;Negotin;;;;;;;;;x
b_majdanpek;Majdanpek;;;;;;;;;x
b_varna;Varna;;;;;;;;;x
b_dobrich;Dobrich;;;;;;;;;x
b_kavarna;Kavarna;;;;;;;;;x
b_devlja;Devlja;;;;;;;;;x
b_burgas;Burgas;;;;;;;;;x
b_nesebar;Nesebar;;;;;;;;;x
b_jambol;Jambol;;;;;;;;;x
b_sredec;Sredec;;;;;;;;;x
b_lozarevo;Lozarevo;;;;;;;;;x
b_gorica;Gorica;;;;;;;;;x
b_kopar;Kopar;;;;;;;;;x
b_pivka;Pivka;;;;;;;;;x
b_postojna;Postojna;;;;;;;;;x
b_ljubljana;Ljubljana;;;;;;;;;x
b_kranj;Kranj;;;;;;;;;x
b_novo_mesto;Novo Mesto;;;;;;;;;x
b_ribnica;Ribnica;;;;;;;;;x
b_maribor;Maribor;;;;;;;;;x
b_ptuj;Ptuj;;;;;;;;;x
b_celje;Celje;;;;;;;;;x
b_zhalec;Zahlec;;;;;;;;;x
b_skopje;Skopje;;;;;;;;;x
b_kumanovo;Kumanovo;;;;;;;;;x
b_stip;Štip;;;;;;;;;x
b_strumica;Strumica;;;;;;;;x
b_berovo;Berovo;;;;;;;;x
b_djevdjelija;Djevdjelija;;;;;;;;x
b_skadar;Skadar;;;;;;;;x
b_lezhe;Lezhe;;;;;;;;x
b_kuhes;Kuhes;;;;;;;;x
b_peshkopi;Peshkopi;;;;;;;;x
b_vlore;Vlore;;;;;;;;x
b_gjirokaster;Gjirokaster;;;;;;;;x
b_sarande;Sarande;;;;;;;;x
b_tirana;Tirana;;;;;;;;x
b_durres;Durres;;;;;;;;x
b_elbasan;Elbasan;;;;;;;;x
b_bilisht;Bilisht;;;;;;;;x
b_sabac;Šabac;;;;;;;;x
b_bjeljina;Bjeljina;;;;;;;;x
b_valjevo;Valjevo;;;;;;;;x
b_nis;Niš;;;;;;;;x
b_pirot;Pirot;;;;;;;;x
b_leskovac;Leskovac;;;;;;;;x
b_krusevac;Kruševac;;;;;;;;x
b_pristina;Priština;;;;;;;;x
b_kosovska_mitrovica;Kosovska Mitrovica;;;;;;;;x
b_pec;Pec;;;;;;;;x
b_prizren;Prizren;;;;;;;;x
b_uzhice;Uzhice;;;;;;;;x
b_cacak;Chachak;;;;;;;;x
b_kraljevo;Kraljevo;;;;;;;;x
b_vrnjacka_banja;Vrnjachka Banja;;;;;;;;x
b_novi_pazar;Novi Pazar;;;;;;;;x
b_sjenica;Sjenica;;;;;;;;x
b_bjelo_polje;Bjelo Polje;;;;;;;;x
b_sremska_mitrovica;Sremska Mitrovica;;;;;;;;x
b_zemun;Zemun;;;;;;;;x
b_ruma;Ruma;;;;;;;;x
b_indjija;Indjija;;;;;;;;x
b_novi_sad;Novi Sad;;;;;;;;x
b_subotica;Subotica;;;;;;;;x
b_apatin;Apatin;;;;;;;;x
b_zrenjanin;Zrenjanin;;;;;;;;x
d_order_of_white_lotus;Order of the White Lotus;;;;;;;;x
d_order_of_white_lotus_adj;White Lotus;;;;;;;;x
b_podgorica;Podgorica;;;;;;;;x
b_budva;Budva;;;;;;;;x
b_bar;Bar;;;;;;;;x
b_ulcinj;Ulcinj;;;;;;;;x
b_kotor;Kotor;;;;;;;;x
b_niksic;Nikšic;;;;;;;;x
b_tivat;Tivat;;;;;;;;x
b_pljevlja;Pljevlja;;;;;;;;x
b_herceg_novi;Herceg Novi;;;;;;;;x
b_neum;Ploce;;;;;;;;x
b_hutovo;Hutovo;;;;;;;;x
b_klek;Klek;;;;;;;;x
b_trebinje;Trebinje;;;;;;;;x
b_mostar;Mostar;;;;;;;;x
b_gacko;Gacko;;;;;;;;x
b_stolac;Stolac;;;;;;;;x
b_sarajevo;Sarajevo;;;;;;;;x
b_visegrad;Višegrad;;;;;;;;x
b_tuzla;Tuzla;;;;;;;;x
b_zenica;Zenica;;;;;;;;x
b_banja_luka;Banja Luka;;;;;;;;x
b_doboj;Doboj;;;;;;;;x
b_orasje;Orašje;;;;;;;;x
b_bihac;Bihac;;;;;;;;x
b_drvar;Drvar;;;;;;;;x
b_prijedor;Prijedor;;;;;;;;x
b_trogir;Trogir;;;;;;;;x
b_knin;Knin;;;;;;;;x
b_senj;Senj;;;;;;;;x
b_zadar;Zadar;;;;;;;;x
b_starigrad;Starigrad;;;;;;;;x
b_grachac;Grachac;;;;;;;;x
b_jasenice;Jasenice;;;;;;;;x
b_udbina;Udbina;;;;;;;;x
b_prizna;Prizna;;;;;;;;x
b_gospic;Gospic;;;;;;;;x
b_osijek;Osijek;;;;;;;;x
d_sikkim;Sikkim;;;;;;;;x
d_sikkim_adj;Sikkimite;;;;;;;;x
k_sikkim;Sikkim;;;;;;;;x
k_sikkim_adj;Sikkimite;;;;;;;;x
b_zemun2;Zemun;;;;;;;;x
d_neo_zorvanite;The Neo-Zorvanite Church;;;;;;;;x
d_neo_zorvanite_adj;Neo-Zorvanite;;;;;;;;x
















