# Adjusted and given namespace
evt_CK2_209_desc_a;They declined our gift!;Notre présent a été refusé !;Sie haben unser Geschenk abgelehnt!;;¡Han rechazado nuestro obsequio!;;;;;;;;;x
evt_CK2_247_desc_a;You have increased your Martial skill (§G+1§!) while leading troops in battle in §Y[Root.Location.GetName]§!.;Vous avez augmenté votre compétence martiale (§G+1§!) en menant des troupes dans la bataille en §Y[Root.Location.GetName]§!.;Ihr habt Eure Kriegskünste (§G+1§!) verbessert, während Ihr in §Y[Root.Location.GetName]§! Eure Truppen in der Schlacht führtet.;;Tu marcialidad ha aumentado (§G+1§!) al liderar a las tropas en la batalla de §Y[Root.Location.GetName]§!.;;;;;;;;;x
evt_CK2_250_desc_a;In spite of my efforts, I have been captured by the armies of [From.GetBestName]!;Malgré mes efforts, j'ai été capturé[Root.Get_E] par les hommes [From.Get_only_du_Title][From.GetBestName] !;Trotz meiner Bemühungen wurde ich von den Armeen von [From.GetBestName] gefangen genommen!;;¡A pesar de mis esfuerzos, me han capturado los ejércitos de [From.GetBestName]!;;;;;;;;;x
evt_CK2_261_desc_b;A soldier has distinguished himself on the battlefield. Such an asset! This must be what the vision was about!;Un soldat s'est distingué sur le champ de bataille. Quel atout ! Ce doit être ce que la vision disait !;Ein Soldat hat sich auf dem Schlachtfeld hervorgetan. Das ist ein großes Plus! Vielleicht war es diese Sache, um die es in meiner Vision ging!;;Un soldado ha sobresalido en el campo de batalla. ¡Su aportación es inestimable! ¡Esto es a lo que debía de estar refiriéndose mi visión!;;;;;;;;;x
evt_CK2_261_desc_c;A skillful soldier almost singlehandedly took down the enemy army in a battle today. It makes me doubt the troublesome vision I had.;Un soldat habile a abattu presque à lui seul l'armée ennemie dans une bataille aujourd'hui. Cela me fait douter de la vision pénible que j'ai eue.;Einem fähigen Soldaten gelang es heute beinahe im Alleingang, die feindliche Armee zu besiegen. Dies lässt Zweifel an meiner unguten Vision aufkommen.;;Hoy, un aguerrido soldado ha acabado con el ejército enemigo prácticamente sin ayuda. Esto me hace dudar sobre la visión alarmante que tuve.;;;;;;;;;x
evt_CK2_304_desc_b;The fruit of [FromFrom.Mother.GetFirstName]'s shameful infidelity has finally been born. I still cannot believe [FromFrom.Mother.GetSheHe] would betray me so brazenly.;Le fruit de l'infidélité honteuse de [FromFrom.Mother.GetFirstName] est finalement venu au monde. Je n'arrive toujours pas à croire qu'elle ait pu me trahir de manière aussi effrontée.;Die Früchte der schändlichen Untreue von [FromFrom.Mother.GetFirstName] sind endlich geboren. Ich kann noch immer nicht fassen, wie [FromFrom.Mother.GetSheHe] mich so sehr verraten konnte.;;Por fin ha nacido el fruto de la vergonzosa infidelidad de [FromFrom.Mother.GetFirstName]. No me puedo creer que me traicionara tan descaradamente.;;;;;;;;x
evt_CK2_400_desc_b;I am surely with child... I wonder what my late husband would think of this.;Je suis sûrement enceinte... Je me demande ce que mon défunt mari en penserait.;Ich bin schwanger... Ich frage mich, was mein verstorbener Mann darüber denken würde.;;Estoy embarazada… me pregunto qué pensaría mi difunto marido.;;;;;;;;x
evt_CK2_400_desc_c;I am surely with child... my consort will be pleased.;Je suis sûrement enceinte... mon concubin va être content.;Ich bin schwanger... mein Konkubinator wird sich freuen.;;Creo que estoy embarazada… seguro que mi concubino está encantado.;;;;;;;;;x
evt_CK2_400_DESC_D;I am surely with child. I wonder which one of my consorts is the lucky father...;Je suis sûrement enceinte. Je me demande lequel de mes concubins est l'heureux père...;Ich bin schwanger... welcher meiner Konkubinatoren wohl der Vater ist!?;;Creo que estoy embarazada. No sé cuál de mis concubinos será el afortunado padre…;;;;;;;;;x
evt_CK2_534_desc_a;The [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName] has resulted in [New.GetTitledName] converting, and becoming a faithful [From.Religion.GetGroupName]. [From.Religion.GetRandomGodNameCap] will surely be pleased!;La [From.Religion.GetCrusadeName] pour [Root.GetBaseName] contre [New.Get_le_TitledName] se termine par la conversion de [New.GetCeluiCelle]-ci à la religion [From.GetReligiousGroupFem]. Cela plaira devrait plaire [From.Get_au_HighGod].;Der [From.Religion.GetCrusadeName] um [Root.GetBaseName] gegen [New.GetTitledName] hat dazu geführt, dass [New.GetTitledName] konvertiert ist und ein frommer [From.Religion.GetGroupName] wurde.;;La [From.Religion.GetCrusadeName] por [Root.GetBaseName] contra [New.GetTitledName] ha terminado en que [New.GetTitledName] se convierte en un [From.Religion.GetGroupName] fiel. ¡Seguro que [From.Religion.GetRandomGodNameCap] estará encantado!;;;;;x
evt_CK2_535_desc_a;I was remiss not to invite you in the first place. You may indeed join my plot to [From.GetPlot].;J'ai eu tort de ne pas vous inviter initialement. Vous pouvez en effet rejoindre mon complot visant à [From.GetPlot].;Es war ein Fehler, Euch nicht von Anfang an einzuladen. Ihr könnt Euch gerne meiner Verschwörung mit dem Ziel "[From.GetPlot]" anschließen.;;Fue un descuido no invitarte desde el primer momento. Por supuesto que puedes participar en el complot ([From.GetPlot]).;;;;;;;;;x
evt_CK2_536_desc_a;Why would I want the help of the likes of you with my plot to [From.GetPlot]?;Pourquoi aurais-je besoin de l'aide de gens comme vous dans mon complot visant à [From.GetPlot] ?;Warum sollte ich die Hilfe von jemandem wie Euch bei meiner Verschwörung mit dem Ziel "[From.GetPlot]" benötigen?;;¿Por qué iba a querer que alguien como tú metiese las narices en mi complot ([From.GetPlot])?;;;;;;;;;x
evt_CK2_537_desc_a;I accept your gracious offer. [Root.GetTitledFirstName] will make a fine [Root.GetConsortSexCap]!;J'accepte votre gracieuse offre. [Root.Get_Le_TitledFirstName] fera un[Root.Get_E] b[Root.GetEauElle] [Root.GetConsortSex] !;Ich nehme euer großzügiges Angebot an. [Root.GetTitledFirstName] wird eine(n) gute(n) [Root.GetConsortSexCap] hergeben!;;Agradezco tu generosa oferta. ¡[Root.GetTitledFirstName] será un[Root.GetXA] gran [Root.GetConsortSexCap]!;;;;;;;;x
evt_CK2_660_desc_b;That vile hag [From.GetBestName] has forced me to become her consort!;Cette mégère de [From.GetBestName] m'a forcé à devenir son concubin !;Diese alte Hexe [From.GetBestName] hat mich gezwungen, ihr Konkubinator zu werden!;;¡Esa bruja de [From.GetBestName] me ha obligado a convertirme en su concubino!;;;;;;;;;x
evt_CK2_662_desc_b;[FromFrom.GetBestName] has forced my husband [From.GetBestName] to become her consort!;[FromFrom.Get_only_Le_Title][FromFrom.GetBestName] a forcé mon mari à devenir son concubin !;[FromFrom.GetBestName] hat meinen Ehemann [From.GetBestName] dazu gezwungen, ihr Konkubinator zu werden.;;¡[FromFrom.GetBestName] ha obligado a mi marido, [From.GetBestName], a convertirse en su concubino!;;;;;;;;;x
evt_CK2_933_desc_a;A noble in [Root.Location.GetName] caught me while I was spying there!;Un noble en [Root.Location.GetName] m'a surpris[Root.Get_E] en train d'espionner !;Ein Adliger in [Root.Location.GetName] hat mich beim Spionieren ertappt!;;¡Un noble en [Root.Location.GetName] me descubrió mientras espiaba!;;;;;;;;;x
