metal_type_opinion;Metal Opinion;;;;;;;;;x
earth_type_opinion;Earth Opinion;;;;;;;;;x
water_type_opinion;Water Opinion;;;;;;;;;x
wood_type_opinion;Wood Opinion;;;;;;;;;x
fire_type_opinion;Fire Opinion;;;;;;;;;x
earth_type;Earth Aligned;;;;;;;;;x
water_type;Water Aligned;;;;;;;;;x
wood_type;Wood Aligned;;;;;;;;;x
fire_type;Fire Aligned;;;;;;;;;x
metal_type;Metal Aligned;;;;;;;;;x
######
earth_type_desc;This character is aligned with the element of Earth;;;;;;;;;x
water_type_desc;This character is aligned with the element of Water;;;;;;;;;x
wood_type_desc;This character is aligned with the element of Wood;;;;;;;;;x
fire_type_desc;This character is aligned with the element of Fire;;;;;;;;;x
metal_type_desc;This character is aligned with the element of Metal;;;;;;;;;x
######
EVTDESC_ELEM_1;In traditional Chinese folklore it is believed that every person must align with one of the five elements, those being: Water, Wood, Fire, Earth and Metal. It is time for you to determine your alignment.;;;;;;;;;x
EVTOPTA_ELEM_1;I align with the Water Element.;;;;;;;;;x
EVTOPTB_ELEM_1;I align with the Wood Element.;;;;;;;;;x
EVTOPTC_ELEM_1;I align with the Fire Element.;;;;;;;;;x
EVTOPTD_ELEM_1;I align with the Earth Element.;;;;;;;;;x
EVTOPTE_ELEM_1;I align with the Metal Element.;;;;;;;;;x
