#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

demand_kingdom_title;Demand that §Y[Root.Liege.GetTitledFirstName]§W grant §Y[Root.GetTitledFirstName]§W the §Y[Root.Capital.Kingdom.GetFullName]§W;;Forderung, dass §Y[Root.Liege.GetTitledFirstName]§W §Y[Root.GetTitledFirstName]§W das §Y[Root.Capital.Kingdom.GetFullName]§W gewährt;;;;;;;;;;;x

EVTDESC_Plus_100;I have decided to pardon [From.GetTitledName] of all [From.GetHerHis] crimes.;;Ich habe beschlossen, [From.GetTitledName] von allen [From.GetHerHis] Verbrechen zu begnadigen.;;;;;;;;;;;x
EVTOPTA_Plus_100;Mercy is a virtue;;Gnade ist eine Tugend;;;;;;;;;;;x
EVTOPTB_Plus_100;Eh, never mind;;Ach, vergiss es;;;;;;;;;;;x
EVTDESC_Plus_105;I have decided to grant estates and land to [From.GetFullName], but how much land will [From.GetSheHe] receive?;;Ich habe beschlossen, [From.GetFullName] Ländereien und Land zu gewähren, aber wie viel Land wird [From.GetSheHe] erhalten?;;;;;;;;;;;x
EVTOPTA_Plus_105;A minor estate;;Ein kleines Landgut;;;;;;;;;;;x
EVTOPTB_Plus_105;A moderate estate;;Ein mäßiges Landgut;;;;;;;;;;;x
EVTOPTC_Plus_105;A large estate;;Ein großes Landgut;;;;;;;;;;;x
EVTOPTD_Plus_105;None at all!;;Überhaupt keins!;;;;;;;;;;;x
EVTDESC_Plus_107;Today, my [GetFromRelation] [From.GetFirstName] asked me for landed estates to live off...;;Heute bat mich mein [GetFromRelation] [From.GetFirstName] um Landbesitz, um davon leben zu können...;;;;;;;;;;;x
EVTOPTA_Plus_107;I gave [From.GetHerHim] what [From.GetSheHe] wanted;;Ich gab [From.GetHerHim], was [From.GetSheHe] wollte;;;;;;;;;;;x
EVTOPTB_Plus_107;I told [From.GetHerHim] I could not afford it...;;Ich sagte [From.GetHerHim], dass ich es mir nicht leisten könne...;;;;;;;;;;;x
EVTDESC_Plus_109;I have arranged for the sale of my old estates so that I can concentrate my wealth to the lands that I now hold.;;Ich habe den Verkauf meiner alten Ländereien veranlasst, damit ich mein Vermögen auf die Ländereien konzentrieren kann, die ich jetzt besitze.;;;;;;;;;;;x
EVTDESC_Plus_115;A claim on a title has been discovered!;;Es wurde ein Anspruch auf einen Titel entdeckt!;;;;;;;;;;;x
EVTDESC_Plus_116;I have learned that [From.GetTitledName] has laid claim to one of my titles on the grounds of ancestral inheritance.;;Ich habe erfahren, dass [From.GetTitledName] Anspruch auf einen meiner Titel erhebt, und zwar aufgrund von Erbansprüchen der Vorfahren.;;;;;;;;;;;x
EVTOPTA_Plus_116;[From.GetSheHeCap] better not try anything!;;[From.GetSheHeCap] sollte besser nichts versuchen!;;;;;;;;;;;x
