PROV2515;Lakshadweep;;;;;;;;;x
c_lakshadweep;Lakshadweep;;;;;;;;;x
b_andrott;Andrott;;;;;;;;;x
b_kavaratti;Kavaratti;;;;;;;;;x
b_minicoy;Minicoy;;;;;;;;;x
b_agatti;Agatti;;;;;;;;;x
b_amini;Amini;;;;;;;;;x
b_kalpeni;Kalpeni;;;;;;;;;x
b_kiltan;Kiltan;;;;;;;;;x
PROV2516;Masirah;;;;;;;;;x
c_masirah;Masirah;;;;;;;;;x
b_sur_masirah;Sur Masirah;;;;;;;;;x
b_mursays;Mursays;;;;;;;;;x
b_urf;Urf;;;;;;;;;x
b_hiql;Hiql;;;;;;;;;x
b_dawwah;Dawwah;;;;;;;;;x
b_maghilah;Maghilah;;;;;;;;;x
b_dafiyat;Dafiyat;;;;;;;;;x
b_al_kalban;Al Kalban;;;;;;;;;x
b_bu_rasas;Bu Rasas;;;;;;;;;x
PROV2519;Kish;;;;;;;;;x
c_kish;Kish;;;;;;;;;x
b_kish;Kish;;;;;;;;;x
b_safain;Safain;;;;;;;;;x
b_jiroth_2;Jiroth;;;;;;;;;x
b_lavan;Lavan;;;;;;;;;x
b_baghou;Baghou;;;;;;;;;x
b_hendorabi;Hendorabi;;;;;;;;;x
b_kargahi;Kargahi;;;;;;;;;x
b_nobonyad;Nobonyad;;;;;;;;;x
b_hengman;Hengman;;;;;;;;;x
d_gulf_of_fars;Gulf of Fars;;;;;;;;;x
d_gulf_of_fars_adj;Fars Gulfer;;;;;;;;;x
PROV2520;Farasan;;;;;;;;;x
c_farasan;Farasan;;;;;;;;;x
b_farasan;Farasan;;;;;;;;;x
b_sair;Sair;;;;;;;;;x
b_sajid;Sajid;;;;;;;;;x
b_sumayi;Sumayi;;;;;;;;;x
b_khutob;Khutob;;;;;;;;;x
b_juzur;Juzur;;;;;;;;;x
b_abu_twoq;Abu Twoq;;;;;;;;;x
PROV2601;Dahlak;;;;;;;;;x
c_dahlak;Dahlak;;;;;;;;;x
b_debealuwa;Debealuwa;;;;;;;;;x
b_nora;Nora;;;;;;;;;x
b_jimhil;Jimhil;;;;;;;;;x
b_harat;Harat;;;;;;;;;x
b_nocra;Nocra;;;;;;;;;x
b_gabbi_hu;Gabbi Hu;;;;;;;;;x
b_port_smyth;Port Smyth;;;;;;;;;x
PROV2602;Karpathos;;;;;;;;;x
c_karpathos;Karpathos;;;;;;;;;x
b_karpathos;Karpathos;;;;;;;;;x
b_kira_panagia;Kira Panagia;;;;;;;;;x
b_kasos;Kasos;;;;;;;;;x
b_tristomo;Tristomo;;;;;;;;;x
b_dhiafanion;Dhiafanion;;;;;;;;;x
b_armathia;Armathia;;;;;;;;;x
b_kato_lefkos;Kato Lefkos;;;;;;;;;x
b_chadies;Chadies;;;;;;;;;x
PROV2603;Gavdos;;;;;;;;;x
c_gavdos;Gavdos;;;;;;;;;x
b_kastri;Kastri;;;;;;;;;x
b_gavdopoula;Gavdopoula;;;;;;;;;x
b_karave;Karave;;;;;;;;;x
b_foika;Foika;;;;;;;;;x
b_ampelos;Ampelos;;;;;;;;;x
b_vatsiana;Vatsiana;;;;;;;;;x
b_sarakiniko;Sarakiniko;;;;;;;;;x
b_alepousa;Alepousa;;;;;;;;;x
PROV2604;Lampedusa;;;;;;;;;x
c_lampedusa;Lampedusa;;;;;;;;;x
b_lampedusa;Lampedusa;;;;;;;;;x 
b_cala_creta;Cala Creta;;;;;;;;;x 
b_cala_francesca;Cala Francesca;;;;;;;;;x 
b_conigli;Conigli;;;;;;;;;x 
b_sacramento;Sacramento;;;;;;;;;x 
b_ponete;Ponete;;;;;;;;;x 
b_grecale;Grecale;;;;;;;;;x 
b_pisana;Pisana;;;;;;;;;x 
b_galera;Galera;;;;;;;;;x 
PROV2605;Linosa;;;;;;;;;x
c_linosa;Linosa;;;;;;;;;x
b_linosa;Linosa;;;;;;;;;x 
b_calcarella;Calcarella;;;;;;;;;x 
b_greco;Greco;;;;;;;;;x 
b_paranzella;Paranzella;;;;;;;;;x 
b_nero;Nero;;;;;;;;;x 
b_rosso_2;Rosso;;;;;;;;;x 
b_alberto;Alberto;;;;;;;;;x 
b_mannarazza;Mannarazza;;;;;;;;;x 
b_marini;Marini;;;;;;;;;x 
PROV2606;Ischia;;;;;;;;;x 
c_ischia;Ischia;;;;;;;;;x 
b_ischia;Ischia;;;;;;;;;x 
b_forio;Forio;;;;;;;;;x  
b_panza;Panza;;;;;;;;;x  
b_procida;Procida;;;;;;;;;x 
b_chiaia;Chiaia;;;;;;;;;x  
b_casamicciola;Casamicciola;;;;;;;;;x 
b_carta_romana;Carta Romana;;;;;;;;;x  
b_fontana;Fontana;;;;;;;;;x 
PROV2607;Kerkennah;;;;;;;;;x 
c_kerkennah;Kerkennah;;;;;;;;;x 
b_ouled;Ouled;;;;;;;;;x 
b_kraten;Kraten;;;;;;;;;x 
b_sharqi;Sharqi;;;;;;;;;x 
b_mellita;Mellita;;;;;;;;;x 
b_yaneg;Yaneg;;;;;;;;;x 
b_ennajet;Ennajet;;;;;;;;;x 
b_alataya;Alataya;;;;;;;;;x 
b_kantara;Kantara;;;;;;;;;x 
PROV2608;Achill;;;;;;;;;x 
c_achill;Achill;;;;;;;;;x 
b_achill_sound;Achill Sound;;;;;;;;;x 
b_bleanaskill;Bleanaskill;;;;;;;;;x 
b_saula_west;Saula West;;;;;;;;;x 
b_inishbofin;Inishbofin;;;;;;;;;x 
b_dooagh;Dooagh;;;;;;;;;x 
b_doogort;Doogort;;;;;;;;;x 
b_keem;Keem;;;;;;;;;x 
PROV2609;Hormozgan;;;;;;;;;x 
c_hormozgan;Hormozgan;;;;;;;;;x 
b_binar_abbas;Binar Abbas;;;;;;;;;x 
b_minab_2;Minab;;;;;;;;;x 
b_jiroft;Jiroft;;;;;;;;;x 
b_anbarabad;Anbarabad;;;;;;;;;x 
b_dehbarez;Dehbarez;;;;;;;;;x 
b_esfandagheh;Esfabdagheh;;;;;;;;;x 
b_bandar_e_khamir;Bandar e Khamir;;;;;;;;;x 
PROV2610;Alghero;;;;;;;;;x 
c_alghero;Alghero;;;;;;;;;x 
b_alghero;Alghero;;;;;;;;;x 
b_porto_torres;Porto Torres;;;;;;;;;x 
b_stintino;Stintino;;;;;;;;;x 
b_fertilla;Fertilla;;;;;;;;;x 
b_argentiera;Argentiera;;;;;;;;;x 
b_porto_conte;Porto Conte;;;;;;;;;x 
b_san_nicola;San Nicola;;;;;;;;;x 
b_palmadula;Palmadula;;;;;;;;;x 
PROV2611;Lochaber;;;;;;;;;x 
c_lochaber;Lochaber;;;;;;;;;x 
b_fort_william;Fort William;;;;;;;;;x 
b_glencoe;Glencoe;;;;;;;;;x 
b_onoich;Onoich;;;;;;;;;x 
b_strontian;Strontian;;;;;;;;;x 
b_kilchoan;Kilchoan;;;;;;;;;x 
b_corpach;Corpach;;;;;;;;;x 
b_orchy;Orchy;;;;;;;;;x 
PROV2612;Anjaw;;;;;;;;;x
c_anjaw_adj;Anjawan;;;;;;;;;x
