#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###### Religion/titles definitions;;;;;;;;;;;;;;x
HERO_RELIGION;Heroic Religion;Religion Héroique;;;;;;;;;;;;x
HERO_RELIGION_HOME_TERRITORY;Heroic Religion in Home Territory;Religion Héroique dans sa terre d'origine;;;;;;;;;;;;x
GOD_CERNNUNOS;Cernunnos;Cernunnos;Cernunnos;;Cernunnos;;;;;;;;;x
GOD_HORNED_ONE;The Horned One;Le Cornu;;;;;;;;;;;;x
GOD_ANGUS;Angus mac Og;Oengus;;;;;;;;;;;;x
GOD_DAGHDA;The Daghda;Le Dagda;;;;;;;;;;;;x
GOD_MANANNAN;Manannan mac Lir;Manannan Mac Lir;;;;;;;;;;;;x
GOD_LUGH;Lugh;Lugh;;;;;;;;;;;;x
GOD_MACHA;Macha;Macha;;;;;;;;;;;;x
GOD_DANA;Dannu;Dannu;;;;;;;;;;;;x
GOD_NUADA;Nuada;Nuada;;;;;;;;;;;;x
GOD_UNSEELIE;the Unseelie;;;;;;;;;;;;;x
GOD_RHIANNON;Rhiannon;;;;;;;;;;;;;x
GOD_SEQUANA;Sequana;;;;;;;;;;;;;x
THE_STONES;The Sacred Stones;Les pierre sacrées;;;;;;;;;;;;x
THE_BALLADS;The Ballads;Les ballades;;;;;;;;;;;;x
DRUID;Druid;Druide;;;;;;;;;;;;x
EVIL_BALOR;Balor;Balor;;;;;;;;;;;;x
EVIL_BRES;Bres;Bres;;;;;;;;;;;;x
GOD_CAILLEACH;Cailleach;Cailleach;;;;;;;;;;;;x
##### Various localisation strings ;;;;;;;;;;;;;;x
druid_lowercase;druid;druide;;;;;;;;;;;;x
#####;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
druid;Druid;;;;;;;;;;;;;x
druid_desc;The Druid's knowledge of the ancient Celtic ballads and of sacred traditions is great and their power among the Celts is without equal. They are responsible for organising worship and sacrifices, divination, and judicial procedure in Celtic society. In exchange for this knowledge and power, they give up all rights to inherit feudal lands.;;;;;;;;;;;;;x
bad_druid;Wizard;;;;;;;;;;;;;x
bad_druid_desc;This Druid has decided to use the ancient secrets of the Druid for their own personal gain, such sacrilegious behavior is unfitting of a Druid.;;;;;;;;;;;;;x
celtic_leader;Raider;;;;;;;;;;;;;x
celtic_leader_desc;This character has a fearsome reputation for leading lightning raids from the hills and capturing enemy commanders.;;;;;;;;;;;;;x
new_druid_in_court;New Druid in Court;;;;;;;;;;;;;x
new_druid_in_court_desc;A Druid has just arrived in this lord's court.;;;;;;;;;;;;;x
title_court_druid;Court Druid;;;;;;;;;;;;;x
title_court_druid_desc;Responsible for organising worship and sacrifices, divination, and judicial procedure in Celtic society, they are as essential to a ruler as his sword.;;;;;;;;;;;;;x
title_court_bard;Court Bard;;;;;;;;;;;;;x
title_court_bard_desc;Bards were those who sang the songs recalling the tribal warriors' deeds of bravery as well as the genealogies and family histories of the ruling strata among Celtic and Folklorist societies. The Celtic and Folklorist peoples maintain an intricate oral history committed to memory and transmitted by bards. Bards facilitated the memorization of such materials by the use of metre, rhyme and other formulaic poetic devices.;;;;;;;;;;;;;x
title_court_wizard;Court Wizard;Magicien de la cour;;;;;;;;;;;;x
title_court_wizard_desc;An unwashed, mysterious wizard from the countryside, his powers are unclear, but they serve to appease the more occult worries of a ruler.;Un païen, mystérieux et sale, venu de la campagne, ses pouvoir ne sont pas clair, mais servent à résoudre les problèmes les plus... ésotériques d'un souverain;;;;;;;;;;;;x
title_royal_champion;Champion;Champion;;;;;;;;;;;;x
title_royal_champion_desc;The best warrior of the land, the title of champion is a great honor among Celtic peoples, their task is to protect their king.;Le meilleur guerrier du pays, le titre de champion est un grand honneur parmis le peuple Celte.;;;;;;;;;;;;x
title_uchelwr;Uchelwr;Uchelwr;;;;;;;;;;;;x
title_uchelwr_desc;The Teulu (literally meaning "family") are strongly armed and mounted retainers. Known individually as Uchelwr, these upper class warriors favour red tunics, and dress for battle in a similar style to the Frankish knights, although armed with lances, the Uchelwr's throw javelins.";Les Teulu (littéralement “familles”) sont des membres de la domesticité du seigneur fortement armés et à cheval. Individuellement on les nomment Uchelwr, ces guerriers des classes aisés préfèrent porter une tunique rouge. Ils s'habillent pour le combat comme les chevaliers Francs. Bien qu'ils soit armés d'une lance, ils envoient aussi des javelines.;;;;;;;;;;;;x
