#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_acr_champion;Champion;Champion;Champion;;Campeón;;;;;;;;;x
title_acr_champion_desc;The person that this title is bestowed upon is considered to be the Champion of the Realm. There is surely no greater honor for mortal men to aspire to.;La personne à qui ce titre est décerné est considérée comme le champion du royaume. Aucun mortel ne saurait espérer titre plus honorable.;Die Person, die diesen Titel erhalten hat, wird als Champion des Reiches angesehen. Es gibt wahrlich keine größere Ehre für Sterbliche.;;La persona a la que se le otorga este título es considerada como el Campeón del Reino. No se puede aspirar a un honor mayor para los hombres mortales.;;;;;;;;;x
EXP_RELIGION;Expansionist Religion;;;;;;;;;;;;;x
EXP_RELIGION_HOME_TERRITORY;Expansionist Religion Home Territory;;;;;;;;;;;;;x
DEATH_LOST_DESERT;became lost in the desert, and never returned;;;;;;;;;;;;;x
CTT_CRUSADE_PAGANIFIED;In a paganified world, Crusades can only be called if a player is Christian.;;;;;;;;;;;;;x
CTT_JIHAD_PAGANIFIED;In a paganified world, Jihads can only be called if a player is Muslim.;;;;;;;;;;;;;x
Actor;Actor;;;;;;;;;;;;;x
Actress;Actress;;;;;;;;;;;;;x
###### Misc keys for events;;;;;;;;;;;;;;x
ancrel.damn;Damn!;;;;;;;;;;;;;;x
ancrel.horrible;This is horrible!;;;;;;;;;;;;;;x
ancrel.troublesome;Troublesome indeed...;;;;;;;;;;;;;;x
ancrel.that_bastard;Bastard...;;;;;;;;;;;;;x
ancrel.bummer;That's dissapointing...;;;;;;;;;;;;;x
ancrel.fantastic;That's fantastic!;;;;;;;;;;;;;x
ancrel.fool;That fool.;;;;;;;;;;;;;x
ancrel.well_done;Well done!;;;;;;;;;;;;;x
province_declines_custom_tooltip;[Root.GetName] loses some of its prosperity!;;;;;;;;;;;;;x
province_prospers_custom_tooltip;[Root.GetName] becomes more prosperous!;;;;;;;;;;;;;x
province_prospers_major_custom_tooltip;[This.GetName] becomes far more prosperous!;;;;;;;;;;;;;x
String_July;July;;;;;;;;;;;;;;x
String_friendly_to_outsiders;how friendly the emperor is to outsiders.;;;;;;;;;;;;;;x
acr_weight_loss_small;You lose a little weight.;;;;;;;;;;;;;;x
acr_weight_loss_medium;You lose weight.;;;;;;;;;;;;;;x
acr_weight_loss_large;You lose a great deal of weight.;;;;;;;;;;;;;;x
acr_weight_gain_small;You gain a little weight.;;;;;;;;;;;;;;x
acr_weight_gain_medium;You gain weight.;;;;;;;;;;;;;;x
acr_weight_gain_large;You gain a great deal of weight.;;;;;;;;;;;;;;x
acr_weight_balance_small;You're weight gets a little healthier.;;;;;;;;;;;;;;x
acr_weight_balance_medium;You're weight gets healthier.;;;;;;;;;;;;;;x
acr_weight_balance_large;You're weight gets a lot healthier.;;;;;;;;;;;;;;x
###### Misc opinion modifiers;;;;;;;;;;;;;x
ancrel_honored_me;Honored Me;;;;;;;;;;;;;x
ancrel_dissapointed;Disappointed;;;;;;;;;;;;;x
ancrel_jealous;Jealous;;;;;;;;;;;;;x
ancrel_pleased;Pleased;;;;;;;;;;;;;x
ancrel_furious;Furious;;;;;;;;;;;;;x
ancrel_grateful;Grateful;;;;;;;;;;;;;x
ancrel_interesting;Interesting...;;;;;;;;;;;;;x
ancrel_shared_religious_experience;Shared a religious experience;;;;;;;;;;;;;x
ancrel.9024.desc;It seems you've got an ancrel_oilworks, why don't I take that off your hands for the fair sum of 200g? I won't take no for an answer!;;;;;;;;;;;;;x
MNM.70400.c;This is too much!;;;;;;;;;;;;;x
MNM.70400.c.tt;You leave [Root.Society.GetName];;;;;;;;;;;;;x
must_not_fear_persecution;This character is too afraid of persecution to join.;;;;;;;;;;;;;x
ancrel.9101.desc;Your courtier, [From.GetBestName], has requested your leave to join the [holy_order.GetName] and fight for [From.GetReligionAdherent]s.;;;;;;;;;;;;x
ancrel.9101.a;Go, bring glory to [From.Religion.GetRandomGodName].;;;;;;;;;;;;x
ancrel.9101.a.tt;[From.GetFirstName] is pleased!;;;;;;;;;;;;x
ancrel.9101.b;No, I forbid it!;;;;;;;;;;;;x
ancrel.9101.b.tt;[From.GetFirstName] is dissapointed in your answer...;;;;;;;;;;;;x
ancrel.9107.desc;Greetings [Root.GetTitledFirstName], I hope this meets you well. I have learned of an excellent location to build a new fortress for the [holy_order.GetName] in [From.GetName]. We would of course compensate you for the land.\n\nWhat say you?;;;;;;;;;;;;x
ancrel.9107.a;Permission Granted;;;;;;;;;;;;x
ancrel.9107.b;I will do no such thing!;;;;;;;;;;;;x
ancrel.9108.desc;The construction of [holy_order.GetName] new fortress in [GetName] is completed!;;;;;;;;;;;;x
ancrel.9110.desc;The [From.GetTitle] have been expelled from your realm!;;;;;;;;;;;;x
ancrel.9110.a;Good riddance!;;;;;;;;;;;;x
ancrel.9112.desc;The [From.GetTitle] have received your generous donation!;;;;;;;;;;;;x
ancrel.9116.desc;Greetings [Root.GetTitledFirstName], \nThe [holy_order.GetName] is willing to... forget, your outstanding debts. But you must send your [FromFrom.GetSonDaughter] [FromFrom.GetFirstName] to us to join our cause.;;;;;;;;;;;;x
ancrel.9116.a;[FromFrom.GetFirstName] will fight with honor.;;;;;;;;;;;;x
ancrel.9116.b;Take the money, leave my [FromFrom.GetSonDaughter]!;;;;;;;;;;;;x
ancrel.9116.c;I don't take demands from you!;;;;;;;;;;;;x
ancrel.9118.desc;Your loan from the [holy_order.GetName] has been approved!;;;;;;;;;;;;x
ancrel.9120.desc;[From.GetFullName], [holy_order.GetRulerTitle] of the [holy_order.GetName], has recognized you as [From.GetHerHis] liege!;;;;;;;;;;;;x
ancrel.9124.desc;[borrower.GetTitledFirstName], \n\nIn lieu of payment for your outstanding debt, we insist you grant us leave to construct a fortress in your lands.;;;;;;;;;;;;x
ancrel.9124.a;I suppose I have no choice...;;;;;;;;;;;;x
ancrel.9124.b;I have your money, now go!;;;;;;;;;;;;x
ancrel.9124.c;I refuse!;;;;;;;;;;;;x
ancrel.9125.desc;A fortress has been constructed in [Root.GetName] by the [holy_order.GetName].;;;;;;;;;;;;x
ancrel.9125.a;I see...;;;;;;;;;;;;x
###### Generic Artifacts;;;;;;;;;;;;;x
wine_left_0;Poisoned Wine;;;;;;;;;;;;x
wine_left_0_desc;These bottles of otherwise acceptable wine have been dosed with a common poison.;;;;;;;;;;;;x
wine_left_1;Weak Wine;;;;;;;;;;;;x
wine_left_1_desc;This wine is weak, both in flavor and alcohol. It is good for cooking and desperate drunks.;;;;;;;;;;;;x
wine_left_2;Common Wine;;;;;;;;;;;;x
wine_left_2_desc;These bottles contain average wine. It won't offend anyone, but it won't impress either.;;;;;;;;;;;;x
wine_left_3;Fine Wine;;;;;;;;;;;;x
wine_left_3_desc;This wine is of a good quality, something all but the most particular pallete would enjoy.;;;;;;;;;;;;x
wine_left_4;Exquisite Wine;;;;;;;;;;;;x
wine_left_4_desc;This batch of wine is of surpassing quality, very few ever experience the pleasure of drinking a wine like this.;;;;;;;;;;;;x
wine_left_5;Perfect Wine;;;;;;;;;;;;x
wine_left_5_desc;These bottles are the pinnacle of wine-making. Skill alone could not produce such a draught, only divine intervention could provide the necessary circumstances.;;;;;;;;;;;;x
wine_right_0;Deadly Wine;;;;;;;;;;;;x
wine_right_0_desc;These bottles of otherwise acceptable wine have been infused with deadly poison.;;;;;;;;;;;;x
