#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_PROMETHEUS;Prometheus;Prometheus;Prometheus;;Prometheus;;;;;;;;;x
GOD_EPIMETHEUS;Epimetheus;Epimetheus;Epimetheus;;Epimetheus;;;;;;;;;x
GOD_OLYMPIANS;the Olympians;the Olympians;the Olympians;;the Olympians;;;;;;;;;x
GOD_THE_BROTHERS;the Brothers;;;;;;;;;;;;;x
GOD_PANDORA;Pandora;;;;;;;;;;;;;x
GOD_ASIA;Asia;;;;;;;;;;;;;x
THE_DIALOGUES;The Dialogues;The Dialogues;The Dialogues;;The Dialogues;;;;;;;;;x
PHILOSOPHER;Philosophos;Philosophos;Philosophos;;Philosophos;;;;;;;;;x
promethean_pagan;Promethean;Promethean;Promethean;;Promethean;;;;;;;;;x
promethean_pagan_DESC;Prometheanism is the worship of the Titan Prometheus and, to a lesser extent, his brother Epimetheus, as the fathers of humanity. Prometheanism acknowledges the existence, and divinity, of the Olympians, but rejects their worthiness as beings to be worshiped. Prometheans value intellectual pursuits above all, finding guile, diplomacy, and a quick wit to be the highest art forms. They find violence distasteful, but recognize that it is ocassionally necessary.;;;;;;;;;;;;;x
promethean_pagan_FEATURES;§Y*§! Prometheans gain a bonus to Learning.\n§Y*§! Prometheanism is a feminist faith.;;;;;;;;;;;;;x
promethean_expansion_desc;Independent Promethean rulers, with sufficient population (meaning no Depopulated provinces), may invade a neighboring kingdom to expand the realm.;;;;;;;;;;;;;x
CB_NAME_EXPANSION;Expansion into [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_EXPANSION;$ORDER$$FIRST_ADJ$ Expansion into $OTHER_TITLE$;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
job_spiritual_promethean_pagan;Daskalos;;;;;;;;;;;;;x
city_job_spiritual_promethean_pagan;Daskalos;;;;;;;;;;;;;x
tribal_job_spiritual_promethean_pagan;Daskalos;;;;;;;;;;;;;x
nomad_job_spiritual_promethean_pagan;Daskalos;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
title_master_scrolls;Archopapyri;;;;;;;;;;;;;x
title_master_scrolls_desc;The "master of scrolls" is in charge of their lords personal library. This posting involves few actual responsibilities, but is prestigious for the trust implicit in its position.;;;;;;;;;;;;;x
title_master_antiquities;Archothisavrous;;;;;;;;;;;;;x
title_master_antiquities_desc;The "master of treasures" is in charge of their lords personal collection of artefacts from centuries long past. This posting involves as much liability, in the form of responsibility for theft, as it does prestige. A slightly larger income is afforded to this position to pay for security of the artefacts;;;;;;;;;;;;;x
title_keeper_flame;Fylakasflogas;;;;;;;;;;;;;x
title_keeper_flame_desc;The "keeper of the flame" is responsible for the maintenance of the lord's personal shrine and sacred fire. The important religious nature of this position affords some leverage with the clergy.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
organize_men_of_steel;Organize the Men of Steel;;;;;;;;;;;;;x
organize_men_of_steel_desc;Create the Men of Steel, a Holy Order of Prometheanism.;;;;;;;;;;;;;x
hold_unbinding_festival;Hold the Unbinding Festival;;;;;;;;;;;;;x
hold_unbinding_festival_desc;Hold a festival in remembrance of Prometheus' Unbinding from Mt Kazbek;;;;;;;;;;;;;x
prepare_unbinding_festival;Begin preperations for the Unbinding Festival.;;;;;;;;;;;;;x
change_school;Choose A School;;;;;;;;;;;;;x
change_school_desc;Will you be Stoic, Skeptic, or Epicurean?;;;;;;;;;;;;;x
choose_school_tip;Choose which of the schools to follow...;;;;;;;;;;;;;x
rebuild_first_academy;Rebuild the First Academy;;;;;;;;;;;;;x
rebuild_first_academy_desc;Rebuild the First Academy, with the Scholarch as the head of the Promethean faith.;;;;;;;;;;;;;x
rebuild_crotone;Rebuild Crotone;;;;;;;;;;;;;x
rebuild_crotone_desc;Rebuild the Academy at Crotone;;;;;;;;;;;;;x
stimulate_growth;Stimulate Growth;;;;;;;;;;;;;x
stimulate_growth_desc;Stimulate economic growth in this province by diverting a portion of it's taxes to grain subsidies.;;;;;;;;;;;;;x
sponsor_local_festival;Sponsor Local Festival;;;;;;;;;;;;;x
sponsor_local_festival_desc;Local festivals are an excellent way to inject money into a provincial economy and please the locals.;;;;;;;;;;;;;x
infrastructure_projects;Invest in Infrastructure;;;;;;;;;;;;;x
infrastructure_projects_desc;:Improving the inrastructure in a province can have long term benefits for it's economy.;;;;;;;;;;;;;x
invite_settlement;Open For Settlement;;;;;;;;;;;;;x
invite_settlement_desc;Giving an open invitation to settle in the province will re-populate it much faster, but risks creating tension between locals and foreign settlers.;;;;;;;;;;;;;x
restrict_settlement;Restrict Settlement;;;;;;;;;;;;;x
restrict_settlement_desc;Rescind the open invitation for settlement in this province.;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
first_academy_restored;First Academy Restored;;;;;;;;;;;;;x
crotone_academy;Academy of Crotone Rebuilt;;;;;;;;;;;;;x
held_unbinding_festival_timer;Held an Unbinding Festival;;;;;;;;;;;;;x
held_unbinding_festival_timer_desc;This character has held the tri-annual Unbinding Festival.;;;;;;;;;;;;;x
opinion_held_unbinding_festival;Held an Unbinding Festival;;;;;;;;;;;;;x
acr_terrible_performance;Terrible Acting;;;;;;;;;;;;;x
acr_terrible_performance_desc;This character had a terrible performance on stage and is the subject of ridicule.;;;;;;;;;;;;;x
acr_bad_performance;Bad Acting;;;;;;;;;;;;;x
acr_bad_performance_desc;This character looked foolish on stage.;;;;;;;;;;;;;x
acr_good_performance;Good Acting;;;;;;;;;;;;;x
acr_good_performance_desc;This character performed well on stage.;;;;;;;;;;;;;x
acr_great_performance;Great Acting;;;;;;;;;;;;;x
acr_great_performance_desc;This character performed fantastically on stage.;;;;;;;;;;;;;x
acr_grand_sculpture;Grand Sculpture;;;;;;;;;;;;;x
acr_grand_sculpture_desc;This character owns an impressive sculpture and has it situated strategically in their palace for maximum effect.;;;;;;;;;;;;;x
acr_blasphemous_exhibition;Blasphemous Exhibition;;;;;;;;;;;;;x
acr_blasphemous_exhibition_desc;The populace are enraged by a rather blasphemous art exhibition that took place recently.;;;;;;;;;;;;;x
acr_excellent_performance;Excellent Performance;;;;;;;;;;;;;x
acr_excellent_performance_desc;The populace are pleased by an excellent play that was held recently.;;;;;;;;;;;;;x
holding_unbinding_festival;Holding Unbinding Festival;;;;;;;;;;;;;x
holding_unbinding_festival_desc;This character is holding an Unbinding Festival, a religious celebration of the Promethean faith held every third summer.;;;;;;;;;;;;;x
depopulated_province;Depopulated;;;;;;;;;;;;;x
depopulated_province_desc;This province was recently invaded and is severely depopulated. It will take a long time for it to fully recover.;;;;;;;;;;;;;x
request_resettlement;Request Resettlement;;;;;;;;;;;;;x
request_resettlement_desc;Request that [Root.GetTitledFirstName] send settlers to your lands.;;;;;;;;;;;;;x
prepare_settlers;Prepare Settlers;;;;;;;;;;;;;x
prepare_settlers_desc;You order local authorities in this county to begin preperations to relocate the peasants to another province.;;;;;;;;;;;;;x
not_already_preparing_settlers;Cannot be preparing settlers in another province.;;;;;;;;;;;;;x
stop_preparing_settlers;Stop Preparing Settlers;;;;;;;;;;;;;x
stop_preparing_settlers_desc;Order the local authorities to stop preparing the peasants for resettlement.;;;;;;;;;;;;;x
resettle_province;Resettle Province;;;;;;;;;;;;;x
resettle_province_desc;Mark this province as the place your settlers should move to.;;;;;;;;;;;;;x
must_be_preparing_settlers;Must be preparing settlers in a prosperous province;;;;;;;;;;;;;x
preparing_settlers;Preparing Settlers;;;;;;;;;;;;;x
preparing_settlers_desc;The locals here are preparing to send some of their number to another province as settlers.;;;;;;;;;;;;;x
sending_settlers;Locals begin preparing for resettlement...;;;;;;;;;;;;;x
acr_crotone_arts;Academy of the Arts;;;;;;;;;;;;;x
acr_crotone_arts_desc;This province is home to the Crotone Academy of the Arts, and enjoys quality entertainment and cultural advancement as a result.;;;;;;;;;;;;;x
acr_crotone_engineering;Academy of Engineering;;;;;;;;;;;;;x
acr_crotone_engineering_desc;This province is home to the Crotone Academy of Engineering. It benefits from advanced construction techniques pioneered at the school.;;;;;;;;;;;;;x
acr_crotone_military;Military Academy;;;;;;;;;;;;;x
acr_crotone_military_desc;This province is home to the Crotone Military Academy. Here cadets are transformed into officers, many of which go on to join the Men of Steel. Their presence strengthens the morale of the local garrison.;;;;;;;;;;;;;x
borrowed_from_d_men_of_steel;Borrowed from the Men of Steel;;;;;;;;;;;;x
borrowed_from_d_men_of_steel_desc;This character has an outstanding loan with the Men of Steel.;;;;;;;;;;;;x
expelled_d_men_of_steel;Expelled the Men of Steel;;;;;;;;;;;;x
expelled_d_men_of_steel_desc;This character, or a predecessor, banished the Men of Steel from the realm and seized their titles.;;;;;;;;;;;;x
acr_stimulate_growth;Grain Subsidies;;;;;;;;;;;;x
acr_stimulate_growth_desc;A portion of this province's taxes have been put aside to provide assistance to the poorer citizens.;;;;;;;;;;;;x
acr_local_festival;Sponsored Festival;;;;;;;;;;;;x
acr_local_festival_desc;This province recently had one of it's local festivals sponsored by the lord of the realm.;;;;;;;;;;;;x
acr_open_settlement;Open Settlement;;;;;;;;;;;;x
