#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
promethean.100.desc;The people of [Root.GetName] have seen significant improvements in their quality of life with the grain subsidies in place. The population has increased and the people are more industrious.;;;;;;;;;;;;;x
promethean.101.desc;With the improvements to the road network in [Root.GetName] there's been an uptick in trade and commerce.;;;;;;;;;;;;;x
promethean.102.desc;Improved roads and regularly placed guard towers have improved security in [Root.GetName], cutting down on banditry and improving commerce.;;;;;;;;;;;;;x
promethean.103.desc;The people of [Root.GetName] have seen greater crop yields since a dam was built, increasing the amount of arable land.;;;;;;;;;;;;;x
promethean.104.desc;The farms of [Root.GetName] are producing more crops than ever before, due to greatly improved irrigation throughout the province.;;;;;;;;;;;;;x
promethean.105.desc;The trade routes in [Root.GetName] have been made more efficient through the repair of old bridges and the construction of new ones.;;;;;;;;;;;;;x
promethean.110.desc;A group of a few dozen settlers have arrived in [Root.GetName] from the neighboring province of [origin.GetName], having heard of your invitation for settlement.;;;;;;;;;;;;;x
promethean.111.desc;A large carvan of foreign settlers have arrived from [origin.GetName] looking to settle. While they speak a strange language and have odd customs, technically the province is open for settlement to all comers.;;;;;;;;;;;;;x
promethean.111.a;All are welcome in [Root.GetName]!;;;;;;;;;;;;;x
promethean.111.b;Keep them away from the good land, and under watch.;;;;;;;;;;;;;x.
promethean.111.c;No, tell them to go back.;;;;;;;;;;;;;x
promethean.112.desc;Word has reached you that the locals in [Root.GetName] are increasingly in conflict with the various groups that have been settling the province. If something isn't done we may risk open revolt.\nWhat's your decision?;;;;;;;;;;;;;x
promethean.112.a;They're just going to have to learn to get along.;;;;;;;;;;;;;x
promethean.112.b;Banish some of the trouble-makers.;;;;;;;;;;;;;x
promethean.112.c;Let me talk some sense into them.;;;;;;;;;;;;;x
promethean.113.desc;not implemented;;;;;;;;;;;;;x
promethean.113.a;not implemented;;;;;;;;;;;;;x
promethean.113.b;not implemented;;;;;;;;;;;;;x
promethean.114.desc;In the province of [Root.GetName] an extended family has come from [origin.GetName], seeking to settle down and make their fortune.;;;;;;;;;;;;;x
promethean.115.desc;A wealthy merchant from [origin.GetName] has formally requested permission to enter your service as a baron in [Root.GetName]. He will fund the construction of his keep himself and swear fealty to you. This will undoubtedly be a boon to the province and your rule, but it he will be bringing hundreds of [origin.Culture.GetName] people with him.;;;;;;;;;;;;x
promethean.115.a;All are welcome in [Root.GetName]!;;;;;;;;;;;;;x
promethean.115.b;I cannot risk so much foreign influence.;;;;;;;;;;;;;x
promethean.115.tt;[foreign_noble.GetFullName] and his retinue return to [origin.GetName].;;;;;;;;;;;;;x
promethean.116.prosperous;With the population of [Root.GetName] booming and it's economy soaring, the open invitation for settlement is farcical at best. We are forced to withdraw it.;;;;;;;;;;;;;x
promethean.116.infidel;With [Root.GetName] under our administration the status of open settlement is no longer under effect.;;;;;;;;;;;;;x
promethean.400.title;The First Academy Restored;;;;;;;;;;;;;x
promethean.400.desc;Centuries after Plato's Academy was shuttered by the Emperor Justinian, [From.GetTitledName] has restored the ancient center of learning to its former glory, establishing it as the center of Promethean philosophy and faith. The Scholarch of the First Academy will lead the Promethean faithful in religious and scholarly matters. This ushers in a new era of Promethean dominance!;;;;;;;;;;;;;x
promethean.400.a;Let it shine as a beacon of enlightenment!;;;;;;;;;;;;;x
promethean.400.b;Let its holy fires never darken!;;;;;;;;;;;;;x
promethean.400.c;Distressing...;;;;;;;;;;;;;x
CHRONICLE_FIRST_ACADEMY;[Root.GetFullName] rebuilt The First Academy and established a new Scholarch to lead the Promethean Faith.;;;;;;;;;;;;;x
promethean.402.desc;The province of [From.GetName], devestated after its conquest by your armies, has been slowly settled since then by people from your realm. The majority of its inhabitants are now [This.Culture.GetName] and [This.Religion.GetName]!;;;;;;;;;;;;;x
promethean.402.desc.reapers;Preperations in [donor_province.GetName] are nearly complete, the only question is how large this resettlement effort should be. The more you send to [receiver_province.GetName], the more likely it is the settlers will dominate the region for generations. Of course, this will also have a negative impact on the economy in [donor_province.GetName].\n\nWhat is your decision?;;;;;;;;;;;;;x
promethean.402.b;Resettle a village from [donor_province.GetName].;;;;;;;;;;;;;x
promethean.402.b.tt;[donor_province.GetName] loses one level of prosperity, [receiver_province.GetName] loses a level of depopulation.;;;;;;;;;;;;;x
promethean.402.c;Resettle several villages from [donor_province.GetName].;;;;;;;;;;;;;x
promethean.402.c.tt;[donor_province.GetName] loses two levels of prosperity, [receiver_province.GetName] loses two levels of depopulation.;;;;;;;;;;;;;x
promethean.402.d;I will order a mass migration from [donor_province.GetName]!;;;;;;;;;;;;;x
promethean.402.d.tt;[donor_province.GetName] loses all of its prosperity, [receiver_province.GetName] loses all of its depopulation.;;;;;;;;;;;;;x
promethean.402.e;Send a request to [Root.Liege.GetTitledFirstName] for settlers.;;;;;;;;;;;;;x
promethean.402.e.tt;[Root.Liege.GetTitledFirstName] will get your request.;;;;;;;;;;;;;x
promethean.405.desc;[receiver_province.Owner.GetTitledFirstName] has requested assisstance in settling [donor_province.GetName], as it is currently depopulated.;;;;;;;;;;;;;x
promethean.405.a;I don't want to deal with this, forward the request to [Root.Liege.GetTitledFirstName];;;;;;;;;;;;;x
promethean.405.a.tt;[Root.Liege.GetTitledFirstName] will get your request.;;;;;;;;;;;;;x
promethean.405.b;That land is [receiver_province.Owner.GetFirstName]'s responsibility!;;;;;;;;;;;;;x
promethean.405.b.tt;[receiver_province.Owner.GetTitledFirstName] is informed of your rejection.;;;;;;;;;;;;;x
promethean.405.c;I shall relocate a village from [donor_province.GetName].;;;;;;;;;;;;;x
promethean.405.c.tt;[receiver_province.Owner.GetTitledFirstName] is informed you are settling villagers in [receiver_province.GetName].;;;;;;;;;;;;;x
promethean.406.desc;You have received word that [From.GetTitledFirstName] got your request for aid in settling [receiver_province.GetName] and declined to send you aid!;;;;;;;;;;;;;x
promethean.407.desc;A large caravan, practically an entire village, has arrived in [receiver_province.GetName]. At the head of the caravan a man on horseback informs you that they are from [donor_province.GetName] and have been sent by [From.GetBestName] to settle the province!;;;;;;;;;;;;;x
promethean.403.desc;Now that you've come of age, it is time to decide which of the three great philosophical disciplines you will adhere to. This is an important decision in the life of every Promethean. It is not to be made lightly, nor can it be changed on a whim.;;;;;;;;;;;;;x
promethean.403.a;Stoicism is my guide.;;;;;;;;;;;;;x
promethean.403.b;Skepticism is the way to enlightenment.;;;;;;;;;;;;;x
promethean.403.c;Epicureanism is the path to Henosis.;;;;;;;;;;;;;x
promethean.404.desc;If there is one thing all three schools of thought within our faith agree on, in substance if not degree, it is that we must always question. To that end, you have begun to question the teachings of your current school. To which of the other two shall you turn your thoughts?;;;;;;;;;;;;;x
promethean.408.desc;With the creation of The First Academy by Promethean Scholarchs the three major schools of Neoplatonism are seeing a resurgence in popularity. Stoics, Skeptics, and Epicureans share many core beliefs, such as the need to question what you know and to seek inner perfection. They disagree on the details of how this should be done and what exactly is inner perfection.\nWhile there is no religious prohibition from joining, this outlook has always been more closely associated with Prometheanism in particular and Hellenism more generally.;;;;;;;;;;;;;x
#### Crotone ;;;;;;;;;;;;;;x
promethean.411.title;Crotone Construction Begins;;;;;;;;;;;;;x
