bloodline_effect_han_culture;§GConvert Counties§! to §GHan§! Culture faster;§GConvertir les comt§s§! § la culture §Gromaine§! plus vite;§GKonvertiert Grafschaften§! schneller zur §GR§mischen Kultur§!;;§GConvierte condados§! a cultura §romana§! m§s r§pidamente;;;;;;;;;x
bloodline_effect_indo_culture;§GConvert Counties§! to §GIndonesia§! Culture faster;;;;;;;;;x
chinese_emperor_male;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
chinese_emperor_female;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
bloodline_desc_chinese;The glorious restorer of the Chinese Empire, who brought China back under Imperial rule.;Le restaurateur glorieux de l'Empire romain, qui a ramen§ l'Europe, l'Afrique et l'Asie sous la domination imp§riale.;Derjenige, der das R§mische Reich wiederherstellte und Europa, Afrika und Asien zur§ck unter die Herrschaft des Kaisers brachte.;;El glorioso restaurador del Imperio romano, que puso de nuevo Europa, Asia y §frica bajo el mandato imperial.;;;;;;;;;x

marcos_bloodline;Blood of Ferdinand Marcos;;;;;;;;;x
marcos_bloodline_desc;This dynasty claims to be the descendant of the late presiden Ferdinand Marcos, a man loved and even somewhat worshipped as a legend in the Ilocos Region and despised everwhere else in the Philippines.;;;;;;;;;x
kiram_bloodline;Blood of the Kiram;;;;;;;;;x
kiram_bloodline_desc;The Kiram dynasty is recognized by antedilluvian Phillipine documents as the last dynasty that ruled Sulu even before the Event, and the descendants of the first Islamic dynasties in the Philippines. After the chaos during the Event, they have reclaimed their throne in Sulu.;;;;;;;;;x
nguyen_bloodline;Imperial blood of the Nguyen;;;;;;;;;x
nguyen_bloodline_desc;This character is descended from the lineage of the Nguyen dynasty. Originating as humble pagan chieftains, they arose like a sleeping dragon and wrestled Vietnam from the Red Emperor's tyrannical reign, ushering the nation into an era of prosperity unheard of since the Event.;;;;;;;;;x
varman_bloodline;Blood of the Varman;;;;;;;;;x
varman_bloodline_desc;This character comes from the unbroken line of ancient Angkorian kings, and while the realms of the Khmer greatly diminished in size, their splendor has yet to cease.;;;;;;;;;x
burmar_male;The Blood of Fourth King, [This.GetFirstNameWithNick];;;;;;;;;x
burmar_male_desc;It was [This.Founder.GetFirstNameWithNick] who united Old Burma and restored the lost glory of Burmese. A feat befitting of the fourth great Burmese king.;;;;;;;;;x
burmar_female;The Blood of Great Queen, [This.GetFirstNameWithNick];;;;;;;;;x
burmar_female_desc;It was [This.Founder.GetFirstNameWithNick] who united Old Burma and restored the lost glory of Burmese. A feat befitting of the greatest Burmese queen.;;;;;;;;;x
burmar_wacky_male;The Deva Blood of [This.GetFirstNameWithNick];;;;;;;;;x
burmar_wacky_male_desc;It was [This.Founder.GetFirstNameWithNick] who united Old Burma and defended Buddhism from heretical warlords. A feat befitting of the warrior-deva's lineage.;;;;;;;;;x
burmar_wacky_female;The Deva Blood of [This.GetFirstNameWithNick];;;;;;;;;x
burmar_wacky_female_desc;It was [This.Founder.GetFirstNameWithNick] who united Old Burma and defended Buddhism from heretical warlords. A feat befitting of the warrior-deva's lineage.;;;;;;;;;x
panglong_male;The Pacifier Blood of [This.GetFirstNameWithNick];;;;;;;;;x
panglong_male_desc;[This.Founder.GetFirstNameWithNick] restored the shattered Panglong Federation, bringing back the much needed peace and normalcy to the land.;;;;;;;;;x
panglong_female;The Pacifier Blood of [This.GetFirstNameWithNick];;;;;;;;;x
panglong_female_desc;[This.Founder.GetFirstNameWithNick] restored the shattered Panglong Federation, bringing back the much needed peace and normalcy to the land.;;;;;;;;;x
confucius_bloodline;Blood of Confucius;;;;;;;;;x
confucius_bloodline_desc;This character claims direct descent to the ancient great philosopher Confucius.;;;;;;;;;x
leeky_bloodline;Blood of The Lee;;;;;;;;;x
leeky_bloodline_desc;This character claims direct descent to the ancient ruler of Singapore.;;;;;;;;;x
ilocano_opinion;[ilocano.GetName] Opinion;;;;;;;;;x
tausug_opinion;[tausug.GetName] Opinion;;;;;;;;;x
tagalog_opinion;[tagalog.GetName] Opinion;;;;;;;;;x
ifugao_opinion;[ifugao.GetName] Opinion;;;;;;;;;x
pusaka_opinion;[pusaka.GetName] Opinion;;;;;;;;;x
syafi_opinion;[syafi.GetName] Opinion;;;;;;;;;x
taoist_opinion:[taoist.GetName] Opinion;;;;;;;;;x
;;;;;;;;;;;;;;
bludlines1Title;New China New Republic;;;;;;;;;x
bludlines1Desc;In the aftermath of the War in Heaven, the followers of the Ruby Chairman's righteous cause liberated China from the humiliating exploitation of the Eight Armies, and banished the forces of the Sapphire Didact. United under the Heavenly Mandate, the people created a glorious Republic and enjoyed an unprecedented era of prosperity for all China, down to even the most humble farmer. Yet despite following the Ruby Chairman, mortal failings, disasters, and the sinister machinations of the Sapphire Didact and Jade Emperor led to the chaos which shattered the world. By the wise leadership of [e_maoist.Holder.GetOnlyDynastyName], Gongheguo, the Republic, has been reunited from the ashes of the old world. It stands once more to spread the Ruby Chairman's principles, and to bring all of China together to claim its proper place as center of the world.;;;;;;;;;x
bludlines1A;Glory to the Republic!;;;;;;;;;x
bludlines1B;Infidels still roam free, there is plenty that needs to be done;;;;;;;;;x
bludlines1C;How can this be? Why has the Heavenly Mandate chosen the traitors?;;;;;;;;;x
bludlines1D;Maybe it is time to brush up on CCP Laws;;;;;;;;;x
bludlines1E;May Chinggis Khaan return to conquer them!;;;;;;;;;x
bludlines1F;A worrying development;;;;;;;;;x 
;;;;;;;;;;;;;;
bludlines2Title;The Red Tides of The Crimson Republic;;;;;;;;;x
bludlines2Desc;In the aftermath of the War in Heaven, the followers of the Ruby Chairman's righteous cause liberated China from the humiliating exploitation of the Eight Armies, and banished the forces of the Sapphire Didact. United under the Heavenly Mandate, the people created a glorious Republic and enjoyed an unprecedented era of prosperity for all China, down to even the most humble farmer. Yet despite following the Ruby Chairman mortal failings, disasters, and the sinister machinations of the Sapphire Didact and Jade Emperor led to the chaos which shattered the world. By the cunning leadership and schemes of [e_red_cult.Holder.GetOnlyDynastyName], Hongzhongguo, Red China, has been formed amidst the ashes of the old world. Standing vindicated in its devotion to spread the Ruby Chairman's principles, and to bring all of China together to claim its proper place as center of the world;;;;;;;;;x 
bludlines2A;Glory to the Crimson Republic!;;;;;;;;;x
bludlines2B;Foul extremist! Their sinister ways will lead to their downfall;;;;;;;;;x
bludlines2C;How can this be? Why has the Heavenly Mandate chosen the cruel traitors?;;;;;;;;;x
bludlines2D;Maybe it is time to brush up on CCP Laws;;;;;;;;;x
bludlines2E;May Chinggis Khaan return to conquer them!;;;;;;;;;x
bludlines2F;A terrifying development;;;;;;;;;x 
;;;;;;;;;;;;;;
bludlines3Title;The Ascendant Dragon;;;;;;;;;x
bludlines3Desc;Generations ago, China was bespoiled by foreign invaders and then torn asunder in a great civil war caused by the betrayal of the Jade Emperor by his generals, the Ruby Chairman and the Sapphire Didact. This departure from the Dao, the natural order of the universe, led to a century of violence, suffering, and famine- even before the calamity of the Event. Now, under the guidance of Heavenly [e.taoist.Holder.getFirstNameWithNick], China is once again following the divine path. Claiming to be a reformation of the ancient Song dynasty, many see their great successes as evidence that the Mandate of Heaven has been secured, surely as a result of the house of [e_taoist.Holder.getOnlyDynastyName]'s dilligence in following the Dao. The Sapphire Didact and Ruby Chairman's disruption of the balance of the cosmos is being corrected, and soon all of China shall be restored again under one harmonious banner. ;;;;;;;;;x 
bludlines3A;The Heavens have spoken, the Dragon has awaken!;;;;;;;;;x
bludlines3B;The return of balance is welcomed, as long as our ways remain;;;;;;;;;x
bludlines3C;How can this be? Why has the Heavenly Mandate chosen the fallen?;;;;;;;;;x
bludlines3D;Maybe it is time to brush up on Imperial Laws;;;;;;;;;x
bludlines3E;May Chinggis Khaan return to conquer them!;;;;;;;;;x
bludlines3F;An interesting development;;;;;;;;;x 
;;;;;;;;;;;;;;
bludlines4Title;The Heavenly Resurgence;;;;;;;;;x
bludlines4Desc;Christianity in China has frequently been a target of persecution, fluctuating between tolerance and outright oppression, with some simply seeing it as a religion of outsiders, and others going as far as claiming it was a tool of the Eight Armies which had humiliated China during the War in Heaven. Despite this tumultuous history, it has persisted in the hearts of the people, even after the collapse of the Old World. By the will of Shangdi, made manifest through the rulership of [e_heavenly.Holder.getOnlyDynastyName], long-held beliefs in the possibility of a Heavenly Kingdom being established on Earth by Divine Mandate have now been made reality.;;;;;;;;;x 
bludlines4A;Glory to God in the Highest!;;;;;;;;;x
bludlines4B;We defeated you once and we can do it again!;;;;;;;;;x
bludlines4C;It is good to see our brothers in Christ resurgent.;;;;;;;;;x
bludlines4D;Maybe it is time to brush up on Mosaic Law...;;;;;;;;;x
bludlines4E;May Chinggis Khaan return to conquer them!;;;;;;;;;x
bludlines4F;Have we not learnt from our past mistakes?;;;;;;;;;x
bludlines4G;An interesting development...;;;;;;;;;x 
;;;;;;;;;;;;;;
utsman;Blood of [This.GetFirstNameWithNick];;;;;;;;;x
utsman_desc;[This.Founder.GetFirstNameWithNick] established a realm governed through Ottoman ways, proving themselves as the rightful ruler over all of Nusantara with a claim to lead the Islamic faithful.;;;;;;;;;x
