###ASCENDED MASTERS###
EVTITLE_ascension_pathstart;Start the Path to Spiritual Enlightenment;;;;;;;;;;;;;x
EVTDESC_ascension_pathstart;It is believed that Ascended Masters are individuals who were formerly embodied on the Earth and learned the lessons of life during their incarnations. They gained mastery over the limitations of the matter planes. Ascended Masters serve as the teachers of mankind from the realms of spirit, and that all people will eventually attain their Ascension and move forward in spiritual evolution beyond this planet. It might be possible to gain such ascension with sufficient spiritual enlightenment, through meditation and study...;;;;;;;;;;;;;x
EVOTPA_ascendedmaster_pathstart;All Life is One.;;;;;;;;;;;;;x
EVOTPB_ascendedmaster_pathstart;I am ignorant, I am not ready for Enlightenment.;;;;;;;;;;;;;x
EVTITLE_ascension_pathstart1;Returning Incarnation;;;;;;;;;;;;;x
EVTDESC_ascension_pathmiddle1;Although you've taken the first step to Spiritual Enlightenment, there is still a long way to go on the path to becoming an Ascended Master. The next step on the path to becoming an Ascended Master is exploring the doctrine of returning once or partial enlightenment through trials of body and mind. Hopefully, you will best these trials.;;;;;;;;;;;;;x
EVOPTA_ascendedmaster_2;Enlightenment is a long path.;;;;;;;;;;;;;x
EVTDESC_ascension_pathmiddle2;As your meditation continues, you find yourself hardly able to move or think. Your teachers told you that fasting was merely optional, but you get the feeling that ending your meditation early will reduce your chances of achieving Enlightenment. On the other hand, there are more trials ahead, and you may not be able to pass them in this state...;;;;;;;;;;;;;x
EVOPTA_ascendedmaster_3;I will overcome!;;;;;;;;;;;;;x
EVOPTB_ascendedmaster_52;I can't take it anymore!;;;;;;;;;;;;;x
EVOPTC_ascendedmaster_3;Perhaps nobody will notice if I sneak some food...;;;;;;;;;;;;;x
EVTDESC_ascension_pathmiddle3;The next test presented to you is a trial by combat. The teachers claim that this is needed to test not only your physical fitness, but your ability to think on your feet. Your opponent unsheathes his sword...;;;;;;;;;;;;;x
EVOPTA_ascendedmaster_4;En garde!;;;;;;;;;;;;;x
EVTDESC_ascension_pathmiddle4;After a long and exhausting fight, you finally emerge victorious. As you collapse onto the floor yourself, you hear one of the teachers speak. "Well done. We will give you a few days to recover before presenting you with the next test.";;;;;;;;;;;;;x
EVOPTA_ascendedmaster_5;Not only wisdom...;;;;;;;;;;;;;x
EVTDESC_ascension_pathmiddle5;After a long an exhausting fight, you collapse onto the floor in defeat. As your opponent leaves the field, you hear one of the professors speak. "Unfortunate. We will give you a few days to recover before presenting you with the next test.";;;;;;;;;;;;;x
EVOPTA_ascendedmaster_6;I need rest...;;;;;;;;;;;;;x
EVTDESC_ascension_pathmiddle6;Your professors have called you to a small chamber in a local temple for your final test. You see a single teacher writing something on the wall in front of you. "For your final test, you must uncover the meaning of the riddle written on this wall. You have two hours." The teacher leaves the room, leaving you alone with the riddle...;;;;;;;;;;;;;x
EVTOPTA_ascendedmaster_7;Hmmm... Of course! The answer is Atlantis!;;;;;;;;;;;;;x
EVTOPTB_ascendedmaster_7;A drowned city? What could it be?;;;;;;;;;;;;;x
EVTITLE_ascension_pathmiddle7;Enlightened Once Returned;;;;;;;;;;;;;x
EVTDESC_ascension_pathmiddle7;You have completed all of your trials, and have gathered the teachers before you in your court to hear the results of your trial. "You have not only passed all of the tests, but exceeded our expectations every time. You have proven yourself beyond worthy, and you have proven your status as Once Returned. May your great wisdom and strength carry you to greater Spiritual Enlightenment.";;;;;;;;;;;;;x
EVTOPTA_ascendedmaster_9;I am honored, teachers.;;;;;;;;;;;;;x
EVTITLE_ascension_pathmiddle8;Once-Returned;;;;;;;;;;;;;x
EVTDESC_ascension_pathmiddle8;You have completed all of your trials, and have gathered the teachers before you in your court to hear the results of your trial. ""After much consideration, we have decided to confer upon you the status of Once Returned. May your further travels carry you to greater Spiritual Enlightenment.";;;;;;;;;;;;;x
EVTOPTA_ascendedmaster_10;I am honored, teachers.;;;;;;;;;;;;;x
EVTITLE_ascension_pathmiddle9;Exiting the Stream;;;;;;;;;;;;;x
EVTDESC_ascension_pathmiddle9;You have completed all of your trials, and have gathered the teachers before you in your court to hear the results of your trial. "After much consideration, we have decided that you are unworthy of being Once Returned.";;;;;;;;;;;;;x
EVTOPTA_ascendedmaster_11;Maybe next time.;;;;;;;;;;;;;x
EVTITLE_ascension_pathend1;Become an Ascended Master;;;;;;;;;;;;;x
