
pathetic_bribe;Pathetic;;;;;;;;;;;;;x
levy_agreement_pos;Levy Transfer;;;;;;;;;;;;;x
levy_agreement_neg;Levy Transfer;;;;;;;;;;;;;x
tax_agreement_pos;Tax Transfer;;;;;;;;;;;;;x
tax_agreement_neg;Tax Transfer;;;;;;;;;;;;;x

artifact_protection;Artifact Protection;;;;;;;;;;;;;x

active_heist;active heist;;;;;;;;;;;;;x
active_heist_desc;;;;;;;;;;;;;;x
steal_artifact_timer;heist cd;;;;;;;;;;;;;x
steal_artifact_timer_desc;;;;;;;;;;;;;;x

opinion_stole_artifact;Stole my Artifact;;;;;;;;;;;;x
opinion_stole_artifact_my_vassal;Stole my Artifact;;;;;;;;;;;;x
opinion_stole_artifact_other_vassal;Vassal Stole my Artifact;;;;;;;;;;;;x
opinion_seized_artifact_tyranny;Seized a Prisoner's Artifact;;;;;;;;;;;;x
seized_artifact;Forcefully Took my Artifact;;;;;;;;;;;;x
seized_artifact_inheritance;Forcefully Taken my Predecessor's Artifact;;;;;;;;;;;;x
seized_artifact_dynastic;Forcefully Taken one of my Dynasty's Artifacts;;;;;;;;;;;;x

steal_artifact;Steal Artifact;;;;;;;;;;;;;x
steal_artifact_desc;You attempt to steal one of [Root.GetTitledName]'s artifacts;;;;;;;;;;;;;x
steal_artifact_third_party;Artifact Requirements:;;;;;;;;;;;;;x
steal_artifact_allow;Is NOT already trying to steal an artifact;;;;;;;;;;;;;x
steal_artifact_allow2;Has NOT attempted to steal an artifact recently[From.GetGMTStealCooldown];;;;;;;;;;;;;x
steal_artifact_cooldown;   §YReady on: [This.steal_artifact_timer.GetExpiryDate]§!;;;;;;;;;;;;;x

retrieve_artifact;Retrieve Artifact;;;;;;;;;;;;;x
retrieve_artifact_desc;Retrieve an artifact from [Root.GetBestName] that previously belonged to your dynasty.;;;;;;;;;;;;;x
retrieve_artifact_allow;[Root.GetBestName] must be your prisoner;;;;;;;;;;;;;x
retrieve_artifact_effect;Transfers the Artifact to your treasury;;;;;;;;;;;;;x

seize_artifact;Seize Artifact;;;;;;;;;;;;;x
seize_artifact_desc;Forcefully take one of [Root.GetBestName]'s equipped artifacts.;;;;;;;;;;;;;x
seize_artifact_third_party;Artifact Requirements:;;;;;;;;;;;;;x
seize_artifact_allow;Is immune to this action;;;;;;;;;;;;;x
seize_artifact_allow2;Is alive;;;;;;;;;;;;;x
seize_artifact_allow3;[Root.GetBestName] must be your prisoner;;;;;;;;;;;;;x
seize_artifact_effect;Transfers the Artifact to your treasury;;;;;;;;;;;;;x
seize_artifact_effect2;Your vassals will be displeased with your actions;;;;;;;;;;;;;x
seize_artifact_effect3;[Root.GetBestName] and [Root.GetHerHis] dynasty will be outraged;;;;;;;;;;;;;x

ai_build_vault;ai building vaults;;;;;;;;;;;;;x
ai_build_vault_desc;if you see this please report it on the Artifact Acquisition and Overhaul mod page.;;;;;;;;;;;;;x
ai_remove_vault;ai removing vaults;;;;;;;;;;;;;x
remove_vault_desc;if you see this please report it on the Artifact Acquisition and Overhaul mod page.;;;;;;;;;;;;;x

GMT_success;success;;;;;;;;;;;;;x
GMT_failure;failure;;;;;;;;;;;;;x
GMT_success_diplomacy;§GSuccess§! depends on your combined diplomatic abilities.\n;;;;;;;;;;;;;x
GMT_success_martial;§GSuccess§! depends on your combined physical strength.\n;;;;;;;;;;;;;x
GMT_success_stewardship;§GSuccess§! depends on your combined administrative capabilities.\n;;;;;;;;;;;;;x
GMT_success_intrigue;§GSuccess§! depends on your combined finesse.\n;;;;;;;;;;;;;x
GMT_success_learning;§GSuccess§! depends on your combined scholarly knowledge.\n;;;;;;;;;;;;;x
