#Brytwysher
EVTDESCMPU.6;The people of our nation no longer speak the language of their Indian ancestors, nor do they communicate through the language of their [This.Culture.GetName] overlords, instead they have merged the two languages. We know them to be the "Brytwysher".;;;;;;;;;;;;;x
EVTOPTAMPU.6;These peasants are civilizing?;;;;;;;;;;;;;x
EVTDESCMPU.61;It seems that where once our two peoples were at odds, the Indian subjects have merged their language and customs with their [This.Culture.GetName] overlords'. I have even caught myself speaking this new tongue. Perhaps the peasantry are finally civilizing;;;;;;;;;;;;;x
EVTOPTAMPU.61;It seems we are all civilizing;;;;;;;;;;;;;x
EVTOPTBMPU.61;We are similar, but not the same;;;;;;;;;;;;;x
EVTDESCMPU.611;Recently I've found myself thinking in a language that is not my own, but of a culture of conquerors and peasantry, Brytwysher. Perhaps converting to this hybrid culture will improve my social standing within our nation.;;;;;;;;;;;;;x
EVTOPTAMPU.611;Indeed times are changing, and I must follow;;;;;;;;;;;;;x
#Angrezi
EVTDESCMPU.7;The people of our nation no longer speak the language of their Indian ancestors, nor do they communicate through the language of their [This.Culture.GetName] overlords, instead they have merged the two languages. We know them to be the "Angrezi".;;;;;;;;;;;;;x
EVTOPTAMPU.7;These peasants are civilizing?;;;;;;;;;;;;;x
EVTDESCMPU.71;It seems that where once our two peoples were at odds, the Indian subjects have merged their language and customs with their [This.Culture.GetName] overlords'. I have even caught myself speaking this new tongue. Perhaps the peasantry are finally civilizing;;;;;;;;;;;;;x
EVTOPTAMPU.71;It seems we are all civilizing;;;;;;;;;;;;;x
EVTOPTBMPU.71;We are similar, but not the same;;;;;;;;;;;;;x
EVTDESCMPU.711;Recently I've found myself thinking in a language that is not my own, but of a culture of conquerors and peasantry, Angrezi. Perhaps converting to this hybrid culture will improve my social standing within our nation.;;;;;;;;;;;;;x
EVTOPTAMPU.711;Indeed times are changing, and I must follow;;;;;;;;;;;;;x

kannada_opinion;Kannada Opinion;;;;;;;;;x
alagol_opinion;Alagol Opinion;;;;;;;;;x
,,,,,,,,,,,,,,,,,,,
opinion_of_hunter_EXPLANATION; (opinion of Hunter); (opinion sur 'Luxure'); (Meinung von lüstern);; (opinión de lujurioso);;;;;;;;;x
