CB_NAME_BYZANTINE_ELECTIVE_SUCCESSION_LAW;Imperial Elective Succession Law;Succession de monarchie ﾎｹlective;Wahlmonarchie Nachfolgegesetz;;Ley de sucesiﾏハ por monarquﾎｽa electiva;;;;;;;;;x
WAR_NAME_BYZANTINE_ELECTIVE_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Imperial Elective;$ORDER$Guerre civile $SECOND_ADJ$ pour instaurer la succession par ﾂｧYmonarchie ﾎｹlectiveﾂｧ!;$ORDER$$SECOND_ADJ$e Rebellion fﾏ罫 das Nachfolgegesetz "Wahlmonarchie";;$ORDER$ Guerra Civil $SECOND_ADJ$ por la Ley de Sucesiﾏハ Electiva;;;;;;;;;x
change_byzantine_elective_succession_law_desc;ｧY$CLAIMANT$ﾂｧ! can declare war to change the succession law in the ﾂｧY$TITLE$ﾂｧ! to Imperial elective!;ﾂｧY$CLAIMANT$ﾂｧ! peut dﾎｹclarer la guerre pour imposer une loi basﾎｹe sur la succession ﾎｹlective fﾎｹodale en ﾂｧY$TITLE$ﾂｧ!;ﾂｧY$CLAIMANT$ﾂｧ! kann einen Krieg erklﾎｴren, um das Nachfolgerecht fﾏ罫 den Titel ﾂｧY$TITLE$ﾂｧ! zu Wahlmonarchie zu ﾎｴndern!;;ﾎ�ﾂｧY$CLAIMANT$ﾂｧ! puede declarar la guerra para basar la ley de sucesiﾏハ del ﾂｧY$TITLE$ﾂｧ! en el byzantineismo electivo!;;;;;;;;;x
plot_succ_byzantine_elective_decision;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_succ_byzantine_elective_decision_desc;Put the plot into motion by sending an ultimatum to [Root.PlotTarget.GetTitledName].;Initier le complot en envoyant un ultimatum [Root.PlotTarget.Get_au_TitledName].;Verschwﾏ�rung durch Senden eines Ultimatums an [Root.PlotTarget.GetTitledName] in Bewegung setzen.;;Pon en marcha el complot enviando un ultimﾎｱtum a [Root.PlotTarget.GetTitledName].;;;;;;;;;x
	
faction_succ_byzantine_elective_short;Imperial Succession;Succession ﾎｹlective;Wahlnachfolge;;Sucesiﾏハ Electiva;;;;;;;;;x
faction_succ_byzantine_elective_title;Imperial Succession in [This.GetName];Succession ﾎｹlective en [This.GetName];Wahlnachfolge in [This.GetName] ;;Sucesiﾏハ Electiva en [This.GetName];;;;;;;;;x
faction_succ_byzantine_elective_desc;Members seek to institute Imperial Elective in [This.GetName]. When sufficiently powerful, ｧY[From.GetBestName]ｧ! may present an ultimatum to ｧY[From.Liege.GetBestName]ｧ!.;Les membres de cette faction cherchent ﾎｰ ﾎｹtablir la monarchie ﾎｹlective en [This.GetName]. Une fois son soutien assurﾎｹ, [From.Get_only_le_Title]ﾂｧY[From.GetBestName]ﾂｧ! pourra lancer un ultimatum [From.Liege.Get_only_au_Title]ﾂｧY[From.Liege.GetBestName]ﾂｧ!.;Mitglieder streben die Einfﾏ敬rung einer Wahlmonarchie in [This.GetName] an. Sobald ﾂｧY[From.GetBestName]ﾂｧ! mﾎｴchtig genug ist, kﾏ�nnte ﾂｧY[From.Liege.GetBestName]ﾂｧ! ein Ultimatum gestellt werden.;;Pretenden instaurar la Monarquﾎｽa Electiva en [This.GetName]. Cuando sean suficientemente poderosos, ﾂｧY[From.GetBestName]ﾂｧ! podrﾎｱ enviar un ultimﾎｱtum a ﾂｧY[From.Liege.GetBestName]ﾂｧ!.;;;;;;;;;x
faction_succ_byzantine_elective_ultimatum;Demand Imperial Elective;Demander une monarchie ﾎｹlective;Eine Wahlmonarchie fordern;;Reclamar la Monarquﾎｽa Electiva;;;;;;;;;x
faction_succ_byzantine_elective_ultimatum_desc;Present an ultimatum to ｧY[Root.Liege.GetBestName]ｧ!, demanding the institution of Imperial Elective. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Prﾎｹsentez un ultimatum [Root.Liege.Get_only_au_Title]ﾂｧY[Root.Liege.GetBestName]ﾂｧ! pour exiger l'instauration d'une monarchie ﾎｹlective. [Root.Liege.GetSilSielleCap] refuse votre requﾎｺte, votre faction prendra alors les armes.;Stellt ﾂｧY[Root.Liege.GetBestName]ﾂｧ! ein Ultimatum und fordert eine Wahlmonarchie. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Enviar un ultimﾎｱtum a ﾂｧY[Root.Liege.GetBestName]ﾂｧ!, reclamando la instauraciﾏハ de la Monarquﾎｽa Electiva. Si [Root.Liege.GetSubjectPronoun] se niega a concederla, tu Facciﾏハ se sublevarﾎｱ.;;;;;;;;;x
