MUFTI_SILSILA;Mufti Silsila;;;;;;;;;x
MUFTI_SILSILA_FOA;My Mufti;;;;;;;;;x
b_kalam1;Kalam;;;;;;;;;x
c_salalah_adj;Salalahan;;;;;;;;;x
b_salalah1;Salalah;;;;;;;;;x
b_raysut1;Raysut;;;;;;;;;x
b_taqah1;Taqah;;;;;;;;;x
b_jibjat1;Jibjat;;;;;;;;;x
b_mirbat1;Mirbat;;;;;;;;;x
b_safqut1;Safqut;;;;;;;;;x
b_aydam1;Aydam;;;;;;;;;x
c_jazan_adj;Jazani;;;;;;;;;x
b_jazan1;Jazan;;;;;;;;;x
b_baish1;Baish;;;;;;;;;x
b_samtah1;Samtah;;;;;;;;;x
b_damad1;Damad;;;;;;;;;x
b_fayfah1;Fayfah;;;;;;;;;x
b_muwassam1;Muwassam;;;;;;;;;x
b_addayer1;Addayer;;;;;;;;;x
c_hajjah_adj;Hajjahi;;;;;;;;;x
b_hajjah1;Hajjah;;;;;;;;;x
b_jahniyah1;Jahniyah;;;;;;;;;x
b_sadan1;Sadan;;;;;;;;;x
b_abs1;Abs;;;;;;;;;x
b_ahim1;Ahim;;;;;;;;;x
b_dhafir1;Dhafir;;;;;;;;;x
b_harad1;Harad;;;;;;;;;x
temple_baron_maunaxite_reformed;Pujari;;;;;;;;;x
PERFECT;Perfect;;;;;;;;;x
action_proclaim_law_desc;The Councillor will travel the province actively proclaiming and enforcing the code of law.;;;;;;;;;x
