d_apostolic;Archdiocese of Cabo Verde;;;;;;;;;x
d_apostolic_adj;Apostolic;;;;;;;;;x
GOD_ADFINN_STORMLORD;Ádfinn the Stormlord;;;;;;;;;x
GOD_ONE_EYED_RAVEN;The One Eyed Raven;;;;;;;;;x
GOD_FREJA_SEAWED;Freja the Seawed;;;;;;;;;x
OSMAN_TITLE;Osman;;;;;;;;;x
OSMAN_FEMALE_TITLE;Osmana;;;;;;;;;x
UTSMAN_TITLE;Utsman;;;;;;;;;x
UTSMAN_FEMALE_TITLE;Utsmanah;;;;;;;;;x
secret_novelist_community;Secret [novelist.GetName] Community;;;;;;;;;x
secret_finnish_pagan_community;Secret [finnish_pagan.GetName] Community;;;;;;;;;x
secret_folklorist_community;Secret [folklorist.GetName] Community;;;;;;;;;x
secret_baltic_pagan_community;Secret [baltic_pagan.GetName] Community;;;;;;;;;x
secret_tengri_pagan_community;Secret [tengri_pagan.GetName] Community;;;;;;;;;x
secret_celtic_pagan_community;Secret [celtic_pagan.GetName] Community;;;;;;;;;x
secret_starist_pagan_community;Secret [starist_pagan.GetName] Community;;;;;;;;;x
opinion_promised_to_depose_me;Promised to depose me;;;;;;;;;x
opinion_promised_to_depose_him;Promised to depose him;;;;;;;;;x
opinion_promised_to_depose_myantipope;Promised to depose my Antipope;;;;;;;;;x
opinion_promised_to_depose_hisantipope;Promised to depose his Antipope;;;;;;;;;x
SULTAN_TITLE;Grand Sultan;;;;;;;;;x
SULTANAH_TITLE;Grand Sultanah;;;;;;;;;x
CHRISTIAN_EMPEROR_PH_TITLE;Kristiyanong Emperador;;;;;;;;;x
CHRISTIAN_EMPRESS_PH_TITLE;Kristiyanong Emperatris;;;;;;;;;x
SULTAN_MAHASARI_TITLE;Mahasari Al-Sultan;;;;;;;;;x
SULTANAH_MAHASARI_TITLE;Mahasari Al-Sultanah;;;;;;;;;x
