metal_type_opinion;Metal Opinion;;;;;;;;;x
earth_type_opinion;Earth Opinion;;;;;;;;;x
water_type_opinion;Water Opinion;;;;;;;;;x
wood_type_opinion;Wood Opinion;;;;;;;;;x
fire_type_opinion;Fire Opinion;;;;;;;;;x
earth_type;Earth Aligned;;;;;;;;;x
water_type;Water Aligned;;;;;;;;;x
wood_type;Wood Aligned;;;;;;;;;x
fire_type;Fire Aligned;;;;;;;;;x
metal_type;Metal Aligned;;;;;;;;;x
a_type;Farmer Blooded;;;;;;;;;x
b_type;Hunter Blooded;;;;;;;;;x
ab_type;Scholar Blooded;;;;;;;;;x
o_type;Diplomat Blooded;;;;;;;;;x
a_type_opinion;Farmer Blooded Opinion;;;;;;;;;x
b_type_opinion;Hunter Blooded Opinion;;;;;;;;;x
ab_type_opinion;Scholar Blooded Opinion;;;;;;;;;x
o_type_opinion;Diplomat Blooded Opinion;;;;;;;;;x
a_type_desc;This character carries the blood of a farmer.;;;;;;;;;x
b_type_desc;This character carries the blood of a hunter.;;;;;;;;;x
ab_type_desc;This character carries the blood of a scholar.;;;;;;;;;x
o_type_desc;This character carries the blood of a diplomat.;;;;;;;;;x
######
earth_type_desc;This character is aligned with the element of Earth;;;;;;;;;x
water_type_desc;This character is aligned with the element of Water;;;;;;;;;x
wood_type_desc;This character is aligned with the element of Wood;;;;;;;;;x
fire_type_desc;This character is aligned with the element of Fire;;;;;;;;;x
metal_type_desc;This character is aligned with the element of Metal;;;;;;;;;x
######
EVTDESC_ELEM_1;In traditional Chinese folklore it is believed that every person must align with one of the five elements, those being: Water, Wood, Fire, Earth and Metal. Your Yin or Yang Alignment will also be determined. It is time for you to determine your alignment.;;;;;;;;;x
EVTOPTA_ELEM_1;I align with the Water Element.;;;;;;;;;x
EVTOPTB_ELEM_1;I align with the Wood Element.;;;;;;;;;x
EVTOPTC_ELEM_1;I align with the Fire Element.;;;;;;;;;x
EVTOPTD_ELEM_1;I align with the Earth Element.;;;;;;;;;x
EVTOPTE_ELEM_1;I align with the Metal Element.;;;;;;;;;x
EVTOPTF_ELEM_1;I don't align with any Element or Yin-yang.;;;;;;;;;x
