###ÄNSI###

adult_baptism_event;Become Baptized;;;;;;;;;;;;;x
adult_baptism_event_desc;Become baptized in the faith.;;;;;;;;;;;;;x
TXT_baptism_events;Become baptized in the faith.;;;;;;;;;;;;;x

EVTDESCbaptism_events.1;Every believer should be baptized, but only when they are able to make a conscious profession of faith. As is customary for those of the [This.Religion.GetName], you may now be baptized in the name of Jesus Christ. Do you accept Him as your Lord and Savior?;;;;;;;;;;;;;x
EVTOPTAbaptism_events.1;I accept Jesus as my Lord and Savior.;;;;;;;;;;;;;x
EVTOPTBbaptism_events.1;Yes.;;;;;;;;;;;;;x
EVTOPTCbaptism_events.1;No.;;;;;;;;;;;;;x

adult_baptized;Baptized as a Believer;;;;;;;;;;;;;x
adult_baptized_desc;This character has received a believer’s baptism.;;;;;;;;;;;;;x
adult_converted;Forcefully Converted;;;;;;;;;;;;;x
adult_converted_desc;This character has been forcefully converted to the faith.;;;;;;;;;;;;;x
recently_force_converted;Rough Conversion;;;;;;;;;;;;;x
recently_force_converted_desc;This person has been cut in order to keep God's covenant in accordance to Navegante rites.;;;;;;;;;;;;;x
force_baptism;Force Conversion;;;;;;;;;;;;;x
force_baptism_desc;Forcefully baptize this person into the faith.;;;;;;;;;;;;;x
opinion_converted_me;Forcefully Converted Me;;;;;;;;;;;;;x
opinion_converted_family;Forcefully Converted Kin;;;;;;;;;;;;;x
opinion_converted_close_kin;Forcefully Converted Close Kin;;;;;;;;;;;;;x

EVTDESC_navigant_3A;Due to your number of baptisms, you have been accepted into the Levita priesthood. It is named after Levi, the founder of the Tribe of Levi and the progenitor of the Levite priesthood.;;;;;;;;;;;;;x
EVTOPTA_navigant_3;I am now Levita.;;;;;;;;;;;;;x
EVTDESC_navigant_3B;Due to your large number of baptisms, you have been accepted into the Aaronita priesthood. It is named after Aaron, the brother of Moses and the mouthpiece for the Patriarchs.;;;;;;;;;;;;;x
EVTOPTB_navigant_3;I am now Aaronita.;;;;;;;;;;;;;x
EVTDESC_navigant_3C;Due to your immense number of baptisms, you have been accepted into the Melquisedequita priesthood. It is named after Melchizedek, priest of the most high God and a predecessor to Ichtys, high priest forever in the order of Melchizedek.;;;;;;;;;;;;;x
EVTOPTC_navigant_3;I am now Melquisedequita.;;;;;;;;;;;;;x
EVTDESC_navigant_3D;Due to your unprecedented number of baptisms, you have assumed a unique position within the Navegante religion. All priesthoods bow to you, and you clearly hold a special place in the heart of Ichtys.;;;;;;;;;;;;;x
EVTOPTD_navigant_3;I am close to Ichtys.;;;;;;;;;;;;;x
EVTDESC_navigant_4;Baptism is typically considered a sacred sacrament, with salvation only coming to those who freely accept it. Navegantes take a different view of things, that they can grant others baptism by force. You are now among that number.;;;;;;;;;;;;;x
EVTOPTA_navigant_4;It is...so cold.;;;;;;;;;;;;;x
levita;Levita;;;;;;;;;;;;;x
levita_desc;This character is a member of the Levita priesthood, the lowest rank in the Navegante baptismal priesthood.;;;;;;;;;;;;;x
aaronita;Aaronita;;;;;;;;;;;;;x
aaronita_desc;This character is a member of the Aaronita priesthood, the second rank in the Navegante baptismal priesthood.;;;;;;;;;;;;;x
melquisedequita;Melquisedequita;;;;;;;;;;;;;x
melquisedequita_desc;This character is a member of the Melquisedequita priesthood, the highest rank in the Navegante baptismal priesthood.;;;;;;;;;;;;;x

aniconist;Jubileo;;;;;;;;;;;;;x
aniconist_desc;For their deeds against Idolatry, this character has earned the lowest rank of the Purificador mission of smashing Golden Bulls to purify the Temple.;;;;;;;;;;;;;x
image_breaker;Celebrante Poderoso;;;;;;;;;;;;;x
image_breaker_desc;For their deeds against Idolatry, this character has earned the second rank of the Purificador mission of smashing Golden Bulls to purify the Temple. ;;;;;;;;;;;;;x
arch_iconoclast;Santificador;;;;;;;;;;;;;x
arch_iconoclast_desc;For their deeds against Idolatry, this character has earned the highest rank of the Purificador mission of smashing Golden Bulls to purify the Temple. Achieving sanctification through the Gift of Discerning Spirits.;;;;;;;;;;;;;x

EVTDESC_centroamerica_3A;The Bible says, Ye shall make you no idols nor graven image. Many so-called Christians have forgotten this, but you have not. For your actions against idolatry, you are known as a jubileo.;;;;;;;;;;;;;x
EVTOPTA_centroamerica_3;Their idols are forfeit.;;;;;;;;;;;;;x

EVTDESC_centroamerica_3B;The Bible says, The idols of the nations are but silver and gold, the work of man’s hands. You have thrown down many nations idols, their Golden Bulls. For that, you are known as a celebrante ponderoso.;;;;;;;;;;;;;x
EVTOPTB_centroamerica_3;Their Baals will not protect them.;;;;;;;;;;;;;x

EVTDESC_centroamerica_3C;The Bible says, I will cut off your carved images and your sacred pillars from among you, so that you will no longer bow down to the work of your hands. For fulfilling God’s words, you are now known as a sanctificador.;;;;;;;;;;;;;x
EVTOPTC_centroamerica_3;I hold no other gods before the Lord.;;;;;;;;;;;;;x
