EVTDESCCOPA1;With the unexpected death of [From.GetTitledFirstName] [From.GetHerHis] Coronation has been cancelled.;Avec la mort inattendue du pretre sensé officier, [From.Get_le_TitledFirstName] a du reporter r une date inconnue le couronnement.;Mit dem unerwarteten Tod des Priesters, der die Zeremonie leiten sollte, scheint [From.GetTitledFirstName] gezwungen, [From.GetHerHis]e Krönung auf unbestimmte Zeit zu verschieben.;;Con la inesperada muerte del sacerdote que iba a oficiar la ceremonia, parece que [From.GetTitledFirstName] se ha visto obligado a posponer la coronación indefinidamente.;;;;;;;;x
EVTOPTACOPA1;How unfortunate for [From.GetHerHim].;C'est malheureux pour [From.GetLuiElle].;Äußerst bedauerlich für [From.Getihnsie];;Qué mala suerte tiene.;;;;;;;;x
obj_create_treasury_desc;[This.GetTitledFirstName] wants to gather artifacts to put in [This.GetHerHis] empty treasury.;[This.Get_Le_TitledFirstName] veut réunir des artefacts pour son Trésor vide.;[This.GetTitledFirstName] möchte Artefakte sammeln und sie in der leeren Schatzkammer ausstellen.;;[This.GetTitledFirstName] quiere reunir artefactos que poner en su cámara del tesoro vacía.;;;;;x
razumist1desc;The ritual begins, I smoke the herbs and lie back retreating into my mind, to my subconscious to meet my shadow.;;;;;x
razumist1opta;Let the Journey into myself begin.;;;;;x
razumist11desc;I have awoken after several days and I remember very little of what occurred with my shadow, flashes of places I am accustomed to mixed with fantastical abstractions of my psyche. I feel neither contentment nor ambition now I simply feel whole and complete, the conscious and unconscious have merged.;;;;;x
razumist11opta;I am greater.;;;;;x
razumist12desc;The ritual has ended and yet I feel worse for my experience, my shadow is angry and randomly takes control of my bodyparts often causing me and others harm.;;;;;x
razumist12opta;Woe is unto me.;;;;;x
razumist13desc;The ritual has ended and yet I feel worse for my experience, my shadow and I did not merge successfully, yet now I hear it in my mind. It tells me things and I know not if I can trust it.;;;;;x
razumist13opta;Woe is unto me.;;;;;x
razumist14desc;During the ritual you briefly awaken to a painful headache only to suddenly suffer severe seizure and perish.;;;;;x
razumist14opta;No!;;;;;x
commune_with_shadow;Commune with my Shadow;;;;;x
commune_with_shadow_desc;Razumists believe that every person has a shadow version of themselves existing in the spirit world created by the collective human subconsciousness that represents their uninhibited self, it is only through communion with that shadow that a Razumist may become whole.;;;;;x
communed_with_shadow;Communed with Shadow;;;;;x
communed_with_shadow_desc;This character has successfully communed with their shadow and merged with them to create a true whole.;;;;;x
