# Government and flavor
gov_confed;Confederation;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confederation_government;Confederation;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confederation_government_desc;Less of a state than a closely-bound network of autonomous allies sworn to defend each other in times of crisis, Confederations are held by an elected ruler who exercises a position of nominal sovereignty over the others. However, this power is largely ceremonial, and only within his demesne can the monarch exercise his typical sovereign policies. Confederation leaders cannot interfere in the religious policies of their subjects. Confederations benefit from being able to administer almost any type of realm through decentralisation, as well as being able to call upon all of their vassals in times of crisis.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confederation_government_FEATURES;§Y*§! Is restricted to Elective Succession unless a special decision is passed\n§Y*§! Receives reduced levies and tax income\n§Y*§! Cannot declare Holy Wars;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# Cypriote member states
become_cypriote_member_state;Become Member State;;;;;;;;;x,,,,,,,,,
become_cypriote_member_state_desc;You are entitled to become a member state of the Cypriot League and be able to elect the next ruler.;;;;;;;;;x,,,,,,,,,
CYPROITE_MEMBER_STATE;Member State of [This.GetName];;;;;;;;;x,,,,,,,,,
cleanup12Desc;You have a member state of the Cypriot League which you can't hold anymore.;;;;;;;;;x,,,,,,,,,
cleanup12Opt;So be it.;;;;;;;;;x,,,,,,,,,
nusantaran_trade;Nusantaran Trade;;;;;;;;;x,,,,,,,,,
# Centralise decisions
centralise_kedah;Centralise the Kedah Confederation into the Empire of Malaysia;;;;;;;;;x,,,
centralise_kedah_desc;Once we have centralised the Kedah Confederation under our firm rule we can declare ourselves Malaysia's Hereditary Monarch.;;;;;;;;;x,,,
centralise_kedah_tt;§Y[Root.GetBestName]§! creates §YThe Empire of Malaysia§!.;;;;;;;;;x,,,

centralise_kawthoolei;Centralise the Kawthoolei Confederation into the Kingdom of Karen;;;;;;;;;x,,,
centralise_kawthoolei_desc;Once we have centralised the Kawthoolei Confederation under our firm rule we can declare ourselves Karen's Hereditary Monarch.;;;;;;;;;x,,,
centralise_kawthoolei_tt;§Y[Root.GetBestName]§! creates §YThe Kingdom of Karen§!.;;;;;;;;;x,,,

centralise_cyprus;Centralise the Cypriot League into the Kingdom of Cyprus;;;;;;;;;x,,,
centralise_cyprus_desc;Once we have centralised the Cypriot League under our firm rule we can declare ourselves Cyprus' Hereditary Monarch.;;;;;;;;;x,,,
centralise_cyprus_tt;§Y[Root.GetBestName]§! creates §YThe Kingdom of Cyprus§!.;;;;;;;;;x,,,

centralise_germany;Centralise the German Confederation into the Empire of Germany;;;;;;;;;x
centralise_germany_desc;Once we have centralised the German Confederation under our firm rule we can declare ourselves Germany's Hereditary Monarch.;;;;;;;;;x
centralise_germany_tt;§Y[Root.GetBestName]§! creates §YThe Empire of Germany§!.;;;;;;;;;x

centralise_deccan;Centralise the Karnatakan Confederation into the Empire of Deccan;;;;;;;;;x
centralise_deccan_desc;Once we have centralised the Karnatakan Confederation under our firm rule we can declare ourselves Deccan's Hereditary Monarch.;;;;;;;;;x
