tooltip_feudal_elector_vote_possible_reincarnation_of_god_positive;[From.GetSheHeCap] is a Possible Reincarnation of the holy �YXwede�!, the Yarsani god;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_real_reincarnation_of_god_positive;[From.GetSheHeCap] is a Reincarnation of the holy �YXwede�!, the Yarsani god;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_israeli_messiah_positive;[From.GetSheHeCap] is a �YMashiach ben David�!;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_mikraist_messiah_positive;[From.GetSheHeCap] is a �YMashiach ben Yoseph�!;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_leninov_positive;[From.GetSheHeCap] is a descendant of the glorious �YLenin�!;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_israeli_messiah_negative;[From.GetSheHeCap] is a fake messiah;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
modif_looking_for_love;Looking for Love;;;;;;;;;x
modif_lost_in_thought;Lost in Thought;;;;;;;;;x
modif_keeping_in_touch;Keeping in Touch;;;;;;;;;x
modif_focused_on_present;Focused on the Present;;;;;;;;;x


cleanup4435_OPTA;This has given me much to think about.;;;;;;;;;x
cleanup4435_OPTB;I should write more, myself.;;;;;;;;;x
cleanup4435_OPTC;Sentimental nonsense. ;;;;;;;;;x
cleanup4435_TITLE;A Note from the Past;;;;;;;;;x
cleanup4435_DESC;You are resting under a shady tree, and pick idly at the dirt with a stick. A few inches down from the surface, you suddenly hit a solid object. You soon uncover a rusted metal box that is clearly of antediluvian design. The box is easily opened, and you can see that time has not been kind to its contents. The box is filled with the remains of dozens of papers, and while the words are stained and faded with the centuries, you can tell these were once hand-written letters and notes. The only part of any of the letters that is still legible is at the bottom of a single page- Two sets of initials, written on the inside a simple drawing of a heart. Whoever wrote these is clearly long, long gone. But who were they? Did they die with most of the old world? What were their lives like? Did this love and affection last? How will your own life be remembered? These are a few of the thoughts that float through your mind.;;;;;;;;;x

cleanup4434_OPTA;Let us continue on, the dead shouldn�t be disturbed.;;;;;;;;;x
cleanup4434_OPTB;Bury him, its what he would have wanted.;;;;;;;;;x
cleanup4434_OPTC;Take all valuables, they won�t be needing it anymore.;;;;;;;;;x
cleanup4434_TITLE;The Fallen Craft;;;;;;;;;x
cleanup4434_DESC;Making your way trough the dense woods on your recent travels, one of your companions alerts you that they�ve found something strange hidden in the foliage. Approaching the strange object you recognize its metal hull, like that of the many machines that litter the fields the commoners toil on. However it is different, its fitted with wings made of steel on its sides and back. That is when you see a fainted symbol, staring into your soul like the eyes of a veteran of wars long forgotten by countless generations. Before you can even come to an explanation of what it might mean or have meant, one of your guards calls over to you, and as you step over to him you see the remains of a man wearing a strange helmet that covers their skull. As you move away from the wreckage you say.;;;;;;;;;x

cleanup4433_OPTA;The City of Lights, a City of Love.;;;;;;;;;x
cleanup4433_OPTB;One can feel like an Emperor up here.;;;;;;;;;x
cleanup4433_OPTC;I wonder how tall this was?;;;;;;;;;x
cleanup4433_OPTD;The view isn�t even that good!;;;;;;;;;x
cleanup4433_TITLE;Tour Eiffel;;;;;;;;;x
cleanup4433_DESC;You leave the Walls of Paris behind you in the Night, walking over the now empty fields under which the City of Lights resides, turned into the fields of harvest. Reaching the House of Invalids you see the final resting place of Napol�on, now residing under the building�s dome.  Moving past a windmill you finally arrive at your destination, the Eiffel Tower. As you make your way up on the Iron Giant, you look down upon the village below, who�s inhabitants even now cling to the remnants of antediluvian days for safety and former glory. Slowly making your way up the seemingly endless stairs in the Shadowy Night, the massive stracture creaking with each step you take, but at long last, you arrive on the first floor. Exhausted you put your shoulders on the railing and stare into the night sky as the cold wind breezes your hair. You see the proudly standing Arch of Triumph, and Paris further afield filled with life and lights even in the Night.;;;;;;;;;x
tooltip_feudal_elector_vote_mikraist_messiah_negative;[From.GetSheHeCap] is a fake messiah;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_leninov_negative;[From.GetSheHeCap] is a descendant of the vile �YLenin�!;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_sparrow_negative;[From.GetSheHeCap] was born as a �YSparrow�!, cursed for breaking the balance and harmony of the universe;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_guillotine_master_1_positive;[From.GetSheHeCap] has performed a notable amount of human sacrifices;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_guillotine_master_2_positive;[From.GetSheHeCap] has performed a considerable amount of human sacrifices;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_guillotine_master_3_positive;[From.GetSheHeCap] has performed a great amount of human sacrifices;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_bloodthirsty_gods_1_positive;[From.GetSheHeCap] has performed a notable amount of human sacrifices;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_bloodthirsty_gods_2_positive;[From.GetSheHeCap] has performed a considerable amount of human sacrifices;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_bloodthirsty_gods_3_positive;[From.GetSheHeCap] has performed a great amount of human sacrifices;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_shareholder_positive;[From.GetSheHeCap] is an important shareholder;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_shareholder;[From.GetSheHeCap] is a shareholder.;;;;;;;;;x
tooltip_feudal_elector_vote_just_ruler_positive;[From.GetSheHeCap] is a �YJust Lord�!;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x
tooltip_feudal_elector_vote_tyrant_negative;[From.GetSheHeCap] is a vile �Ytyrant�!;C'est un[From.Get_E] descendant[From.Get_E] du §YSaoshyant§!;[From.GetSheHeCap] ist ein Nachkomme des Heiligen §YSaoschjant§!;;Es descendiente del santo §YSaoshyant§!;;;;;;;;;x

