embrace_persian_culture;Become Farsi;;;;;;;;;x
embrace_mazani_culture;Become Mazani;;;;;;;;;x
embrace_khorasani_culture;Become Khorasani;;;;;;;;;x
embrace_lurish_culture;Become Luri;;;;;;;;;x
embrace_hazari_culture;Become Hazari;;;;;;;;;x
embrace_afghan_culture;Become Pashtun;;;;;;;;;x
embrace_baloch_culture;Become Baloch;;;;;;;;;x
embrace_tajik_culture;Become Tajik;;;;;;;;;x
custom_afghan_culture_region;Pashtun Cultural region;;;;;;;;;x
custom_mazani_culture_region;Mazani Cultural region;;;;;;;;;x
custom_khorasani_culture_region;Khorasani Cultural region;;;;;;;;;x
custom_luri_culture_region;Luri Cultural region;;;;;;;;;x
custom_farsi_culture_region;Farsi Cultural region;;;;;;;;;x
custom_hazari_culture_region;Hazari Cultural region;;;;;;;;;x
custom_baloch_culture_region;Baloch Cultural region;;;;;;;;;x
custom_tajik_culture_region;Tajik Cultural region;;;;;;;;;x
custom_eternal_flame_region;Eternal Flame location;;;;;;;;;x
