emperor;Emperor;;;;;;;;;x
king;King;;;;;;;;;x
duke;Duke;;;;;;;;;x
count;Count;;;;;;;;;x
baron;Baron;;;;;;;;;x
emperor_female;Empress;;;;;;;;;x
king_female;Queen;;;;;;;;;x
duke_female;Duchess;;;;;;;;;x
count_female;Countess;;;;;;;;;x
baron_female;Baroness;;;;;;;;;x
empire_of;Empire of;;;;;;;;;x
kingdom_of;Kingdom of;;;;;;;;;x
duchy_of;Duchy of;;;;;;;;;x
county_of;County of;;;;;;;;;x
barony_of;Barony of;;;;;;;;;x
empires;Empires;;;;;;;;;x
kingdoms;Kingdoms;;;;;;;;;x
duchies;Duchies;;;;;;;;;x
counties;Counties;;;;;;;;;x
baronies;Baronies;;;;;;;;;x
