gov_calvinist;Calvinist Theocracy;;;;;;;;;x
gov_decayed_bhutan;Decayed Bureaucracy;;;;;;;;;x
gov_restored_bhutan;Dragon Empire;;;;;;;;;x
gov_liechtenstin;Catholic Grand Principality;;;;;;;;;x
gov_fake_republic;Oligarchic Republic;;;;;;;;;x
gov_soviet_republic;Stalinist Republic;;;;;;;;;x
gov_communist_monarchy;Stalinist Monarchy;;;;;;;;;x
gov_ssr;Stalinist SSR;;;;;;;;;x
gov_cccp;Dictatorship of the Proletariat;;;;;;;;;x
gov_murderepublic;Revolutionary Republique;;;;;;;;;x
gov_murder_comitee;Revolutionary Dictatorship;;;;;;;;;x
gov_colonial;Colonial State;;;;;;;;;x
gov_murderempire;Revolutionary Confederation;;;;;;;;;x
gov_murderduchy;Revolutionary Departemént;;;;;;;;;x
gov_murdercounty;Revolutionary Municípalite;;;;;;;;;x
gov_hereditary_aristocratic_eastern_monarchy;Hereditary Aristocratic Eastern Monarchy;;;;;;;;;x
gov_hereditary_despotic_eastern_monarchy;Hereditary Despotic Eastern Monarchy;;;;;;;;;x
gov_hereditary_absolute_eastern_monarchy;Hereditary Absolute Eastern Monarchy;;;;;;;;;x
gov_electorial_despotic_eastern_monarchy;Electorial Despotic Eastern Monarchy;;;;;;;;;x
gov_electorial_absolute_eastern_monarchy;Electorial Absolute Eastern Monarchy;;;;;;;;;x
gov_hereditary_absolute_eastern_autocracy;Hereditary Absolute Eastern Autocracy;;;;;;;;;x
gov_electorial_absolute_eastern_autocracy;Electorial Absolute Eastern Autocracy;;;;;;;;;x
gov_communist_chiefdom;Communist Chiefdom;;;;;;;;;x
gov_noble_communist_chiefdom;Noble Communist Chiefdom;;;;;;;;;x
gov_hereditary_aristocratic_stalinist_monarchy;Hereditary Aristocratic Stalinist Monarchy;;;;;;;;;x
gov_hereditary_despotic_stalinist_monarchy;Hereditary Despotic Stalinist Monarchy;;;;;;;;;x
gov_hereditary_absolute_stalinist_monarchy;Hereditary Absolute Stalinist Monarchy;;;;;;;;;x
gov_electorial_despotic_stalinist_monarchy;Electorial Despotic Stalinist Monarchy;;;;;;;;;x
gov_electorial_absolute_stalinist_monarchy;Electorial Absolute Stalinist Monarchy;;;;;;;;;x
gov_hereditary_absolute_stalinist_autocracy;Hereditary Absolute Stalinist Autocracy;;;;;;;;;x
gov_electorial_absolute_stalinist_autocracy;Electorial Absolute Stalinist Autocracy;;;;;;;;;x
gov_landed_holy_order;Holy Order State;;;;;;;;;x
gov_monastic;Monastic State;;;;;;;;;x
gov_monastic_athos;Athonite State;;;;;;;;;x
gov_hereditary_aristocratic_indian_monarchy;Hereditary Aristocratic Indian Monarchy;;;;;;;;;x
gov_hereditary_despotic_indian_monarchy;Hereditary Despotic Indian Monarchy;;;;;;;;;x
gov_hereditary_absolute_indian_monarchy;Hereditary Absolute Indian Monarchy;;;;;;;;;x
gov_electorial_despotic_indian_monarchy;Electorial Despotic Indian Monarchy;;;;;;;;;x
gov_electorial_absolute_indian_monarchy;Electorial Absolute Indian Monarchy;;;;;;;;;x
gov_hereditary_absolute_indian_autocracy;Hereditary Absolute Indian Autocracy;;;;;;;;;x
gov_electorial_absolute_indian_autocracy;Electorial Absolute Indian Autocracy;;;;;;;;;x

succ_oligarchic_elective;Oligarchic Elective;;;;;;;;;x
