k_bakufu;The Bakufu;;;;;;;;;;;;;x
k_bakufu_adj;Shogunate;;;;;;;;;;;;;x
SHOGUNFOA;My Shogun;;;;;;;;;;;;;x
SHOGUN;Shogun;;;;;;;;;;;;;x
SHOGUN_PREF;Shogunate;;;;;;;;;;;;;x
e_tokyo;The Imperial Line;;;;;;;;;;;;;x
e_tokyo;Imperial;;;;;;;;;;;;;x
kingdom_of_kanto;Chihou of;;;;;;;;;;;;;x
kingdom_of_kansai;Chihou of;;;;;;;;;;;;;x
kingdom_of_kyushu;Chihou of;;;;;;;;;;;;;x
kingdom_of_hokkaido;Chihou of;;;;;;;;;;;;;x
kingdom_of_shikoku;Chihou of;;;;;;;;;;;;;x
kingdom_of_chubu;Chihou of;;;;;;;;;;;;;x
kingdom_of_tohoku;Chihou of;;;;;;;;;;;;;x
kingdom_of_chugoku;Chihou of;;;;;;;;;;;;;x
kingdom_of_ryukyuan;Chihou of;;;;;;;;;;;;;x
kingdom_of_ainu;Chihou of;;;;;;;;;;;;;x
kingdom_kanto;Chihou;;;;;;;;;;;;;x
kingdom_kansai;Chihou;;;;;;;;;;;;;x
kingdom_kyushu;Chihou;;;;;;;;;;;;;x
kingdom_hokkaido;Chihou;;;;;;;;;;;;;x
kingdom_shikoku;Chihou;;;;;;;;;;;;;x
kingdom_chubu;Chihou;;;;;;;;;;;;;x
kingdom_tohoku;Chihou;;;;;;;;;;;;;x
kingdom_chugoku;Chihou;;;;;;;;;;;;;x
kingdom_ryukyuan;Chihou;;;;;;;;;;;;;x
kingdom_ainu;Chihou;;;;;;;;;;;;;x
king_kanto;Daimyo;;;;;;;;;;;;;x
king_kansai;Daimyo;;;;;;;;;;;;;x
king_kyushu;Daimyo;;;;;;;;;;;;;x
king_hokkaido;Daimyo;;;;;;;;;;;;;x
king_shikoku;Daimyo;;;;;;;;;;;;;x
king_chubu;Daimyo;;;;;;;;;;;;;x
king_tohoku;Daimyo;;;;;;;;;;;;;x
