TRIBUTARY_EMPEROR_JAPAN_NAME;Emperor;;;;;;;;;x
TRIBUTARY_EMPEROR_JAPAN_PLURAL;Emperors;;;;;;;;;x
SUZERAIN_EMPEROR_JAPAN_NAME;Shogun;;;;;;;;;x
TRIBUTARY_EMPEROR_JAPAN_TRIBUTE;Influence;;;;;;;;;x
japanese_emperor_trait;Japanese Emperor;;;;;;;;;x
japanese_emperor_trait_desc;This character is the Emperor of Japan.;;;;;;;;;x
japanese_emperor_killer_trait;Killer of the Japanese Emperor;;;;;;;;;x
japanese_emperor_killer_trait_desc;This character killed the Emperor of Japan.;;;;;;;;;x
TRIBUTARY_SHOGUN_KASHIN_NAME;Shogun Kashin;;;;;;;;;x
TRIBUTARY_SHOGUN_KASHIN_PLURAL;Shogun Kashins;;;;;;;;;x
SUZERAIN_SHOGUN_KASHIN_NAME;Shogun;;;;;;;;;x
TRIBUTARY_SHOGUN_KASHIN_TRIBUTE;Levy;;;;;;;;;x
TRIBUTARY_ANTI_SHOGUN_KASHIN_NAME;Pretender Shogun Kashin;;;;;;;;;x
TRIBUTARY_ANTI_SHOGUN_KASHIN_PLURAL;Pretender Shogun Kashins;;;;;;;;;x
SUZERAIN_ANTI_SHOGUN_KASHIN_NAME;Pretender Shogun;;;;;;;;;x
TRIBUTARY_ANTI_SHOGUN_KASHIN_TRIBUTE;Levy;;;;;;;;;x
k_pretender_bakufu;The Pretender Bakufu;;;;;;;;;x
k_pretender_bakufu_adj;Pretender Shogunate;;;;;;;;;x
