#;;;;;;;;;;;;;;x
#§
###############
## DECISIONS ##
###############
lmmiwp_invite_with_promises;Invite With Promises;;;;;;;;;;;;;x
lmmiwp_invite_with_promises_desc;Invite §Y[Root.GetTitledFirstName]§! to your court with the following promises:;;;;;;;;;;;;;x
lmmiwp_add_promise_title_grant;Promise to Grant;;;;;;;;;;;;;x
lmmiwp_add_promise_title_grant_desc;Add §Y[Root.GetFullName]§! to the list of titles currently being offered as a promise.;;;;;;;;;;;;;x
lmmiwp_remove_promise_title_grant;Remove Promise to Grant;;;;;;;;;;;;;x
lmmiwp_remove_promise_title_grant_desc;Remove §Y[Root.GetFullName]§! from the list of titles currently being offered as a promise.;;;;;;;;;;;;;x
lmmiwp_add_promise_press_claim;Promise to Press Claim;;;;;;;;;;;;;x
lmmiwp_add_promise_press_claim_desc;Promise to press the next invitee's claim on §Y[Root.GetFullName]§! if applicable.;;;;;;;;;;;;;x
lmmiwp_remove_promise_press_claim;Remove Promise to Press Claim;;;;;;;;;;;;;x
lmmiwp_remove_promise_press_claim_desc;Remove the promise to press the next invitee's claim on §Y[Root.GetFullName]§!.;;;;;;;;;;;;;x
lmmiwp_toggle_other_promises;[lmmiwp_get_other_promises];;;;;;;;;;;;;x
lmmiwp_toggle_other_promises_desc;Adjust other promises being made to the next invitee.;;;;;;;;;;;;;x

lmmiwp_ctt_applicable_promise_council_position;(§G*§!) Grant council position;;;;;;;;;;;;;x
lmmiwp_ctt_applicable_promise_commander;(§G*§!) Make commander;;;;;;;;;;;;;x
lmmiwp_ctt_applicable_promise_press_claim;(§G*§!) Press claim on §Y[From.lmmiwp_promised_title_to_press_claim.GetFullName]§!;;;;;;;;;;;;;x
lmmiwp_ctt_applicable_promise_grant_titles;(§G*§!) Grant promised titles;;;;;;;;;;;;;x
lmmiwp_ctt_already_invited_by_someone;Must NOT have already been invited with promises by [Root.GetHerHis] current liege.;;;;;;;;;;;;;x
lmmiwp_must_not_be_in_lesser_union;Is NOT in a lesser union and in the same court as [Root.GetHerHis] spouse.;;;;;;;;;;;;;x
lmmiwp_cannot_remove_promise_of_last_county_if_higher_tier_is_promised;Cannot remove the last county if a higher tier title is also promised.;;;;;;;;;;;;;x
lmmiwp_cannot_promise_higher_tier_before_count;Must promise to grant a county before promising a higher tier title.;;;;;;;;;;;;;x
lmmiwp_view_promises_made;View Promises Made;;;;;;;;;;;;;x
lmmiwp_view_promises_made_desc;The promises made to §Y[Root.GetTitledName]§! will be shown in the §GTooltip§! of the option of the event.;;;;;;;;;;;;;x
lmmiwp_ctt_title_is_being_promised;§Y[Root.GetFullName]§! is currently being offered as a promise.;;;;;;;;;;;;;x
lmmiwp_ctt_title_already_promised_to_someone;Has NOT already been been promised to someone.[lmmiwp_get_currently_promised_to];;;;;;;;;;;;;x
lmmiwp_ctt_must_not_be_capital_county;Is NOT §Y[From.GetTitledName]§!'s capital county.;;;;;;;;;;;;;x
lmmiwp_ctt_is_offering_something_as_promise;Has designated at least one thing for offering as a promise.;;;;;;;;;;;;;x
#############
## REASONS ##
#############
lmmiwp_reason_base_reluctance;Base Reluctance;;;;;;;;;;;;;x
lmmiwp_reason_higher_tier;I reside at a higher court;;;;;;;;;;;;;x
lmmiwp_reason_false_religion;False Religion;;;;;;;;;;;;;x
lmmiwp_reason_slothful;I don't feel like moving;;;;;;;;;;;;;x
lmmiwp_reason_envious;I want my claim pressed;;;;;;;;;;;;;x
lmmiwp_reason_too_weak_to_press_claim;Low chance of winning a war against §Y[From.lmmiwp_promised_title_to_press_claim.Holder.TopLiege.GetTitledFirstName]§!;;;;;;;;;;;;;x
lmmiwp_reason_non_aggression_pact_with_claim;§Y[From.GetTitledFirstName]§! has a non-aggression pact with §Y[From.lmmiwp_promised_title_to_press_claim.Holder.TopLiege.GetTitledFirstName]§!;;;;;;;;;;;;;x
