LOADING_TIP_0;A 'demesne' is the collection of Castles, Cities and Temples held by one person.;Un 'domaine' est l'ensemble des châteaux, cités et temples possédés par une personne.;Eine "Domäne" ist die Ansammlung von Burgen, Städten und Tempeln, die einer Person gehören.;;Una «heredad» es un conjunto de Castillos, Villas y Templos pertenecientes a una persona.;;;;;;;;;x
LOADING_TIP_1;Seniority succession is a great way to reunite your family lands but for some reason tends to lower your life expectancy.;La succession basée sur l'ancienneté permet de réunir les terres familiales, mais tend à réduire votre durée de règne.;Das Senioratsprinzip ist eine tolle Möglichkeit, die Ländereien Eurer Familie zusammenzufügen, reduziert merkwürdigerweise aber Eure Lebenserwartung.;;La sucesión por veteranía es gran forma de reunir las tierras de tu familia pero, por algún motivo, tu esperanza de vida baja.;;;;;;;;;x
LOADING_TIP_2;Right-clicking portraits brings up a quick menu.;Faites un clic droit sur les portraits pour afficher un menu rapide.;Rechtsklicks auf Portraits rufen ein Schnellmenü auf.;;Al hacer clic en los retratos con el botón derecho del ratón se abre un menú rápido.;;;;;;;;;x
LOADING_TIP_3;Right-click on a holding in your realm to access a quick menu for it.;Faites un clic droit de la souris sur une propriété de votre royaume pour accéder au menu rapide.;Rechtsklickt auf ein Besitztum in Eurem Reich, um ein Schnellmenü dazu aufzurufen.;;Haz clic con el botón derecho en una propiedad de tu reino para acceder a su menú rápido.;;;;;;;;;x
LOADING_TIP_4;In a matrilineal marriage, children are born to their mother's dynasty.;Les enfants issus d'un mariage matrilinéaire appartiennent à la dynastie de la mère.;Die in einer matrilinearen Ehe geborenen Kinder gehören der Dynastie der Mutter an.;;En un matrimonio matrilineal, los niños nacen en la dinastía de la madre.;;;;;;;;;x
LOADING_TIP_5;Illegitimate bastards cannot pass your dynasty on.;Les enfants illégitimes n'appartiennent pas à votre dynastie.;Uneheliche Bastarde können Eure Dynastie nicht weiterführen.;;Los bastardos ilegítimos no pueden continuar con tu dinastía.;;;;;;;;;x
LOADING_TIP_6;The second and third in line to the throne are called pretenders, and are likely to cause trouble.;Le deuxième et le troisième de la lignée sont des prétendants et peuvent poser problème.;Die Nummer zwei und drei in der Erbfolge werden Thronanwärter genannt und sorgen sehr wahrscheinlich für Schwierigkeiten.;;El segundo y el tercero en la línea de sucesión son los aspirantes al trono, y suelen causar problemas.;;;;;;;;;x
LOADING_TIP_7;Vassals who dislike you will not provide you with their full troop levies.;À défaut de vous apprécier, les vassaux ne mettront pas à votre disposition l'intégralité de leurs troupes.;Vasallen, die Euch nicht mögen, werden Euch nicht ihre vollen Truppen-Aufgebote zur Verfügung stellen.;;Los vasallos a los que no gustes se negarán a darte todas sus levas.;;;;;;;;;x
LOADING_TIP_8;You need a reason to declare war. Choose your casus belli wisely.;Pour déclarer la guerre, vous devez avoir une raison. Choisissez judicieusement votre casus belli.;Für eine Kriegserklärung benötigt Ihr einen Kriegsgrund. Wählt ihn weise aus.;;Necesitas un motivo para declarar la guerra. Elige bien tu casus belli.;;;;;;;;;x
LOADING_TIP_9;Crown Laws affect even those rulers who are not de facto part of the kingdom. Unless their government specifies otherwise.;Les lois de la Couronne affectent également les dirigeants qui ne font pas, de facto, partie du royaume.;Krongesetze betreffen sogar jene Herrscher, die de facto nicht zum Reich gehören.;;Las leyes de la Corona afectan a aquellos soberanos que no son parte de facto del reino.;;;;;;;;;x
LOADING_TIP_10;The Pope can grant powerful boons to good Catholics.;Le Pape peut accorder de puissants avantages aux bons catholiques.;Der Papst kann guten Katholiken enorme Vorteile verschaffen.;;El Papa puede conceder grandes favores a los buenos católicos.;;;;;;;;;x
LOADING_TIP_11;Mercenaries are professional soldiers and can win wars for you - just make sure they get paid!;Les mercenaires sont des soldats professionnels capables de remporter des guerres pour votre compte. Mais n'oubliez pas de les payer !;Söldner sind Berufssoldaten und können Kriege für Euch gewinnen - so lange Ihr sie anständig bezahlt!;;Los mercenarios son soldados profesionales, pueden ganar guerras por ti. ¡Solo tienes que asegurarte de que paguen!;;;;;;;;;x
LOADING_TIP_12;Holy orders will only fight against heretics and infidels. Don't try fighting a hospitaller with a Hospitaller, they'll just both look at you funny.;Les ordres saints ne combattront que les hérétiques et les infidèles. Soyez donc vigilant lorsque vous les utilisez au cours de batailles !  ;Heilige Orden kämpfen nur gegen Ketzer und Ungläubige. Seid vorsichtig, wenn Ihr sie im Kampf einsetzt!;;Las órdenes sagradas sólo lucharán contra los herejes e infieles. ¡Ten cuidado al usarlas en batalla!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOADING_TIP_13;The four Hospitalier orders maintain friendly relations with each other and are tolerant of each other's different Christian faiths.;;;;;;;;;x
LOADING_TIP_14;You can hide the mini-map, manually or automatically.;Vous pouvez masquer la minicarte manuellement ou automatiquement.;Die Minikarte könnt Ihr manuell oder automatisch ausblenden.;;Puedes ocultar el minimapa de forma manual o automática.;;;;;;;;;x
LOADING_TIP_15;Right-click a received message to change its priority or appearance. Be careful to not click the do not notify button on important messages!;Cliquez sur le bouton droit de la souris sur un message reçu pour en modifier la priorité ou l'apparence.;Rechtsklickt auf die erhaltene Botschaft und ändert ihre Priorität oder ihre Erscheinung.;;Haz clic con el botón derecho en un mensaje recibido para cambiar su prioridad o apariencia.;;;;;;;;;x
LOADING_TIP_16;If you have free investiture, the Pope may ask you to change it unless you are Sevillian in which case you always get to choose your bishops.;En cas d'investiture libre, le Pape peut vous demander de changer cette loi.;Wenn Ihr das Gesetz freie Investitur habt, könnte Euch der Papst auffordern, dies zu ändern.;;Si aplicas la ley de libre investidura, el Papa puede pedirte que la cambies.;;;;;;;;;x
LOADING_TIP_17;Do not upset the Pope, he may have you excommunicated. This also applies to Sevillian characters.;Ne contrariez pas le Pape sous peine d'excommunication.;Verärgert den Papst nicht, denn er könnte Euch exkommunizieren.;;No enfades al Papa, puede hacer que te excomulguen.;;;;;;;;;x
LOADING_TIP_18;If you are childless and old, your family members may demand your titles.;Si vous êtes sans enfant ou âgé, les membres de votre famille peuvent exiger vos titres.;Wenn Ihr kinderlos und alt seid, könnten Eure Familienmitglieder Eure Titel fordern.;;Si no tienes descendencia y eres anciano, puede que los miembros de tu familia te pidan los títulos.;;;;;;;;;x
LOADING_TIP_19;The Thunder Dragon has stood for 600 years in the mountains and its people believe it will stand for 600 more. But will the world leave it behind?;;;;;;;;;x
LOADING_TIP_20;The more the Authority of a religion is eroded, the more susceptible it is to heresy.;Plus l'autorité d'une religion est faible, plus celle-ci est encline à l'hérésie.;Je mehr die Autorität einer Religion nachlässt, desto anfälliger wird sie für Ketzerei.;;Cuanto más erosionada la autoridad de una religión, más propensos serán sus miembros a la herejía.;;;;;;;;;x
LOADING_TIP_21;If you are playing in Yugoslavia, be careful of secret religious cults!;;;;;;;;;x
LOADING_TIP_22;Children are born with a fraction of their parents' dynasties' total Prestige.;Les enfants naissent avec une fraction du Prestige total des dynasties de leurs parents.;Kinder werden mit einem Teil des Gesamtprestiges ihrer elterlichen Dynastie geboren.;;Los niños nacen con una parte del prestigio de las dinastías de sus progenitores.;;;;;;;;;x
LOADING_TIP_23;Agnatic Succession means only males can inherit.;La succession agnatique signifie que seuls les hommes peuvent hériter.;Agnatische Nachfolge bedeutet, dass nur Männer erben können.;;La sucesión agnaticia significa que solo los varones pueden heredar.;;;;;;;;;x
LOADING_TIP_24;Agnatic-Cognatic (a.k.a. Male Preference) Succession means females can inherit only if there are no valid males.;La succession agnatico-cognatique (c.-à-d. la préférence masculine) signifie que les femmes ne peuvent hériter que s'il n'y a pas d'héritier mâle valide.;Die Agnatisch-Kognatische Nachfolge (auch Männlicher Vorzug genannt) bedeutet, dass Frauen nur dann erben können, wenn kein legitimer männlicher Nachkomme vorhanden ist.;;La sucesión agnaticia-cognaticia (preferencia masculina) significa que las mujeres pueden heredar solo en caso de ausencia de varón.;;;;;;;;;x
LOADING_TIP_25;Under Seniority Succession, the oldest member of the dynasty inherits.;Sous la succession par ancienneté, c'est le membre le plus âgé de la dynastie qui hérite.;Bei der Nachfolge durch das Senioratsprinzip erbt das älteste Mitglied der Dynastie.;;En la sucesión jerárquica, hereda el miembro de mayor edad de la dinastía.;;;;;;;;;x
LOADING_TIP_26;Under Primogeniture Succession, the oldest legitimate child inherits.;Sous la succession de la primogéniture, c'est l'enfant légitime le plus âgé qui hérite.;Bei der Nachfolge durch Primogenitur ist das älteste legitime Kind erbberechtigt.;;En la sucesión por primogénitura hereda el hijo legítimo de mayor edad;;;;;;;;;x
LOADING_TIP_27;Under Gavelkind Succession, the inheritance is divided among the children.;Sous la succession du partage salique, l'héritage est réparti entre tous les enfants.;Bei der Nachfolge durch Erbteilung wird das Erbe unter den Kindern aufgeteilt.;;En la sucesión equitativa la herencia se divide entre los hijos.;;;;;;;;;x
LOADING_TIP_28;Christianity has lost a lot of ground since the Event to pagans and Old World Cultists such as the Zarists to the east or the Novelists to the west.;;;;;;;;;x
LOADING_TIP_29;You gain more Prestige in battle as an ally than as a primary participant.;Vous gagnez plus de prestige au cours d'une bataille en tant qu'allié qu'en tant qu'instigateur.;Verbündete können in einer Schlacht mehr Prestige gewinnen als Hauptakteure;;Ganas más Prestigio en batalla como aliado que como participante primario.;;;;;;;;;x
