#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_spindleshanks;Spindleshanks;;;;;;;;;;;;;x
nick_the_horned;the Horned;;;;;;;;;;;;;x
nick_the_elbow_high;the Elbow-High;;;;;;;;;;;;;x
nick_the_livid;the Livid;;;;;;;;;;;;;x
nick_the_seedless;the Seedless;;;;;;;;x
nick_the_incorruptible;the Incorruptible;;;;;;;;x
nick_the_grey;the Grey;;;;;;;;x
nick_the_bookish;the Bookish;;;;;;;;x
nick_the_wardrobe;the Wardrobe;;;;;;;;x
nick_the_crimson;the Crimson;;;;;;;;x
nick_the_miserable;the Miserable;;;;;;;;x
nick_hindu_hammer;the Hammer of the Hindus;;;;;;;;;x
nick_the_tiger;the Tiger;;;;;;;;;x
nick_the_iron_rider;Iron Rider;;;;;;;;;x
nick_the_pharaoh;the Pharaoh;;;;;;;;;x
nick_the_iron_ruler;the Iron Ruler;;;;;;;;;x
nick_the_cabbage;the Cabbage;;;;;;;;;x
nick_the_broad_shouldered;the Broad-Shouldered;;;;;;;;;x
nick_the_artist;the Artist;;;;;;;;;x
nick_the_crowned;the Crowned;;;;;;;;;x
nick_the_self_crowned;the Self-Crowned;;;;;;;;;x
nick_the_american;the American;;;;;;;;;x
nick_the_wrymouth;Wrymouth;;;;;;;;;x
nick_axe_of_feroes;The Axe of the Feroes;;;;;;;;;x
nick_ben_david;ben David;;;;;;;;;x
nick_the_static;the Static;;;;;;;;;x
nick_the_poseidonist;the Poseidonian;;;;;;;;;;;;;x
nick_the_marble_emperor;the Marble Emperor;;;;;;;;;;;;;x
nick_the_atlantian;the Atlantian;;;;;;;;;;;;;x
nick_the_athonite;the Athonite;;;;;;;;;;;;;x
nick_rurikovich;Rurikovich;;;;;;;;;;;;;x
nick_ivanova;Ivanova;;;;;;;;;;;;;x
nick_the_peacemaker;the Peacemaker;;;;;;;;;;;;;x
nick_the_red_tzar;the Red Tzar;;;;;;;;;;;;;x
nick_the_mouth_sauron;the Mouth of Sauron;;;;;;;;;;;;;x
nick_halevi;HaLevi;;;;;;;;;;;;;x
nick_ayit_hagadol;HaAyit HaGadol;;;;;;;;;;;;;x
nick_evangelist;the Evangelist;;;;;;;;;;;;;x
nick_the_one_day_king;the One-Day King;;;;;;;;;;;;;x
nick_the_suspicious;the Suspicious;;;;;;;;;;;;;x
nick_ten_thousand_den;of Ten-Thousand dens;;;;;;;;;;;;;x
nick_the_atoner;the Atoner;;;;;;;;;;;;;x
nick_the_blood_washed;the Blood-washed;;;;;;;;;;;;;x
nick_of_teahouse;of Teahouse;;;;;;;;;;;;;x
nick_prince_of_suvanabhumi;Prince of Suvanabhumi;;;;;;;;;;;;;x
nick_lion_of_singapura;the Lion of Singapura;;;;;;;;;;;;;x
nick_last_sri_vijaya;the Last Sri Vijaya;;;;;;;;;;;;;x
nick_the_one_day_king;the One-Day King;;;;;;;;;;;;;x
nick_the_antiquarian;the Antiquarian;;;;;;;;;;;;;x
nick_the_delver;the Delver;;;;;;;;;;;;;x
nick_the_scientist;the Scientist;;;;;;;;;;;;;x
nick_the_laureate;the Laureate;;;;;;;;;;;;;x
nick_the_collector;the Collector;;;;;;;;;;;;;x
nick_the_thunderer;the Thunderer;;;;;;;;;;;;;x
nick_blade_hand;Blade-Hand;;;;;;;;;;;;;x
nick_red_tide;the Daimyo of the Red Tide;;;;;;;;;;;;;x
nick_goldsmith;the Goldsmith;;;;;;;;;;;;;x
nick_professor;the Professor;;;;;;;;;;;;;x
nick_dragon_warrior;the Dragon Warrior;;;;;;;;;;;;;x
nick_tiger_malaysia;the Tiger of Malaysia;;;;;;;;;;;;;x
