#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,
nigerian;Nigerian;Nigerian;Nigerian;;Nigerian;;;;;;;;;x
title_china_emperor;Highest Senator;Highest Senator;Highest Senator;;Highest Senator;;;;;;;;;x
WESTERN_GOVERNOR_MALE;Protector General;;;;;;;;;x
WESTERN_GOVERNOR_FEMALE;Protector General;;;;;;;;;;x
WESTERN_GOVERNOR_TITLE_FOA;Your Majesty;Your Majesty;Your Majesty;;Your Majesty;;;;;;;;;x
e_china_west_governor;Northern Division ;Northern Division;Northern Division;;Northern Division;;;;;;;;;x
e_china_west_governor_adj;Nigerian;Nigerian;Nigerian;;Nigerian;;;;;;;;;x
e_china;Nigerian Empire;Empire de Nigeria;Kaiserreich von Nigeria;;Imperio de Nigeria;;;;;;;;;x
china_china;Nigerian Empire;;;;;;;;;;;;;x
china_china_full;Nigerian Empire;;;;;;;;;;;;;x
TXT_CHINA;Nigerian Empire;;;;;;;;;;;;;x
