temple_baron_folklorist;Vedmak;;;;;;;;;;;;;x
temple_baron_folklorist_reformed;Vedmak;;;;;;;;;;;;;x
temple_baron_female_folklorist;Vedma;;;;;;;;;;;;;x
temple_baron_female_folklorist_reformed;Vedma;;;;;;;;;;;;;x
temple_barony_folklorist;Shkola;;;;;;;;;;;;;x
temple_barony_folklorist_reformed;Shkola;;;;;;;;;;;;;x
temple_barony_of_folklorist;Shkola of;;;;;;;;;;;;;x
temple_barony_of_folklorist_reformed;Shkola of;;;;;;;;;;;;;x

temple_count_folklorist;Vyschyi Vedmak;;;;;;;;;;;;;x
temple_count_folklorist_reformed;Vyschyi Vedmak;;;;;;;;;;;;;x
temple_count_female_folklorist;Vyschaya Vedma;;;;;;;;;;;;;x
temple_count_female_folklorist_reformed;Vyschaya Vedma;;;;;;;;;;;;;x
temple_county_folklorist;Vyschaya Shkola;;;;;;;;;;;;;x
temple_county_folklorist_reformed;Vyschaya Shkola;;;;;;;;;;;;;x
temple_county_of_folklorist;Vyschaya Shkola of;;;;;;;;;;;;;x
temple_county_of_folklorist_reformed;Vyschaya Shkola of;;;;;;;;;;;;;x

temple_duke_folklorist;Velikiy Vedmak;;;;;;;;;;;;;x
temple_duke_folklorist_reformed;Velikiy Vedmak;;;;;;;;;;;;;x
temple_duke_female_folklorist;Velikaya Vedma;;;;;;;;;;;;;x
temple_duke_female_folklorist_reformed;Velikaya Vedma;;;;;;;;;;;;;x
temple_duchy_folklorist;Velikaya Shkola;;;;;;;;;;;;;x
temple_duchy_folklorist_reformed;Velikaya Shkola;;;;;;;;;;;;;x
temple_duchy_of_folklorist;Velikaya Shkola of;;;;;;;;;;;;;x
temple_duchy_of_folklorist_reformed;Velikaya Shkola of;;;;;;;;;;;;;x

temple_king_folklorist;Vedmak-Korol;;;;;;;;;;;;;x
temple_king_folklorist_reformed;Vedmak-Korol;;;;;;;;;;;;;x
temple_king_female_folklorist;Koroleva Vedm;;;;;;;;;;;;;x
temple_king_female_folklorist_reformed;Koroleva Vedm;;;;;;;;;;;;;x

temple_baron_novelist;Librarian;;;;;;;;;;;;;x
temple_baron_novelist_reformed;Librarian;;;;;;;;;;;;;x
temple_baron_female_novelist;Librarian;;;;;;;;;;;;;x
temple_baron_female_novelist_reformed;Librarian;;;;;;;;;;;;;x
temple_barony_novelist;Library;;;;;;;;;;;;;x
temple_barony_novelist_reformed;Library;;;;;;;;;;;;;x
temple_barony_of_novelist;Library of;;;;;;;;;;;;;x
temple_barony_of_novelist_reformed;Library of;;;;;;;;;;;;;x

temple_count_novelist;Great Librarian;;;;;;;;;;;;;x
temple_count_novelist_reformed;Great Librarian;;;;;;;;;;;;;x
temple_count_female_novelist;Great Librarian;;;;;;;;;;;;;x
temple_count_female_novelist_reformed;Great Librarian;;;;;;;;;;;;;x
temple_county_novelist;Great Library;;;;;;;;;;;;;x
temple_county_novelist_reformed;Great Library;;;;;;;;;;;;;x
temple_county_of_novelist;Great Library of;;;;;;;;;;;;;x
temple_county_of_novelist_reformed;Great Library of;;;;;;;;;;;;;x

temple_baron_stalinist;Paratorg;;;;;;;;;;;;;x
temple_barony_stalinist;Partyacheyka;;;;;;;;;;;;;x
temple_barony_of_stalinist;Partyacheyka of;;;;;;;;;;;;;x

temple_count_stalinist;Partrabochiy;;;;;;;;;;;;;x
temple_county_stalinist;Partotdel;;;;;;;;;;;;;x
temple_county_of_stalinist;Partotdel of;;;;;;;;;;;;;x

temple_duke_stalinist;Politruk;;;;;;;;;;;;;x
temple_duchy_stalinist;Politrukovodstvo;;;;;;;;;;;;;x
temple_duchy_of_stalinist;Politrukovodstvo of;;;;;;;;;;;;;x

temple_baron_katerinist;Pop;;;;;;;;;;;;;x
temple_baron_female_katerinist;Popadya;;;;;;;;;;;;;x
temple_barony_katerinist;Spas;;;;;;;;;;;;;x
temple_barony_of_katerinist;Spas of;;;;;;;;;;;;;x

temple_count_katerinist;Djak;;;;;;;;;;;;;x
temple_count_female_katerinist;Djachiha;;;;;;;;;;;;;x
