#CODE;ENGLISH;;;x
purge_province;Purge;;;x
purge_province_desc;Purge all organic life from this zone;;;x
destroy_androids;Destroy the Automatons;;;x
destroy_androids_desc;Take the necessary steps to destroy the automatons plaguing this land;;;x
hire_contracted_servants;Hire Contracted Servants ;;;x
hire_contracted_servants_desc;Hire contracted servants from banks for Construction.;;;x
contracted_servants_modifier;Contracted Servants Construction;;;x
thelema_magika_modifier_1;Drawing magick from 1 lover;;;x
thelema_magika_modifier_2;Drawing magick from 2 lover;;;x
thelema_magika_modifier_3;Drawing magick from 3 lover;;;x
