#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mend_old_believer_schism;Mend the Old Believer Schism;;;;;;;;;;;;;x
mend_old_believer_schism_desc;The Old Believer Schism occurred close to the event in the Antediluvian age and has since persisted post event in the depths of russia. If all the Orthodox holy sites could be claimed we could enforce the true method of orthodox worship.;;;;;;;;;;;;;x
mend_orthodox_old_believer_schism;Mend the Old Believer Schism;;;;;;;;;;;;;x
mend_orthodox_old_believer_schism_desc;The Old Believer Schism occurred close to the event in the Antediluvian age and has since persisted post event in the depths of russia. If all the Old believer holy sites could be claimed we could enforce the true method of orthodox worship.;;;;;;;;;;;;;x
mend_vagarna_schism;Reunify Lutheranism;;;;;;;;;;;;;x
mend_vagarna_schism_desc;While they have been led astray, the Vagarna are still our brothers in faith, maybe if we are in the right position, we can reunify Lutheranism by mending the Vagarna Schism.;;;;;;;;;;;;;x
############
mend_catholic_sevillian_schism;Mend the Sevillian Schism;;;;;;;;;;;;;x
mend_catholic_sevillian_schism_desc;The Sevillian Schism occurred close to the event in the Antediluvian age and has since spread throughout Spain. If all the Catholic holy sites could be claimed we could enforce the true method of Catholic worship.;;;;;;;;;;;;;x
mend_sevillian_schism;Mend the Sevillian Schism;;;;;;;;;;;;;x
mend_sevillian_schism_desc;The Sevillian Schism occurred close to the event in the Antediluvian age and has since spread throughout Spain. If all the Sevillian holy sites could be claimed we could enforce the true method of Catholic worship.;;;;;;;;;;;;;x
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
EVTTOOLTIPMOBS.1;The Orthodox are brought into the Church.;;;;;;;;;;;;;x
EVTTOOLTIPMOBS.2;The Old Believers are brought into the Church.;;;;;;;;;;;;;x
EVTTOOLTIPMOBS.3;Lutheranism will be Reunified;;;;;;;;;;;;;x
EVTNAMEMOBS.3;Lutheranism Reunified;;;;;;;;;;;;;x
EVTDESCMOBS.3;The Vagarna have rejoined the Lutheran flock. With the spread of the [Root.Religion.GetName] faith, the Vagarna faith now holds little sway over true Christians. There will be those who foolishly still cling to it, but they will be few in number and the Archbishop can claim rule over a substantial amount of Christendom.;;;;;;;;;;;;;x
EVTDESCMOBS.31;The Vagarna have rejoined the Lutheran flock. With the spread of the [Root.Religion.GetName] faith, the Vagarna faith now holds little sway over true Christians. There will be those who foolishly still cling to it, but they will be few in number and the Archbishop can claim rule over a substantial amount of Christendom.;;;;;;;;;;;;;x
EVTNAMEMOBS.1;The Orthodox are brought into the Church.;;;;;;;;;;;;;x
EVTDESCMOBS.1;At last, the Old Believer Schism with the Orthodox Church has been mended. With the spread of the [Root.Religion.GetName] faith, the Orthodox faith now holds little sway over true Christians. There will be those who still foolishly cling to it, but they will be few in number.;;;;;;;;;;;;;x
EVTDESCMOBS.11;At last the Old Believer Schism with the Orthodox Church has been mended. With the spread of the [From.Religion.GetName] faith, the Orthodox faith now holds little sway over true Christians. There will be those who still foolishly cling to it, but they will be few in number.;;;;;;;;;;;;;x
EVTNAMEMOBS.2;The Old Believers are brought into the Church;;;;;;;;;;;;;x
EVTDESCMOBS.2;The Old Believers have rejoined the Orthodox flock. With the spread of the [Root.Religion.GetName] faith, the Old Believer faith now holds little sway over true Christians. There will be those who foolishly still cling to it, but they will be few in number and the Patriarch can claim rule over a substantial amount of Christendom.;;;;;;;;;;;;;x
EVTDESCMOBS.21;The Old Believers have rejoined the Orthodox flock. With the spread of the [From.Religion.GetName] faith, the Old Believer faith now holds little sway over true Christians. There will be those who foolishly still cling to it, but they will be few in number and the Patriarch can claim rule over a substantial amount of Christendom.;;;;;;;;;;;;;x
############
EVTNAMEMOBS.5;The Catholic are brought into the Church.;;;;;;;;;;;;;x
EVTDESCMOBS.5;At last, the Sevillian Schism with the Catholic Church has been mended. With the spread of the [Root.Religion.GetName] faith, the Catholic faith now holds little sway over true Christians. There will be those who foolishly still cling to it, but they will be few in number and the Papacy can claim rule over a substantial amount of Christendom.;;;;;;;;;;;;;x
EVTDESCMOBS.51;At last the Sevillian Schism with the Catholic Church has been mended. With the spread of the [From.Religion.GetName] faith, the Catholic faith now holds little sway over true Christians. There will be those who foolishly still cling to it, but they will be few in number and the Papacy can claim rule over a substantial amount of Christendom.;;;;;;;;;;;;;x
EVTNAMEMOBS.4;The Sevillians are brought into the Church;;;;;;;;;;;;;x
EVTDESCMOBS.4;The Sevillians have rejoined the Catholic flock. With the spread of the [Root.Religion.GetName] faith, the Sevillian faith now holds little sway over true Christians. There will be those who foolishly still cling to it, but they will be few in number and the Papacy can claim rule over a substantial amount of Christendom.;;;;;;;;;;;;;x
EVTDESCMOBS.41;The Sevillians have rejoined the Catholic flock. With the spread of the [From.Religion.GetName] faith, the Sevillian faith now holds little sway over true Christians. There will be those who foolishly still cling to it, but they will be few in number and the Papacy can claim rule over a substantial amount of Christendom.;;;;;;;;;;;;;x
EVTTOOLTIPMOBS.4;The Sevillians are brought into the Church.;;;;;;;;;;;;;x
EVTTOOLTIPMOBS.5;The Catholics are brought into the Church.;;;;;;;;;;;;;x
