#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nobelian_DESC;Since the Fall, Nobelians worshipped an old, wise, bearded god who helped mankind to achieve marvels in science, literature and peace, sending holy men and saints on Earth to guide humanity to greatness. The numerous medals with the face of God on them proved he was largely worshipped in the old world, and if Laureates are nowadays rarer than before, faith can be put in Nobel to lead, once again, mankind on the path to glory.;Title;Title;;Title;;;;;;;;;x
prussianist_training;Prussian Discipline;;;;;;;;;x
prussianist_training_desc;Improve your skills as a leader of men.;;;;;;;;;x
prussianistevents1Desc;As a Prussianist, you have the duty to work hard and improve your skill in warfare. What aspect of war do you wish to focus on?;;;;;;;;;x
EVTOPTA_prussianistevents1;I want to strengthen my body;;;;;;;;;x
EVTOPTB_prussianistevents1;I want to focus on my style of command;;;;;;;;;x
EVTOPTC_prussianistevents1;I want to focus on troop types and terrain;;;;;;;;;x
prussianistevents2Desc;What kind of command style do you prefer?;;;;;;;;;x
EVTOPTA_prussianistevents2;Prussians slaughter their foes without mercy!;;;;;;;;;x
EVTOPTB_prussianistevents2;Prussia was famous for its organisation!;;;;;;;;;x
EVTOPTC_prussianistevents2;Every Prussian will prefer death to defeat!;;;;;;;;;x
EVTOPTD_prussianistevents2;My specialty lies elsewhere;;;;;;;;;x
prussianistevents3Desc;What kind of command style do you prefer?;;;;;;;;;x
EVTOPTA_prussianistevents3;As Clausewitz says, morale determines victory;;;;;;;;;x
EVTOPTB_prussianistevents3;The forts of our enemies will fall before us!;;;;;;;;;x
EVTOPTC_prussianistevents3;Hold the line and the war will be won;;;;;;;;;x
EVTOPTD_prussianistevents3;My specialty lies elsewhere;;;;;;;;;x
prussianistevents4Desc;What kind of command style do you prefer?;;;;;;;;;x
EVTOPTA_prussianistevents4;Light Troops will always be the most numerous;;;;;;;;;x
EVTOPTB_prussianistevents4;Heavily Armored Troops;;;;;;;;;x
EVTOPTC_prussianistevents4;German Knights are the greatest in the world!;;;;;;;;;x
EVTOPTD_prussianistevents4;My specialty lies elsewhere;;;;;;;;;x
prussianistevents5Desc;What kind of command style do you prefer?;;;;;;;;;x
EVTOPTA_prussianistevents5;Upon the plains our enemies will fall!;;;;;;;;;x
EVTOPTB_prussianistevents5;Trees and Hills are our home!;;;;;;;;;x
EVTOPTC_prussianistevents5;The mountains must be conquered!;;;;;;;;;x
EVTOPTD_prussianistevents5;My talents lie elsewhere;;;;;;;;;x
become_prussian;Adopt the Prussian Culture;;;;;;;;;x
mesopotamian;Mesopotamian;;;;;;;;;x
mesopotamian_DESC;Mesopotamianism is a sect of Islam regarded as heretical by mainstream Muslims. They still consider themselves Muslims, but also honor a group of other entities, such as 'The Party' and 'The Lion', whom they believe are agents of Allah. They also hold that Arabs were once united under a single nation, but that they were shattered by the machinations of al-Amriki, in order to destroy the House of Peace. They believe it is their duty to unite the Islamic world to thwart the machinations of al-Amriki and his master, Shaytan.;;;;;;;;;x
wonder_holland_dams;Ancient Dam;;;;;;;;;x
wonder_holland_dams_desc;These great dam-walls were placed here by the labors of the Ancients. So great was their power that they could even divert the very sea itself to give themselves more living space.;;;;;;;;;x
wonder_motherland_calls;The Motherland Calls;;;;;;;;;x
wonder_motherland_calls_desc;This ancient,towering statue is obviously of Mother Russia herself,and is surrounded by temple complexes. Debate rages over whether or not Mother Russia is a goddess or just a representation of Russia,but all Russians hold this place as sacred,and it inspires great devotion and zeal in their hearts.;;;;;;;;;x
wonder_al_sunta_kum;Remnants of old Al-Sunta'Kum;;;;;;;;;x
wonder_al_sunta_kum_desc;Here lie the ancient weapons of the organisation that once ruled the Amriqi of old. All throughout the landscape and coast of Qatar hulks of ancient vessels and Chariots lie rusting in the Arabian sun.;;;;;;;;;x
bonaparte;High Numenorean Blood;;;;;;;;;x
bonaparte_desc;A warrior and Great King of legend. Uniter of the kingdoms of Arnor and Gondor,High King of Numenor, and populariser of Novelism.;;;;;;;;;x
predestination_good_1;Member of the Elect;;;;;;;;;x
predestination_good_1_desc;This character's success is widely interpreted as being a result of their being blessed by God as a member of the Elect.;;;;;;;;;x
predestination_good_2;Member of the Elect;;;;;;;;;x
predestination_good_2_desc;This character's success is widely interpreted as being a result of their being blessed by God as a member of the Elect.;;;;;;;;;x
predestination_good_3;Member of the Elect;;;;;;;;;x
predestination_good_3_desc;This character's success is widely interpreted as being a result of their being blessed by God as a member of the Elect.;;;;;;;;;x
predestination_bad;Reprobate accursed by God.;;;;;;;;;x
predestination_bad_desc;This character is widely regarded as being a wicked reprobate;;;;;;;;;x
calvinist_government;Calvinist Theocracy;;;;;;;;;x
calvinist_government_desc;Following the example of the legendary Genevan Empire of the past, Calvinist Theocracies blend the line between secular and religious power. The temporal power is expected to serve the Calvinist Church, carrying out such duties as the punishment of excommunicants and the protection of the Church generally.;;;;;;;;;x
bahai;Baha'i;;;;;;;;;x
bahai_DESC;Though distinct from mainstream Shi'ism, the Baha'i faith is considered a Shi'ite heresy in game. This religion preaches in favor of the establishment of world peace, equality, and emphasises the unity of all people and religions. The faith derives from the teachings of Bahá'u'lláh, a pre-event Persian, though following the Event much information on his life has been lost.;;;;;;;;;x
d_bahai;Universal House of Justice;;;;;;;;;x
UHP_PRESIDENT;Secretary-General;;;;;;;;;x
cossack;Cossack;;;;;;;;;x
####NEWPROVINCENAMES####,,,,,,,,,
PROV411;Pieter;;;;;;;;;x
c_vodi_adj;Pietrovan;;;;;;;;;x
b_kingisepp;Savior on Spilled Blood;;;;;;;;;x
b_noteborg;Peter & Pauls;;;;;;;;;x
b_nyen;Petrograd;;;;;;;;;x
b_ivanovskaya;Kronshlot;;;;;;;;;x
b_jogopera;Kronshtadta;;;;;;;;;x
PROV1660;Shlisselburg;;;;;;;;;x
b_chlisselbourg;Shlisselburg;;;;;;;;;x
PROV396;Archangelsk;;;;;;;;;x
b_okladnikowa;Archangelsk;;;;;;;;;x
b_kusnezowa;Malye Korely;;;;;;;;;x
k_barentsiya;Archangelsk;;;;;;;;;x
b_velikaya;Lukomorye;;;;;;;;;x
c_kolguyev;Lukomorye;;;;;;;;;x
PROV1829;Lukomorye;;;;;;;;;x
PROV595;Volgograd;;;;;;;;;x
b_ozerky;St Nicholas;;;;;;;;;x
b_donskoy;Zaritsin;;;;;;;;;x
novelist_opinion;Novelist Opinion;;;;;;;;;x
PROV1873;Novosibirsk;;;;;;;;;x
b_boutron;Batroun;;;;;;;;;x
lion;Lion;;;;;;;;;x
byzantine;Hellenistic;;;;;;;;;x
bloodline_effect_invade_numenor;Once per lifetime access to the  §YReclaim Numenor §! Casus Belli;;;;;;;;;x
assad;Blood of the Lion;;;;;;;;;xthe Lion of Syria is a potent symbol of national heroism.;;;;;;;;;x
assad_desc;An ancient champion of monotheism and defender of the Syrian people, the Lion is known to have preserved Syria from the wrath of infidels.;;;;;;;;;x
invade_numenor;Reclamation of Númenór;;;;;;;;;x
invade_numenor_desc;As a Novelist from the line of Bonaparte, it is your duty to see the Empire of Númenór reformed. Once per lifetime, you can march on another ruler  of the region to reclaim your birthright.;;;;;;;;;x
CB_NAME_NUMENOR;Reclaim Númenór;;;;;;;;;x
WAR_NAME_NUMENOR;Númenórian Reconquest of $OTHER_TITLE$;;;;;;;;;x
levantine_arabic_opinion;Levantine Opinion;;;;;;;;;x
hashemite;Hashemite Blood;;;;;;;;;x
hashemite_desc;The Ancient family of the Prophet, the Hashemite clan view themselves as the natural leaders of Sunni Islam.;;;;;;;;;x
bloodline_effect_sunni_leadership;Makes it easier to create the  §YSunni Caliphate§!;;;;;;;;;x
sunni_bloodline_TT;Your bloodline entitles you to be Caliph;;;;;;;;;x
###############
String_Ahl_e_Haqq;Ahl-e Haqqi;;;;;;;;;x
String_Yarsani;Yarsani;;;;;;;;;x
String_Nupolona_Kolonist;Nupolona-kolonist;;;;;;;;;x
String_Vagarna;Vagarna;;;;;;;;;x
String_Bahai;Bahai;;;;;;;;;x
String_Jugoslavist;Jugoslavist;;;;;;;;;x
String_Muwahidunna;Muwahidunna;;;;;;;;;x
String_Oke_Tudist;Oke-Tudist;;;;;;;;;x
String_Iiman_Almalayika;Iiman Almalayika;;;;;;;;;x
String_Zvezdniki;Zvezdniki;;;;;;;;;x
String_Folklorist;Folklorist;;;;;;;;;x
String_Novelist;Novelist;;;;;;;;;x
String_Four_Guardianist;Four Guardianist;;;;;;;;;x
String_Tatikist;Tatikist;;;;;;;;;x
String_Druidist;Druidist;;;;;;;;;x
String_Sarnaist;Sarnaist;;;;;;;;;x
String_Constitutionalist;Constitutionalist;;;;;;;;;x
String_Liehuo;Liehuo;;;;;;;;;x
String_Khanist;Khanist;;;;;;;;;x
String_Jacobinist;Jacobinist;;;;;;;;;x
String_Titoist;Titoist;;;;;;;;;x
String_Trotskyite;Trotskyite;;;;;;;;;x
String_Leninist;Leninist;;;;;;;;;x
String_Stalinist;Stalinist;;;;;;;;;x
String_Petrist;Petrist;;;;;;;;;x
String_Katerinist;Katerinist;;;;;;;;;x
String_Zarist;Zarist;;;;;;;;;x
String_Temirist;Temirist;;;;;;;;;x
String_Sea_Creed;Sea Creed;;;;;;;;;x
String_Mesopotamian;Mesopotamian;;;;;;;;;x
String_Ahmadi;Ahmadi;;;;;;;;;x
String_Zaydi;Zaydi;;;;;;;;;x
String_Ismaili;Ismaili;;;;;;;;;x
String_Sufi;Sufi;;;;;;;;;x
String_Quranist;Quranist;;;;;;;;;x
String_Malikite;Malikite;;;;;;;;;x
String_Salafi;Salafi;;;;;;;;;x
String_Ovlatii;Ovlatii;;;;;;;;;x
String_Jadidist;Jadidist;;;;;;;;;x
String_Federationist;Federationist;;;;;;;;;x
String_Congregationist;Congregationist;;;;;;;;;x
String_Haymanot;Haymonot;;;;;;;;;x
String_Hasidic;Hasidic;;;;;;;;;x
String_Maaravi;maaravi;;;;;;;;;x
String_Mikraist;Mikraist;;;;;;;;;x
String_Old_Hindu;Old Hindu;;;;;;;;;x
String_agamatirta;Agama Tirta;;;;;;;;;x
String_neo_vedantic;Neo-Vedantic;;;;;;;;;x
String_Bhagavanist;Bhagavanist;;;;;;;;;x
String_Dharmic;Dharmic;;;;;;;;;x
String_Sikh;Sikh;;;;;;;;;x
String_Mainline;Mainliner;;;;;;;;;x
String_Columbian;Columbian;;;;;;;;;x
String_Quaker;Quaker;;;;;;;;;x
String_Apostolico;Apostolico;;;;;;;;;x
String_Charismatic;Charismatic;;;;;;;;;x
String_Evangelical;Evangelical;;;;;;;;;x
