#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ACQUISITION_CLAIM;Conquered as a Claimant;Conquis en tant que revendicateur;Erobert als Anspruchsteller;;Conquistado como un pretendiente;;;;;;;;;x
ACQUISITION_HOST;Conquered as an Adventurer;Conquis en tant qu'aventurier;Erobert als Abenteurer;;Conquistado como un aventurero;;;;;;;;;x
ACQUISITION_REVOLT;Conquered as Leader of an Uprising;Conquis en tant que chef d'une révolte;Erobert als Anführer eines Aufstands;;Conquistado como líder de un levantamiento;;;;;;;;;x
ACQUISITION_USURP;Peacefully Usurped;Usurpé en paix;Friedliche Übernahme;;Usurpado pacíficamente;;;;;;;;;x
ACQUISITION_FACTION_DEMAND;Installed by Faction Demand;Installé sous demande d'une faction;Installiert durch eine Fraktionsforderung;;Instalado por petición de la facción;;;;;;;;;x
PERSONAL_OPINION_LOWER_THAN;Personal Opinion lower than ;Opinion personnelle inférieure à ;Pers. Meinung geringer als ;;Opinión personal más baja que;;;;;;;;;x
PERSONAL_OPINION_AT_LEAST;Personal Opinion of at least ;Opinion personnelle d'au moins ;Pers. Meinung mindestens ;;Opinión personal de por lo menos;;;;;;;;;x
PERS_OPINION_DIFF_LOWER_THAN;Personal Opinion difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;La différence d'opinion personnelle entre §Y$FIRST$§! et §Y$SECOND$§! est inférieure à §Y$VAL$§!;Pers. Meinungsunterschiede zwischen §Y$FIRST$§! und §Y$SECOND$§! geringer als §Y$VAL$§!;;¡Diferencia de opinión personal entre §Y$FIRST$§! y §Y$SECOND$§! más baja que §Y$VAL$§!;;;;;;;;;x
PERS_OPINION_DIFF_AT_LEAST;Personal Opinion difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!;La différence d'opinion personnelle entre §Y$FIRST$§! et §Y$SECOND$§! est d'au moins §Y$VAL$§!;Pers. Meinungsunterschiede zwischen §Y$FIRST$§! und §Y$SECOND$§! mindestens §Y$VAL$§!;;¡Diferencia de la opinión personal entre §Y$FIRST$§! y §Y$SECOND$§! de por lo menos §Y$VAL$§!;;;;;;;;;x
RULER_OF_TITLE;$RULER$ of $TITLE$;$RULER$ de $TITLE$;$RULER$ von $TITLE$;;$RULER$ de $TITLE$;;;;;;;;;x
EVTDESC38305;I have grown more trusting, accepting whatever fate has in store for me. I have lost the Paranoid trait.;Je suis désormais plus confiant et j'accepte le sort que le destin me réserve. Je ne suis plus paranoïaque.;Ich bin nun weniger argwöhnisch und nehme hin, was das Schicksal bringt. Ich habe die Eigenschaft "§YParanoid§!" verloren.;;Me he vuelto más confiado, aceptando lo que el destino me traiga. He perdido el rasgo Paranoico;;;;;;;;;x
EVTDESC38306;I have become aware of people's duplicity. I have lost the Trusting trait.;J'ai pris conscience de la duplicité de certains. J'ai perdu ma confiance.;Mir ist die Doppelzüngigkeit der Menschen bewusst geworden. Ich habe die Eigenschaft "§YTreuherzig§!" verloren.;;Me he dado cuenta de la duplicidad de la gente. He perdido el rasgo Confiado.;;;;;;;;;x
EVTDESC38307;I have suffered enough pain and betrayal. Why help those who hurt me back? I have lost the Kind trait.;J'ai suffisamment souffert des suites de diverses trahisons. Pourquoi devrais-je aider ceux qui me font du mal ? Ma gentillesse est du passé.;Ich habe genug Pein und Verrat erfahren. Warum soll ich meinen Neidern helfen? Ich habe die Eigenschaft "§YGütig§!" verloren.;;He sufrido bastante dolor y traición. ¿Por qué ayudar a aquellos que me haga daño? He perdido el rasgo Amable;;;;;;;;;x
EVTDESC38308;The wounds have marked me for life. I have gained the Scarred trait.;Mes blessures ont laissé des traces. J'ai dorénavant des balafres.;Die Wunden werden mich ein Leben lang zeichnen. Ich habe die Eigenschaft "§YVernarbt§!" erhalten.;;Las heridas me han marcado para la vida. He adquirido el rasgo marcado de cicatrices..;;;;;;;;;x
MEN;men;hommes;Männer;;hombres;;;;;;;;;x
WOMEN;women;femmes;Frauen;;mujeres;;;;;;;;;x
MALE;male;masculin;männlich;;hombre;;;;;;;;;x
FEMALE;female;féminin;weiblich;;mujer;;;;;;;;;x
ADULTERER;adulterer;adultère;Ehebrecher;;adúltero;;;;;;;;;x
ADULTERESS;adulteress;adultère;Ehebrecherin;;adúltera;;;;;;;;;x
nick_the_unfaithful;the Unfaithful;l'Adultère;[This.Getderdie] Treulose;;el Infiel;;;;;;;;;x
nick_the_beguiling;the Beguiling;la Séduisante;[This.Getderdie] Betörende;;el Persuasivo;;;;;;;;;x
nick_the_temptress;the Temptress;la Tentatrice;die Versucherin;;la Tentadora;;;;;;;;;x
nick_the_seducer;the Seducer;le Séducteur;der Verführer;;el Seductor;;;;;;;;;x
nick_the_lewd;the Lewd;le Lubrique;[This.Getderdie] Liederliche;;el Lascivo;;;;;;;;;x
nick_the_lecher;the Lecher;le Débauché;der Lüstling;;el Libidinoso;;;;;;;;;x
nick_the_unchaste;the Unchaste;l'Impudique;[This.Getderdie] Unkeusche;;el Impúdico;;;;;;;;;x
INSULT_OLD;old;sénile;Alte;;viejo;;;;;;;;;x #HARDCODED
INSULT_TADPOLE;tadpole;têtard;Kaulquappe;;renacuajo;;;;;;;;;x #noun -HARDCODED
INSULT_CHILD;child;gamin[Root.Get_E];Kind;;niño/a;;;;;;;;;x #noun -HARDCODED
INSULT_VILE;vile;exécrable;Scheusal;;vil;;;;;;;;;x #HARDCODED
INSULT_FOUL;foul;ignoble;Faulige(r);;asqueroso/a;;;;;;;;;x #HARDCODED
INSULT_FILTHY;filthy;immonde;Dreckwühler(in);;guarro/a;;;;;;;;;x #HARDCODED
INSULT_CLOWN;jester;bouffo[Root.GetNNne];Clown;;bufón;;;;;;;;;x #noun -HARDCODED
INSULT_COW;cow;vache;Kuh;;vaca;;;;;;;;;x #noun -HARDCODED
INSULT_INFIDEL;infidel;infidèle;Ungläubige(r);;infiel;;;;;;;;;x #noun -HARDCODED
INSULT_HERETIC;heretic;hérétique;Ketzer(in);;hereje;;;;;;;;;x #noun -HARDCODED
INSULT_GROTESQUE;grotesque;grotesque;[Root.GetMissgestalteterMissgestalt];;grotesco;;;;;;;;;x #noun - male - ugly
INSULT_DWARF;dwarf;nabot[Root.Get_E];Zwerg[Root.GetinFemale];;enano/a;;;;;;;;;x #noun - male female - dwarf
INSULT_CLUBFOOT;clubfoot;boiteu[Root.GetXSe];Klumpfüßige[Root.GetrMale];;pie zopo;;;;;;;;;x #noun - male female - clubfooted
INSULT_HARELIP;harelip;bec-de-lièvre;Hasenschartige[Root.GetrMale];;labio leporino;;;;;;;;;x #noun - male female - harelip
INSULT_CLEFT_LIPPED;cleft-lipped;au bec fendu;spaltlippische[Root.GetrMale];;labio hendido;;;;;;;;;x # male female - harelip
INSULT_BASTARD;bastard;bâtard[Root.Get_E];Bastard[Root.GetinFemale];;bastardo/a;;;;;;;;;x #noun - male female - bastard
INSULT_BASEBORN;baseborn;illégitime;niedriggeborene[Root.GetrMale];;ilegítimo/a;;;;;;;;;x # male female - legit_bastard
INSULT_KINSLAYER;kinslayer;parricide;Sippenmörder[Root.GetinFemale];;mataparientes;;;;;;;;;x #noun - male female - kinslayer
INSULT_SODOMITE;sodomite;sodomite;Sodomit;;sodomita;;;;;;;;;x #noun - male - homosexual
INSULT_DULLARD;dullard;so[Root.GetTTte];Dummkopf;;zoquete;;;;;;;;;x #noun - male - dull slow
INSULT_DIM;dim;crétin;dummer;;tonto/a;;;;;;;;;x # male - dull slow
INSULT_VACUOUS;vacuous;stupide;stumpfsinnige;;vago/a;;;;;;;;;x # female - dull slow
INSULT_NITWIT;nitwit;crétine;Nichtswisserin;;bobo/a;;;;;;;;;x #noun - female - dull slow
