search_for_the_reincarnation_of_god;Search for the Reincarnation of [Root.Religion.GetHighGodName];;;;;;;;;;x
search_for_the_reincarnation_of_god_desc;It is the belief of our faith that god incarnates on earth as a mortal man once every cycle. As we now exist in a new cycle we must dedicate our efforts to finding this reincarnation so he may guide his people.;;;;;;;;;;x
cancel_search_for_the_reincarnation_of_god;Stop Searching;;;;;;;;;;x
cancel_search_for_the_reincarnation_of_god_desc;Searching for the reincarnation of Xwede is costly, both money- and timewise. It might be better to leave it for a later time. However, all the current progress will be lost.;;;;;;;;;;x
EVTDESC_ZOR_1001;Due to your current circumstances, you can't continue the search for the reincarnation of Xwede.;;;;;;;;;;x
EVTOPTA_ZOR_1001;So be it.;;;;;;;;;;x
EVTDESC_ZOR_1004;You made steady progress in the search for the reincarnation of Xwede.;;;;;;;;;;x
EVTDESC_ZOR_1005;There has been a minor setback in the search for the reincarnation of Xwede.;;;;;;;;;;x
EVTDESC_ZOR_1006;There has been a major setback in the search for the reincarnation of Xwede.;;;;;;;;;;x
EVTDESC_ZOR_1010;You got some new information about some possible sources which can help you to find the reincarnation of Xwede. Unfortunately, they are located on lands of infidels. Your chancellor warns you that it can end in a diplomatic disaster...;;;;;;;;;;x
EVTOPTA_ZOR_1010;I take any risks.;;;;;;;;;;x
EVTOPTB_ZOR_1010;Best to keep calm.;;;;;;;;;;x
EVTDESC_ZOR_1011;You asked yourself how you could examine as many boys as possible if they are the reincarnation of Xwede. The answer is simple, all new soldiers could be examined. However, this would greatly slow down the recruitment...;;;;;;;;;;x
EVTOPTA_ZOR_1011;Wars are secondary now.;;;;;;;;;;x
EVTOPTB_ZOR_1011;I can't afford this.;;;;;;;;;;x
EVTDESC_ZOR_1012;Today, you looked for an ancient building which could help you in the search for the reincarnation of Xwede. To your surprise, it was demolished to build a new house on its place. You realised that all constructions could seriously damage the process of your search.;;;;;;;;;;x
EVTOPTA_ZOR_1012;Every construction will need my personal approval.;;;;;;;;;;x
EVTOPTB_ZOR_1012;That's the price we pay for civilization.;;;;;;;;;;x
EVTDESC_ZOR_1013;Until this time, you were kind to the peasants. You asked them if they knew anything about the reincarnation of Xwede, and they answered. But you suspect many of those who denied that they knew anything actually didn't tell the truth.;;;;;;;;;;x
EVTOPTA_ZOR_1013;They will speak.;;;;;;;;;;x
EVTOPTB_ZOR_1013;I should trust them.;;;;;;;;;;x
EVTDESC_ZOR_1014;While members of the church supports your search for the reincarnation of Xwede, they still withhold some sacred texts from you. Without those you may never find anything. You could force clergy to give access to the texts but they certainly won't be delighted about this.;;;;;;;;;;x
EVTOPTA_ZOR_1014;I'm their liege, they should obey.;;;;;;;;;;x
EVTOPTB_ZOR_1014;I can find sources elsewhere.;;;;;;;;;;x
EVTDESC_ZOR_1015;You spent day and night searching for the reincarnation of Xwede with no result. You might need to take a rest for a couple of days and continue.;;;;;;;;;;x
EVTOPTA_ZOR_1015;This work can't wait.;;;;;;;;;;x
EVTOPTB_ZOR_1015;Something drives me from the inside.;;;;;;;;;;x
EVTOPTC_ZOR_1015;That will be the best.;;;;;;;;;;x
EVTDESC_ZOR_1050;You finally found the place where the reincarnation of Xwede could be. You rush up the old stairs and open the door to the tower room. Sadly, there is no tower room.;;;;;;;;;;x
EVTOPTA_ZOR_1050;AAAHHH!!!;;;;;;;;;;x
EVTDESC_ZOR_1051;After years of work, you need to conclude that you got nowhere. You will never find the reincarnation of Xwede.;;;;;;;;;;x
EVTOPTA_ZOR_1051;Only if I worked harder.;;;;;;;;;;x
EVTOPTB_ZOR_1051;I'm a failure.;;;;;;;;;;x
EVTOPTC_ZOR_1051;This all doesn't make sense.;;;;;;;;;;x
EVTDESC_ZOR_1052;After years of work, you need to conclude that you got nowhere. You will never find the reincarnation of Xwede.;;;;;;;;;;x
EVTOPTA_ZOR_1052;Someone else might succeed.;;;;;;;;;;x
EVTDESC_ZOR_1060;After much of hard work, you were delighted to send out your servants to bring the reincarnation of Xwede before you. Unfortunately, they didn't find him, but they found an artifact instead.;;;;;;;;;;x
EVTOPTA_ZOR_1060;A nice addition to my treasury.;;;;;;;;;;x
EVTDESC_ZOR_1061;It's now clear that you were not chosen to find the reincarnation of Xwede. However, you learnt a lot during the search.;;;;;;;;;;x
EVTOPTA_ZOR_1061;I can serve Him in other ways.;;;;;;;;;;x
EVTOPTB_ZOR_1061;I learnt the joys of hard work.;;;;;;;;;;x
EVTOPTC_ZOR_1061;I'm nothing but a mere human being.;;;;;;;;;;x
EVTDESC_ZOR_1062;While you didn't find the reincarnation of Xwede, you carefully written down each step of the search. Your story might help someone to find him in the future.;;;;;;;;;;x
EVTOPTA_ZOR_1062;I put some jokes in it too.;;;;;;;;;;x
EVTDESC_ZOR_1070;Thanks to your hard work for years, your servants could finally bring the reincarnation of Xwede to you today. You still need to wait until his adulthood until you can be sure that he is the real one or you have mistaken.;;;;;;;;;;x
EVTOPTA_ZOR_1070;I hope I was right.;;;;;;;;;;x
EVTNAME_ZOR_1072;Reincarnation of Xwede;;;;;;;;;;x
EVTDESC_ZOR_1072;[Root.GetBestName] reached adulthood. It's now clear that he is the true reincarnation of Xwede. His duty is now to become the leader of the Yasarni church.;;;;;;;;;;x
EVTOPTA_ZOR_1072;Interesting.;;;;;;;;;;x
EVTOPTB_ZOR_1072;Magnific!;;;;;;;;;;x
EVTOPTC_ZOR_1072;My blood!;;;;;;;;;;x
EVTOPTD_ZOR_1072;My work has paid off!;;;;;;;;;;x
EVTOPTE_ZOR_1072;Finally!;;;;;;;;;;x
EVTDESC_ZOR_1074;[From.GetBestName] reached adulthood today. Unfortunately, there is no sight of him being the true reincarnation of Xwede.;;;;;;;;;;x
EVTOPTA_ZOR_1074;We will get him next time.;;;;;;;;;;x
EVTOPTA_ZOR_1010_TT;You will make significant progress in the search for the reincarnation of Xwede.;;;;;;;;;;x
EVTOPTB_ZOR_1010_TT;You will struggle in the search for the reincarnation of Xwede.;;;;;;;;;;x
searching_god_book;The Story of a Search;;;;;;;;;;;x
searching_god_book;This book describes how [Root.GetBestName] tried to find the reincarnation of Xwede.;;;;;;;;;;;x
searching_for_the_reincarnation_of_god;Searching for the Reincarnation of Xwede;;;;;;;;;;;x
searching_god_diplomacy;Diplomatic Disaster;;;;;;;;;;;x
searching_god_martial;Recruitment Examinations;;;;;;;;;;;x
searching_god_stewardship;Disturbed Constructions;;;;;;;;;;;x
searching_god_intrigue;Cruel Interrogations;;;;;;;;;;;x
searching_god_learning;Disrespected Clergy;;;;;;;;;;;x
possible_reincarnation_of_god;Possible Reincarnation of Xwede;;;;;;;;;;;x
