#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
# City of Wonders;;;;;;;;;;;;;;;
wonder_city_of_wonders;A Great City;City of Wonders;City of Wonders;;City of Wonders;;;;;;;;;;x
wonder_city_of_wonders_desc;A grand city that will undoubtably remembered by future historians, an example of the lowest tiers being medieval London, a capital of great significance and population while at the high end of tiers we reach cities of the world's desire, the capitals of grand empires such as Constantinople or Chang'an. Though even these are nothing but shadows compared to the great leviathans of antediluvia that many still inhabit the shattered corpses of.;;;;;;;;;;;;;;x
wonder_city_of_wonders_construction_desc;By carefully investing in our capital, we can turn it into a magnificent Megalopolis that will outrival any other cities in the world. It shall become a City of Wonders.;;;;;;;;;;;;;;x
# City of Wonders DYNAMIC NAMES ;;;;;;;;;;;;;;;
String_location_cow;[target_province.GetName];;;;;;;;;;;;;;x # Stage 1 - Wonder
String_location_cow2;Great City of [target_province.GetName];;;;;;;;;;;;;;x # Stage 3 - Wonder
String_location_cow3;Metropolis of [target_province.GetName];;;;;;;;;;;;;;x # Stage 6 - Wonder
String_location_cow4;Megalopolis of [target_province.GetName];;;;;;;;;;;;;;x # Stage 9 - Wonder
# City of Wonders DESC;;;;;;;;;;;;;;;
wonder_city_of_wonders1_desc;[target_province.GetName] has been expanded into a proper city, but there still much to do. Many older buildings have been demolished to make room for many of the new districts that shall contain many of this city’s future wonders. Still, there is much to do, as you cannot even visit a single district without seeing it marred by construction work.;;;;;;;;;;;;;;x # Stage 1
wonder_city_of_wonders2_desc;After much time and effort, [target_province.GetName] has turned into something everyone can agree is a Great City. Monuments and decorations have started to mark [target_province.GetName] as something extraordinary. Still, there is much to do, and the city requires quite a few more wonders before it can truly be called a City of Wonders.;;;;;;;;;;;;;;x # Stage 3
wonder_city_of_wonders3_desc;[target_province.GetName] has undeniably become a Metropolis, that is quite possibly not just the center of the realm, but also a epicenter of the region it inhabits. It has by most margins become the most important post of every major trade route in the known world. Many districts have been built, and quite a few great works and monuments have raised. While the city is one of the greatest in the known world, there is still much work and renovations left before the city can reach it's apex.;;;;;;;;;;;;;;x # Stage 6
wonder_city_of_wonders4_desc;[target_province.GetName] has incontestably grown into a fully-fledged Megalopolis, quite conceivably the greatest city ever built. Pedestrians can walk miles without seeing an apparent end to the city. In any district of the city you can find radiant wonders and great works never before seen beyond the city walls. It may have taken a few generations to accomplish this, and cost some blood, sweat, and wealth beyond imagining – but any who walks the beautifully paved streets of [target_province.GetName] agrees that any sacrifice would be worth it for such a magnificent city. It truly has become a City of Wonders!;;;;;;;;;;;;;;x # Stage 9
#### Cities of Wonders HISTORICAL####
### CONSTANTINOPLE ###
# wonder_city_of_wonders_byz;Megalopolis of Konstantinoupolis;;;;;;;;;;;;;;x
# wonder_city_of_wonders_byz;The Queen of Cities;;;;;;;;;;;;;;x
wonder_city_of_wonders_byz;Basileuousa of [FromFromFrom.GetName];;;;;;;;;;;;;;x
