From;To;Type;Through;-1;-1;-1;-1;Comment
803;801;sea;992;-1;-1;-1;-1;Quattara-Buhairya
35;40;sea;992;-1;-1;-1;-1;Western Isles-Moray
35;39;sea;992;-1;-1;-1;-1;Western Isles-Ross
36;37;sea;993;-1;-1;-1;-1;Orkney-Caithness
72;73;sea;965;-1;-1;-1;-1;Essex-Kent
78;79;sea;973;-1;-1;-1;-1;Brugge-Zeeland
2738;2736;sea;3996;-1;-1;-1;-1;
2745;2735;sea;4010;-1;-1;-1;-1;
2744;2743;sea;4011;-1;-1;-1;-1;
2020;2022;sea;988;-1;-1;-1;-1;South Doggerland-Storo
2021;2023;sea;988;-1;-1;-1;-1;North Doggerland-Lileo
1688;848;sea;1000;-1;-1;-1;-1;Dithmarschen-Bremen
1688;259;sea;1000;-1;-1;-1;-1;Dithmarschen-Celle
304;308;sea;999;-1;-1;-1;-1;Rügen-Wolgast
304;306;sea;999;-1;-1;-1;-1;Rügen-Rostock
304;307;sea;999;-1;-1;-1;-1;Rügen-Werle
1890;472;sea;1038;-1;-1;-1;-1;Corfu-Epieros
342;340;sea;992;-1;-1;-1;-1;north sicily south sicily
486;746;sea;1111;-1;-1;-1;-1;Samos-Ephesos
487;744;sea;1111;-1;-1;-1;-1;Lesbos-Abydos
495;744;sea;947;-1;-1;-1;-1;Kaliopolis-Abydos
482;481;sea;2126;-1;-1;-1;-1;Athens-Korinth
496;741;sea;947;-1;-1;-1;-1;Constantinople-Nikomedia
166;839;sea;954;-1;-1;-1;-1;Algeciras-Ceuta
166;841;sea;954;-1;-1;-1;-1;Algeciras-Tangiers
2266;2265;sea;2298;-1;-1;-1;-1;Makhana-Saint Louis
4719;4718;sea;3903;-1;-1;-1;-1;thailand
266;303;sea;1001;-1;-1;-1;-1;Sjaelland
1801;1802;sea;1803;-1;-1;-1;-1;greenland
1801;1804;sea;1803;-1;-1;-1;-1;greenland
2621;1236;major_river;1311;-1;-1;-1;-1;Ganges
2621;1240;major_river;1311;-1;-1;-1;-1;Ganges
2617;4900;major_river;1313;-1;-1;-1;-1;Sahebganj-Darjeeling
2617;4893;major_river;1313;-1;-1;-1;-1;Sahebganj-Dinajpur
2617;1151;major_river;2598;-1;-1;-1;-1;Ganges
2614;1246;major_river;1317;-1;-1;-1;-1;Ganges
2649;1340;sea;1310;-1;-1;-1;-1;Indus
2649;1338;sea;1310;-1;-1;-1;-1;Indus
1236;2600;major_river;2597;-1;-1;-1;-1;Ganges
2600;1235;major_river;2599;-1;-1;-1;-1;Ganges
1323;1235;major_river;2599;-1;-1;-1;-1;Ganges
1235;1243;major_river;2598;-1;-1;-1;-1;Ganges
1235;1239;major_river;2598;-1;-1;-1;-1;Ganges
1323;1239;major_river;2598;-1;-1;-1;-1;Ganges
1235;4889;major_river;2598;-1;-1;-1;-1;Kolkata-Howrah
1235;1233;major_river;2598;-1;-1;-1;-1;Ganges
4887;1233;major_river;2598;-1;-1;-1;-1;Saptagrama-Kakdwip
1240;2600;major_river;2597;-1;-1;-1;-1;Faridpur-Khulna
1235;4896;major_river;2599;-1;-1;-1;-1;Kolkata-Krishnanagar
1325;4896;major_river;2598;-1;-1;-1;-1;Pabna-Krishnanagar
1151;4896;major_river;2598;-1;-1;-1;-1;Rajshahi-Krishnanagar
1240;4896;major_river;2597;-1;-1;-1;-1;Faridpur-Krishnanagar
2600;4887;major_river;2599;-1;-1;-1;-1;Khulna-Kakdwip
1323;1151;major_river;1312;-1;-1;-1;-1;Ganges
1323;4896;major_river;1312;-1;-1;-1;-1;Nabadwipa-Krishnanagar
