#### FEUDAL


##Indo-Aryan Feudal RULERS
baron_indo_aryan_group;Baron;;;;;;;;;;;;;x,,,,,,
baron_female_indo_aryan_group;Baroness;;;;;;;;;;;;;x,,,,,,
count_indo_aryan_group;Count;;;;;;;;;;;;;x,,,,,,
count_female_indo_aryan_group;Countess;;;;;;;;;;;;;x,,,,,,
duke_indo_aryan_group;Rajah;;;;;;;;;;;;;x,,,,,,
duke_female_indo_aryan_group;Rani;;;;;;;;;;;;;x,,,,,,
king_indo_aryan_group;Great Rajah;;;;;;;;;;;;;x,,,,,,
king_female_indo_aryan_group;Great Rani;;;;;;;;;;;;;x,,,,,,
emperor_indo_aryan_group;Emperor;;;;;;;;;;;;;x,,,,,,
emperor_female_indo_aryan_group;Empress;;;;;;;;;;;;;x,,,,,,
title_prince_indo_aryan_group;Prince;;;;;;;;;;;;;x,,,,,,
title_prince_female_indo_aryan_group;Princess;;;;;;;;;;;;;x,,,,,,
,,,,,,
##Indo-Aryan Feudal TITLES_OF
barony_of_indo_aryan_group;Barony of;;;;;;;;;;;;;x,,,,,,
county_of_indo_aryan_group;County of;;;;;;;;;;;;;x,,,,,,
duchy_of_indo_aryan_group;Rajahdom of;;;;;;;;;;;;;x,,,,,,
kingdom_of_indo_aryan_group;Great Rajahdom of;;;;;;;;;;;;;x,,,,,,
empire_of_indo_aryan_group;Empire of;;;;;;;;;;;;;x,,,,,,
,,,,,,
##Indo-Aryan Feudal TITLES
barony_indo_aryan_group;Barony;;;;;;;;;;;;;x,,,,,,
county_indo_aryan_group;County;;;;;;;;;;;;;x,,,,,,
duchy_indo_aryan_group;Rajahdom;;;;;;;;;;;;;x,,,,,,
kingdom_indo_aryan_group;Great Rajahdom;;;;;;;;;;;;;x,,,,,,
empire_indo_aryan_group;Empire;;;;;;;;;;;;;x,,,,,,
,,,,,,
##Konkani Feudal RULERS
count_konkani;Count;;;;;;;;;;;;;x,,,,,,
count_female_konkani;Countess;;;;;;;;;;;;;x,,,,,,
duke_konkani;Duke;;;;;;;;;;;;;x,,,,,,
duke_female_konkani;Duchess;;;;;;;;;;;;;x,,,,,,
king_konkani;King;;;;;;;;;;;;;x,,,,,,
king_female_konkani;Queen;;;;;;;;;;;;;x,,,,,,
emperor_konkani;Emperor;;;;;;;;;;;;;x,,,,,,
emperor_female_konkani;Empress;;;;;;;;;;;;;x,,,,,,
,,,,,,
##Angrezi Feudal RULERS
baron_angrezi;Baron;;;;;;;;;;;;;x
baron_female_angrezi;Baron;;;;;;;;;;;;;x
count_angrezi;Commissioner;;;;;;;;;;;;;x
count_female_angrezi;Commissioner;;;;;;;;;;;;;x
duke_angrezi;Governor;;;;;;;;;;;;;x
duke_female_angrezi;Governor;;;;;;;;;;;;;x
king_angrezi;President;;;;;;;;;;;;;x
king_female_angrezi;President;;;;;;;;;;;;;x
emperor_angrezi;Viceroy;;;;;;;;;;;;;x
emperor_female_angrezi;Viceroy;;;;;;;;;;;;;x
,,,,,,
##Angrezi Feudal TITLES
barony_angrezi;Barony;;;;;;;;;;;;;x
county_angrezi;District;;;;;;;;;;;;;x
duchy_angrezi;Province;;;;;;;;;;;;;x
kingdom_angrezi;Presidency;;;;;;;;;;;;;x
empire_angrezi;Viceroyalty;;;;;;;;;;;;;x
,,,,,,
##Angrezi Feudal TITLES_OF
barony_of_angrezi;Barony of;;;;;;;;;;;;;x
county_of_angrezi;District of;;;;;;;;;;;;;x
duchy_of_angrezi;Province of;;;;;;;;;;;;;x
kingdom_of_angrezi;Presidency of;;;;;;;;;;;;;x
empire_of_angrezi;Viceroyalty of;;;;;;;;;;;;;x
,,,,,,
##Dravidian Feudal RULERS
baron_dravidian_group;Baron;;;;;;;;;;;;;x,,,,,,
baron_female_dravidian_group;Baroness;;;;;;;;;;;;;x,,,,,,
count_dravidian_group;Count;;;;;;;;;;;;;x,,,,,,
count_female_dravidian_group;Countess;;;;;;;;;;;;;x,,,,,,
duke_dravidian_group;Duke;;;;;;;;;;;;;x,,,,,,
duke_female_dravidian_group;Duchess;;;;;;;;;;;;;x,,,,,,
king_dravidian_group;King;;;;;;;;;;;;;x,,,,,,
king_female_dravidian_group;Queen;;;;;;;;;;;;;x,,,,,,
emperor_dravidian_group;Arch-King;;;;;;;;;;;;;x,,,,,,
emperor_female_dravidian_group;Arch-Queen;;;;;;;;;;;;;x,,,,,,
,,,,,,
##Dravidian Feudal TITLES_OF,,,,,,
barony_of_dravidian_group;Barony of;;;;;;;;;;;;;x,,,,,,
county_of_dravidian_group;County of;;;;;;;;;;;;;x,,,,,,
duchy_of_dravidian_group;Duchy of;;;;;;;;;;;;;x,,,,,,
kingdom_of_dravidian_group;Kingdom of;;;;;;;;;;;;;x,,,,,,
empire_of_dravidian_group;Great Kingdom of;;;;;;;;;;;;;x,,,,,,
,,,,,,
##Dravidian TITLES,,,,,,
barony_dravidian_group;Barony;;;;;;;;;;;;;x,,,,,,
county_dravidian_group;County;;;;;;;;;;;;;x,,,,,,
duchy_dravidian_group;Duchy;;;;;;;;;;;;;x,,,,,,
kingdom_dravidian_group;Kingdom;;;;;;;;;;;;;x,,,,,,
empire_dravidian_group;Great Kingdom;;;;;;;;;;;;;x,,,,,,


#### INDIAN FEUDAL


##Indian Feudal RULERS
indianfeudal_baron;Submayor;;;;;;;;;;;;;x
indianfeudal_baron_female;Submayor;;;;;;;;;;;;;x
indianfeudal_count;Mayor;;;;;;;;;;;;;x
indianfeudal_count_female;Mayor;;;;;;;;;;;;;x
indianfeudal_duke;Governor;;;;;;;;;;;;;x
indianfeudal_duke_female;Governor;;;;;;;;;;;;;x
indianfeudal_king;Chief Minister;;;;;;;;;;;;;x
indianfeudal_king_female;Chief Minister;;;;;;;;;;;;;x
indianfeudal_emperor;Prime Minister;;;;;;;;;;;;;x
indianfeudal_emperor_female;Prime Minister;;;;;;;;;;;;;x

##Indian Feudal TITLES_OF
indianfeudal_barony_of;Subdistrict of;;;;;;;;;;;;;x
indianfeudal_county_of;District of;;;;;;;;;;;;;x
indianfeudal_duchy_of;Division of;;;;;;;;;;;;;x
indianfeudal_kingdom_of;State of;;;;;;;;;;;;;x
indianfeudal_empire_of;Nation of;;;;;;;;;;;;;x

##Indian Feudal TITLES
indianfeudal_barony;Subdistrict;;;;;;;;;;;;;x
indianfeudal_county;District;;;;;;;;;;;;;x
indianfeudal_duchy;Division;;;;;;;;;;;;;x
indianfeudal_kingdom;State;;;;;;;;;;;;;x
indianfeudal_empire;Nation;;;;;;;;;;;;;x

##Yunani Indian Feudal RULERS
indianfeudal_count_yoonaanee;Count;;;;;;;;;;;;;x,,,,,,
indianfeudal_count_female_yoonaanee;Count;;;;;;;;;;;;;x,,,,,,
indianfeudal_duke_yoonaanee;Despot;;;;;;;;;;;;;x,,,,,,
indianfeudal_duke_female_yoonaanee;Despotess;;;;;;;;;;;;;x,,,,,,
indianfeudal_king_yoonaanee;King;;;;;;;;;;;;;x,,,,,,
indianfeudal_king_female_yoonaanee;Queen;;;;;;;;;;;;;x,,,,,,
indianfeudal_emperor_yoonaanee;Emperor;;;;;;;;;;;;;x,,,,,,
indianfeudal_emperor_female_yoonaanee;Empress;;;;;;;;;;;;;x,,,,,,
,,,,,,
