#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Buildings
ca_trade_center;Trade Hub;;;x
ca_trade_center_desc;A center for trading goods between your people and the realms that neighbor you.;;;x
ca_arms_depot_1;Rifle Manufactuary;;;x
ca_arms_depot_2;Arms Depot;;;x
ca_arms_depot_3;Rifle Arsenal;;;x
ca_small_arms_depot_desc;A manufactuary for firearms, staffed by a few Spacer engineers and the men they teach their secrets;;;x
ca_arms_depot_desc;A building for mass producing firearms. These weapons give Spacers a tactical edge over the primitive cultures of Mars.;;;x
ca_raven_tower;Raven Tower;;;x
ca_raven_tower_desc;A Raven Tower allows you to send messages to other characters.;;;x
ca_conference_center;Conference Center;x
ca_conference_center_desc;A central conference center will provide our government with a location for holding high-level meetings, negotiations, and other get-togethers.;x
ca_assembly_chamber;Assembly Chamber;x
ca_assembly_chamber_desc;Here our vassals can gather for regular business and extraordinary sessions alike, assisting the state in organizing the entire apparatus of the government behind a unified policy and vision while giving voice to dissenting opinions.;x
ca_high_court;High Court;x
ct_high_court;High Court;x
ca_high_court_desc;Here are disputes of all sorts ajudicated and settled with the finality of the fullest and highest law. Our judges stand as the best of their profession, whose wisdom and impartiality is taken for granted by all our citizens, who appreciate and submit to its rulings.;x
ca_peace_monument;Peace Monument;x
ca_peace_monument_desc;There is much talk of peace, and indeed much policy action on the part of the government in pursuit of harmony among and within states. But here we satisfy the middle element: words and action united in a grand monument to the cause of good order in the world.;x
ca_seminar_series;Seminar Series;x
ca_seminar_series_desc;Peace faces threats from all sides, and sometimes these forces take forms never before seen. It is imperative to have continuing seminars on existing and potential sources of instability, with our finest minds grappling with the societal implications and possibilities.;x
ca_cultural_exchange;Cultural Exchange Program;x
ca_cultural_exchange_desc;"The Sabeans? Hell, I know those people!" A bard once quipped that this was the secret to peace, and he is not far off: by encouraging deeper interaction across borders, we facilitate cooperation and enrich our own cultural experience.;x
ca_central_command;Central Command;x
ct_central_command;Central Command;x
ca_central_command_desc;Central Command acts as the aegis of our military forces at home and in the field. Here, commanders gather to analyze incoming reports, evaluate the situation, and issue orders in pursuit of victory and glory.;x
ca_officer_academy;Officer Academy;x
ca_officer_academy_desc;Men are only as effective as the men who lead them. It is thus essential to establish means by which we can form officers, from the highest to the lowest, who can lead their men into battle with full efficacy. Those who lead from the front are the key to victory.;x
ca_communications_center;Communications Center;x
ca_communications_center_desc;All communications for our military run through this facility, which receives, sorts, and sends in order to coordinate operations across the land.;x
ca_recruitment_office;Recruitment Office;x
ca_recruitment_office_desc;Swords, shields, and chainmail are useless without a body in between them. By organizing our recruitment efforts into a specialized corps that uses the best of the best, we can always rely on a fresh crop of young, enthusiastic blood.;x
ca_special_projects_division;Special Projects Division;x
ct_special_projects_division;Special Projects Division;x
ca_special_projects_division_desc;The bigger stick will always lose to the sharp stick. Our permanent staff of scientists and military theorists dedicate themselves to researching ancient and foreign technology on Mars.;x
ca_victory_monument;Victory Monument;x
ca_victory_monument_desc;Are our victories in battle inspiring? Do not our men in uniform put a thrill in our hearts? Surely, this is true, but it is not enough. Let us remind our people of the valor and honor our men have brought and always will bring to the state.;x
ca_economic_bureau;Economic Bureau;x
ct_economic_bureau;Economic Bureau;x
