#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
studying_real_hard;Studying Hard;;;;;;;;;;;;;x
college_educated;College Educated;;;;;;;;;;;;;x
seek_higher_learning;Pursue a PHD;;;;;;;;;;;;;x
seek_higher_learning_desc;Seek higher education to make yourself a better person and ruler;;;;;;;;;;;;;x
pursue_degree;Pursue a Degree;;;;;;;;;;;;;x
pursue_degree_desc;Seek higher education to make yourself a better person and ruler;;;;;;;;;;;;;x
EVTDESCcollege_school_events.1;It will soon be time for you to take the yearly exam at your university. A daunting task awaits you, but you feel ready.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.1;On second thought, maybe I should sit this one out...;;;;;;;;;;;;;x
TOOLTIPEVTOPTAcollege_school_events.1;Sit this exam out to avoid stress. This will probably not help you in the long run, though;;;;;;;;;;;;;x
EVTOPTBcollege_school_events.1;Give it your all!;;;;;;;;;;;;;x
TOOLTIPEVTOPTBcollege_school_events.1;Study for a few nights to prepare for the exam. You will receive the results in a few week;;;;;;;;;;;;;x
EVTDESCcollege_school_events.2;You did very well on the exam. Your peers could not help but to marvel at your towering intellect.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.2;T'was but a trifle!;;;;;;;;;;;;;x
EVTDESCcollege_school_events.3;You barely pass the exam. Unfortunately, the test was harder than you had imagined. It is clear you have a lot of studying left to do.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.3;No more lollygagging! Time to study!;;;;;;;;;;;;;x
EVTDESCcollege_school_events.4;You did well enough to pass the exam, but there is room for improvement. Your instructors tell you that you are on the right track.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.4;Good.;;;;;;;;;;;;;x
EVTDESCcollege_school_events.5;Today is not your day. you scored very poorly on the exam. The instructors tell you that you need to study harder or you will fall behind.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.5;Embarrassing! I must do better next time...;;;;;;;;;;;;;x
EVTDESCcollege_school_events.6;You performed better on the exam than anyone could believe! You received the highest score on the test and an accolades from your teachers. They say you are the brightest among their students;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.6;Greatness comes natural to me!;;;;;;;;;;;;;x
EVTDESCcollege_school_events.9;After years of hard work, you've finally made it: you've earned a bachelor's degree, marking you as part of an intellectual elite. Now is the time to get out into the world and put your knowledge to use. Now, you must choose your degree field.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.9;History and Humanities;;;;;;;;;;;;;x
TOOLTIPEVTOPTAcollege_school_events.9;You choose a History and Humanities degree;;;;;;;;;;;;;x
EVTOPTBcollege_school_events.9;Politics;;;;;;;;;;;;;x
TOOLTIPEVTOPTBcollege_school_events.9;You choose a degree in Politics;;;;;;;;;;;;;x
EVTOPTCcollege_school_events.9;Economics and Finance;;;;;;;;;;;;;x
TOOLTIPEVTOPTCcollege_school_events.9;You choose a degree in Economics;;;;;;;;;;;;;x
EVTOPTDcollege_school_events.9;Philosophy and Cosmology;;;;;;;;;;;;;x
TOOLTIPEVTOPTDcollege_school_events.9;You choose a degree in Philosophical Studies;;;;;;;;;;;;;x
EVTOPTEcollege_school_events.9;Literature and the Arts;;;;;;;;;;;;;x
TOOLTIPEVTOPTEcollege_school_events.9;You choose a degree in Literature and Art;;;;;;;;;;;;;x
EVTDESCcollege_school_events.10;The time has finally come for your formal entry into college. Now we shall see what your intellect is made of - and whether you get triggered by somebody misusing prepositions. Just be careful over the next few years - you don't want to get probation, or flunk out entirely! You are now a college student!;;;;;;;;;;;;;x
EVTcollege_school_events.10;I wonder what our mascot is...;;;;;;;;;;;;;x
EVTDESCcollege_misc_events.1;Your coursework has aligned just right so you aren't too heavily burdened right now. You could use this opportunity to get a head start on some work due in a couple months, but there's also a great, once in a lifetime party being thrown tonight.;x
EVTOPTAcollege_misc_events.1;I think I'll study instead.;x
EVTOPTBcollege_misc_events.1;I've earned a break.;x
collegebreak1;Use your free time to study for your next assignment;x
collegebreak2;Go party and be lively with your peers;x
EVTDESCcollege_misc_events.9;You encounter many ideas on campus, but today you run into a First Terra heretic missionary, who is telling you that all mankind is sinful, but can be redeemed and justified through his God who died for us. You notice that a crowd is gathering as he orates. Apparently, he said something offensive to everyone listening and now the mob is demanding retribution.;;;x
EVTOPTAcollege_misc_events.9;Free expression is sacred on these grounds.;;;x
EVTOPTBcollege_misc_events.9;Opposing ideas should be silenced.;;;x
EVTDESCROYCOLL;You submit your documents and fees and sign the parchment, agreeing to take classes at your capital's university in pursuit of higher education. You are now a college student.;;;;;;;;;;;;;x
EVTROYCOLL;Neat!;;;;;;;;;;;;;x

