#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
clone_self_decision;Clone Yourself;Clônez vous vous-même;;;;;;;;;;;;x
clone_self_decision_desc;Commission a single-donor clone of yourself. The clone will take approximately nine months to gestate and will share almost all of your DNA.;Demander la création d'un clône de vous-même. Le clône prendra environ neuf mois pour arriver à maturation et il partagera avec vous la quasi-totalité de votre ADN.;;;;;;;;;;;;x
clone_courtier_decision;Clone [This.GetFullName];Clônez [This.GetFullName];;;;;;;;;;;;x
clone_courtier_decision_desc;Commission a single-donor clone of [This.GetFullName] for §Y100§W¤. The clone will take approximately nine months to gestate and will share almost all of [This.GetHerHis] DNA.;Demander la création d'un clône de [This.GetFullName]. Le clône prendra environ neuf mois pour arriver à maturation et il partagera avec vous la quasi-totalité de [This.GetPossPronoun] ADN.;;;;;;;;;;;;x
clone_all_spouses;Multi-Donor Clone;Ce personnage est un clône, un être humain créé artificiellement à partir du modèle génétique de quelqu'un d'autre.;;;;;;;;;;;;x
clone_all_spouses_desc;Commission a multi-donor clone of you and your spouse. The clone will take approximately nine months to gestate. Without polygamy this is essentially superadvanced in-vitro fertilization.;Demander la création d'un clône de vous-même. Le clône prendra environ neuf mois pour arriver à maturation et il partagera avec vous la quasi-totalité de votre ADN.;;;;;;;;;;;;x
EVTDESCCLONE0;You arrange a meeting with a prominent Alien Geneticist, who agrees to have your genomes copied and used to grow a clone, for a rather hefty fee. The child will require approximately nine months of gestation, and will share all or almost all of your DNA.;Vous arrangez un rendez-vous avec un éminent généticien du système [Root.Capital.GetName], qui accèpte de copier votre génôme et de l'utiliser pour créer un clône, à un tarif plutôt élevé. Le clône nécessitera environ neuf mois pour arriver à maturation, et partagera avec vous la majorité de votre ADN.;;;;;;;;;;;;x
EVTDESCCLONE110;You arrange a meeting with a prominent Alien Geneticist, who agrees to have the genomes of you and your spouse copied and used to grow a Vat Born child, for a rather hefty fee. The child will require approximately nine months of gestation.  While similar to a standard pregnancy, the chance for retaining genetic traits from each parent is much higher, and traits can be received from more than two parents if the character practices polygamy.;Vous arrangez un rendez-vous avec un éminent généticien du système [Root.Capital.GetName], qui accèpte de copier votre génôme et de l'utiliser pour créer un clône, à un tarif plutôt élevé. Le clône nécessitera environ neuf mois pour arriver à maturation, et partagera avec vous la majorité de votre ADN.;;;;;;;;;;;;x
EVTOPTACLONE0;Commission a male clone.;Commander un clône masculin;;;;;;;;;;;;x
EVTOPTBCLONE0;Commission a female clone.;Commander un clône féminin.;;;;;;;;;;;;x
EVTOPTCCLONE0;Nevermind.;Peu importe.;;;;;;;;;;;;x
MALECLONETOOLTIP;A male clone will be grown and ready for decanting in approximately nine months.\n;Un clône masculin va être cultiver et sera prêt au service dans environ neuf mois.\n;;;;;;;;;;;;x
FEMALECLONETOOLTIP;A female clone will be grown and ready for decanting in approximately nine months.\n;Un clône féminin va être cultiver et sera prêt au service dans environ neuf mois.\n;;;;;;;;;;;;x
FEMALECLONEWARNINGTOOLTIP;§RWARNING!§! A female clone can be created using only a male donor by duplicating the donor's X chromosome. However, this may have severe side-effects, similar to the effects of inbreeding.;Â§RATTENTION!Â§ Un clône féminin ne peu être créé à partir d'un donneur mâle qu'en dupplicant le chromosome X du donneur. Néanmoins, ceci peu avoir de graves effet secondaires, similaires aux effets de la consanguinité.;;;;;;;;;;;;x
EVTDESCCLONE1;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe celestial have graciously fulfilled your wish. A wondrous clone has been decanted for you by an alien geneticist. Soon, you find yourself holding your newly-grown son in your arms.;Une note du laboratoire vient d'arriver, ils vous informent que votre clône a terminé la première phase de son développement et doit maintenant être affiné. Trés rapidement, vous vous retrouvez devant le laboratoire, votre fils cloné dans vos bras.;;;;;;;;;;;;x
EVTOPTACLONE1;What a wonderful baby boy.;Quel merveilleux petit homme!;;;;;;;;;;;;x
EVTDESCCLONE2;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe celestial have graciously fulfilled your wish. A wondrous clone has been decanted for you by an alien geneticist. Soon, you find yourself holding your newly-grown daughter in your arms.;Une note du laboratoire vient d'arriver, ils vous informent que votre clône a terminé la première phase de son développement et doit maintenant être affiné. Trés rapidement, vous vous retrouvez devant le laboratoire, votre fille clonée dans vos bras.;;;;;;;;;;;;x
EVTOPTACLONE2;What a wonderful baby girl.;Quelle merveilleuse petite princesse!;;;;;;;;;;;;x
