#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
damaged_cybernetics;Damaged Cybernetics;;;;;;;;;;;;x
damaged_cybernetics_desc;This character's cybernetic augmentations have been damaged. Besides rendering their cybernetics less useful, this is also a general health hazard.;;;;;;;;;;;;x
dni;Direct Neural Interface;;;;;;;;;;;;x
dni_desc;The Direct Neural Interface, colloquially called a "skulltop," is the basic neural implant on which all neural cybernetics are based. The DNI consists of a miniature computer implant in the host's brain, directly connected to their neurons. It acts as an interpreter between human neural processing and more conventional computer signals, allowing additional subsequent implants to interact with the brain. Nearly all modern DNI designs also include a microwave transmission device allowing direct wireless connection to computer networks.;;;;;;;;;;;;x
iaei_mk_i;IAEI Mk I;;;;;;;;;;;;x
iaei_mk_i_desc;The Individual Analysis and Empathy Implant is a DNI-based cybernetic implant designed to facilitate communications and diplomacy. In addition to serving as an automatic translation system, the IAEI can analyze and identify facial microexpressions, keeping a running database of the immediate emotional reaction of anyone speaking with the host. IAEIs are often considered one of the more ethically dubious implant lines, but are nevertheless a common staple of professional negotiators and diplomats.;;;;;;;;;;;;x
iaei_mk_ii;IAEI Mk II;;;;;;;;;;;;x
iaei_mk_ii_desc;The Individual Analysis and Empathy Implant is a DNI-based cybernetic implant designed to facilitate communications and diplomacy. In addition to serving as an automatic translation system, the IAEI can analyze and identify facial microexpressions, keeping a running database of the immediate emotional reaction of anyone speaking with the host. IAEIs are often considered one of the more ethically dubious implant lines, but are nevertheless a common staple of professional negotiators and diplomats.;;;;;;;;;;;;x
iaei_mk_iii;IAEI Mk III;;;;;;;;;;;;x
iaei_mk_iii_desc;The Individual Analysis and Empathy Implant is a DNI-based cybernetic implant designed to facilitate communications and diplomacy. In addition to serving as an automatic translation system, the IAEI can analyze and identify facial microexpressions, keeping a running database of the immediate emotional reaction of anyone speaking with the host. IAEIs are often considered one of the more ethically dubious implant lines, but are nevertheless a common staple of professional negotiators and diplomats.;;;;;;;;;;;;x
iaei_mk_iv;IAEI Mk IV;;;;;;;;;;;;x
iaei_mk_iv_desc;The Individual Analysis and Empathy Implant is a DNI-based cybernetic implant designed to facilitate communications and diplomacy. In addition to serving as an automatic translation system, the IAEI can analyze and identify facial microexpressions, keeping a running database of the immediate emotional reaction of anyone speaking with the host. IAEIs are often considered one of the more ethically dubious implant lines, but are nevertheless a common staple of professional negotiators and diplomats.;;;;;;;;;;;;x
iaei_mk_v;IAEI Mk V;;;;;;;;;;;;x
iaei_mk_v_desc;The Individual Analysis and Empathy Implant is a DNI-based cybernetic implant designed to facilitate communications and diplomacy. In addition to serving as an automatic translation system, the IAEI can analyze and identify facial microexpressions, keeping a running database of the immediate emotional reaction of anyone speaking with the host. IAEIs are often considered one of the more ethically dubious implant lines, but are nevertheless a common staple of professional negotiators and diplomats.;;;;;;;;;;;;x
odin_mk_i;Odin Mk I;;;;;;;;;;;;x
