#CODE;ENGLISH;;;;;;;;;x
death_mech_duel;died in a fiery Mech Battle;;;x
defeated_robo;Defeated a Machine;;;x
defeated_robo_desc;This character has recently defeated a Mech Suit pilot in single combat, defeating the machine.;;;x
suit;Mech Suit;;;x
destroyed_land;Devastated Land;;;x
destroyed_land_desc;Large swathes of this land has been burned and trampled by a rampaging Machine.;;;;x
mech_injured;Mech Suit Accident;;;;x
mech_injured_desc;This character's spine was yanked by a Mech Suit. A painful injury, but it will heal.;;;x
build_zhao_mech_suit;Build a Zhao Ranger;;;x
build_zhao_mech_suit_desc;Have your scientists attempt to build a Mech Suit.;;;x
build_mech_suit;Build a Red Fighter;;;x
build_mech_suit_desc;Have your scientists attempt to build a Mech Suit.;;;x
gift_mech_suit;Gift a Mech Suit;;;x
gift_mech_suit_desc;Bestow one of your spare Mech Suits to [Root.GetFirstName].;;;x
bond_mech_suit;Bond with Mech Suit;;;x
bond_mech_suit_desc;Attempt to bond with your MS so that you may pilot it.;;;x
bestowed_mech_suit;Gifted Me a Mech Suit;;;x
common_mech_suit;Red Fighter;;;;;;;;;;;;;x
common_mech_suit_desc;This is a Red Fighter, common on the battlefields of Mars. They give the user a tactical edge and greater defense but are often made of shoddy material.;;;;;;;;;;;;;x
super_mech_suit;AP-6 STRIKER;;;;;;;;;;;;;x
super_mech_suit_desc;The AP-6 STRIKER is the most advanced Mech Suit designed by Spacer engineers.Equipped with guns and cannons unfamiliar to the people of Mars, it has devastating effect on the battlefield. However, it can be as dangerous to the pilot as to his foe...;;;;;;;;;;;;;x
mech_suit;Zhao Ranger Mech Suit;;;;;;;;;;;;;x
mech_suit_desc;This is a Zhao Ranger Mech Suit designed Spacer engineers.It is equipped with an autocannon and automatic defensive capabilities.;;;;;;;;;;;;;x
weapon;Weapons;;;;;;;;;;;;;x
usedmech;Mech Power Cooldown;;;;;;;;;;;;;x
acquire_mech_license;Purchase a Commander Key;;;;;;;;;;;;x
acquire_mech_license_desc;You need a Commander Key in order to pilot a Zhao Ranger or AP-6 STRIKER Mech Suit. The suits will not activate without one.;;;;;;;;;;;;x
mech_pilot;MS Pilot;;;;;;;;;;;;x
mech_pilot_desc;This character has bonded with a Mech Suit and can pilot them in battle.;;;;;;;;;;;;x
buy_mech_suit;Purchase a Zhao Ranger;;;;;;;;;;;;;x
buy_mech_suit_desc;Purchase a standard Combat Mech Suit;;;;;;;;;;;;;x
buy_black_mech_suit;Purchase a Red Fighter;;;;;;;;;;;;;x
buy_black_mech_suit_desc;Purchase a lower end Combat Mech Suit;;;;;;;;;;;;;x
buy_super_mech_suit;Purchase an AP-6 Striker;;;;;;;;;;;;;x
buy_super_mech_suit_desc;Consult your Marshal about purchasing a high end Mech Suit;;;;;;;;;;;;;x
tamed_suit;MS Pilot;;;x
tamed_suit_desc;This character is bonded to a Combat Mech Suit.;;;x
attempt_tamed_suit;Failed To Bond With Mech Suit;;;x

EVTDESCbuy_mech.1;You have purchased a Commander Key, allowing you to pilot a Combat Mech Suit. Be careful!;;;;;;;;;;;;;x
EVTbuy_mech.1;This is good.;;;;;;;;;;;;;x

EVTDESCbuy_mech.2;You have sent a messenger to purchase and bring to you a Combat Mech Suit for your own personal use. There are many Zhao Rangers on the market, and for the right price you have acquired one for yourself. You anxiously await its delivery to you at the gates of [Root.Capital.GetName], but even still as it arrives you can't help but almost faint. Two stories tall, wide, golden, with claws the size of an ox and creaking ungodly noises from its orifices, your Zhao Ranger Mech Suit is as fearsome as you had hoped it would look.;;;;;;;;;;;;;x
EVTbuy_mech.2;I will dominate the battlefield!;;;;;;;;;;;;;x
buy_mech.3;Red Fighter;;;;;;;;;;;;;x

EVTDESCbuy_mech.3;You meet your contact, a Cetinese trader with a mechanic eye, at a hangar not too far from your capital. "They're masterworks, all. You can't go wrong," he says as he unveils his 'toys' for you to see. He presents to you a tall metal hulk, a beastly giant iron almost in the shape of a man, its exterior harder than any sword you've felt.;;;;;;;;;;;;;x
EVTbuy_mech.3;I want that one.;;;;;;;;;;;;;x
buy_mech.4;AP-6 STRIKER;;;;;;;;;;;;;x

EVTDESCbuy_mech.4;The AP-6 STRIKER is the most advanced Mech Suit made with the material available on Mars. Its defensive capabilities and foreign armaments make it impossible to defeat on the battlefield. You have invested a lot of gold and time, and now your STRIKER has finally arrived in [Root.Capital.GetName].;;;;;;;;;;x
EVTbuy_mech.4;The world is mine!;;;;;;;;;;;;;x

EVTDESCsuit_events.1;Your [GetFromFromRelation] [FromFrom.GetTitledName] has asked you to entrust one of your spare Mech Suits to [FromFrom.GetHerHim]. "A man can only pilot one at a time themselves," [FromFrom.GetSheHe] reminds you...;;;x
EVTOPTAsuit_events.1;Hopefully you don't don't use it against me...;;;x
EVTOPTBsuit_events.1;I would rather not.;;;x

EVTTITsuit_events.0;Mind and Body;;;x
EVTDESCsuit_events; With each engagement you get better and better at fighting inside your Mech suit. However, Piloting an Armored Mech Suit is heavily taxing on the human body. Due to having to connect to the pilot's spine every use, over time the Mech Suit can kill its pilot.;;;x
EVTOPTAsuit_events.0;Such is life.;;;x
suitevt1;Piloting your Mech Suit takes a toll on your health.;;;x
