#CODE;ENGLISH;;;;;;;;;x

usedmech;Used Mech in recent battle;;;;;;;;;;;;x
robobattle_events.9;
EVTDESCrobobattle_events.9;You meet another Mech Suit pilot on the battlefield. The enemy is moving toward you in their Mech Suit, ready to engage. Men have stopped fighting and cleared the way to witness the impending duel...;;;;;;;;;;;;;x
EVTNAMErobobattle_events.9;Mecha Duel;;;;;;;;;;;;;x
EVTOPTArobobattle_events.9;Slip away from the battlefield;;;;;;;;;;;;;x
roboscared.1;You avoid meeting the enemy's Mech on the battlefield. This can be seen as cowardly.;;;;;;;;;;;;;x
EVTOPTBrobobattle_events.9;May [Root.Religion.GetHighGodName] be on my side;;;;;;;;;;;;;x
roboofffense.1;Manuever your Mech Suit to meet your opponent in battle;;;;;;;;;;;;;x
robobattle_events.10;
EVTNAMErobobattle_events.10;Retreat...;;;;;;;;;;;;;x
EVTDESCrobobattle_events.10;You were unable to destroy the enemy Mech Suit. You and your opponent [roboduel.GetFirstName] clashed repeatedly until you both decided to retreat. Your Mech Suit is fine, but you'll need time to heal after a fight like this.;;;;;;;;;;;;;x
EVTOPTArobobattle_events.10;I'll get you next time...;;;;;;;;;;;;;x
robobattle_events.11;
EVTNAMErobobattle_events.11;Decisive Victory;;;;;;;;;;;;;x
EVTDESCrobobattle_events.11;You and your opponent dance around one another for what seems like forever in your Mech Suits, trying desperately to maneuver out of the way of the deadly shots and swings being thrown. Alas, you find a blind spot and ram your machine's claw right through your enemy, disabling it for good. Unfortunately, the pilot managed to retreat with their life before you could finish them off.;;;;;;;;;;;;;x
EVTOPTArobobattle_events.11;Flee, coward!;;;;;;;;;;;;;x

EVTDESCrobobattle_events.1122;You and your opponent dance around one another for what seems like forever in your Mech Suits, trying desperately to maneuver out of the way of the deadly shots and swings being thrown. Alas, you find a blind spot and ram your machine's claw right through your enemy, disabling it for good and killing its occupant.;;;;;;;;;;;;;x
EVTOPTArobobattle_events.11;Victory is mine!;;;;;;;;;;;;;x


