#CODE;ENGLISH;;;;;;;;;x

use_mech_siege_dec;Deploy Zhao Ranger in siege;;;;;;;;;;;;;x
use_mech_siege_dec_desc;Use your Mech suit to attack this settlement;;;;;;;;;;;;;x
use_comm_mech_siege_dec;Deploy Red Fighter in siege;;;;;;;;;;;;;x
use_comm_mech_siege_dec_desc;Use your Mech suit to attack this settlement;;;;;;;;;;;;;x
use_super_mech_siege_dec;Deploy STRIKER in siege;;;;;;;;;;;;;x
use_super_mech_siege_dec_desc;Use your Mech suit to attack this settlement;;;;;;;;;;;;;x
EVTDESCmechfl_siege.2;Faced with the enemy's defenses, you decide to soften them up yourself with your Mech Suit. You mount your Mech Suit, praying to your God before you launch an assault on the objective. "ALL SYSTEMS FUNCTIONAL. READY FOR COMBAT DEPLOYMENT", your Suit says to you.;;;;;;;;;;;;;x
EVTNAMEmechfl_siege.2;Settlement Siege;;;;;;;;;;;;x
mechfl_siege.atk1;"[Root.GetFirstName], ready for battle!";;;;;;;;;;;;;x
TOOLTIPEVTOPTAmech_siege.1;Use your Mech Suit to assault this castle's walls;;;;;;;;;;;;;x
mechflsiegeA.atk1;My troops can handle this by themselves, actually;;;;;;;;;;;;;x
EVTNAMEmechfl_siege.oops4;Beaten Back;;;;;;;;;;;;;x
EVTDESCmechfl_siege.oops4;Unfortunately, your assault ended in abject failure. Your enemy was well prepared to counter your Mech Suit, destroying it and badly injuring you. Your allies were able to drag you off of the battlefield, but your Mech Suit lies in ruin...;;;;;;;;;;;;;x
mechfl_siege.oops4;Curses!;;;x
