#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
going_to_school;Enrolled in school;;;;;;;;;;;;;x
going_to_school_desc;This person is being educated at a private institution;;;;;;;;;;;;;x
send_to_school;Send to school;;;;;;;;;;;;;x
send_to_school_desc;Enroll your child in a public school to further their education;;;;;;;;;;;;;x
EVTDESCgoing_school_events.1;It will soon be time for [FromFrom.GetFirstName] to take the yearly exam at school. You sternly advise [FromFrom.GetHerHim] to study while you get back to your business of ruling.;;;;;;;;;;;;;x
EVTOPTAgoing_school_events.1;On second thought, you can stay home if you want;;;;;;;;;;;;;x
TOOLTIPEVTOPTAgoing_school_events.1;Keep your child out of school to avoid stressing them. This will probably not help in the long run;;;;;;;;;;;;;x
EVTOPTBgoing_school_events.1;Give it your all, my child!;;;;;;;;;;;;;x
TOOLTIPEVTOPTBgoing_school_events.1;Your child will study for a few nights to prepare for the exam. Wish them luck;;;;;;;;;;;;;x
EVTDESCgoing_school_events.2;[FromFrom.GetFirstName] has excelled at the exam. They scored high honors and even impressed one of their peers.;;;;;;;;;;;;;x
EVTOPTAgoing_school_events.2;You make our family proud!;;;;;;;;;;;;;x
EVTDESCgoing_school_events.3;Your child performed well on the exam, but [FromFrom.GetHerHis] instructors report to you that [FromFrom.GetSheHe] has a tendency to slack off during instruction.;;;;;;;;;;;;;x
EVTOPTAgoing_school_events.3;No more lollygagging! Time to study!;;;;;;;;;;;;;x
EVTDESCgoing_school_events.4;[FromFrom.GetFirstName] scored well on the exam, but there is room for improvement. [FromFrom.GetHerHis] instructors tell you that [FromFrom.GetSheHe] is on the right track.;;;;;;;;;;;;;x
EVTOPTAgoing_school_events.4;Good.;;;;;;;;;;;;;x
EVTDESCgoing_school_events.5;[FromFrom.GetFirstName] scored very poorly on [FromFrom.GetHerHis] exam. The instructors tell you that [FromFrom.GetFirstName] needs to study harder or they will fall behind. Obviously, [FromFrom.GetFirstName] didn't take the low score too well.;;;;;;;;;;;;;x
EVTOPTAgoing_school_events.5;Embarrassing! Do better next time!;;;;;;;;;;;;;x
EVTDESCgoing_school_events.6;[FromFrom.GetFirstName] performed better on the exam than anyone could believe! [FromFrom.GetSheHe] received the highest score on the test and an accolade from [FromFrom.GetHerHis] teachers.;;;;;;;;;;;;;x
EVTOPTAgoing_school_events.6;Greatness comes natural to my kin!;;;;;;;;;;;;;x
EVTDESCgoing_school_events.9;[FromFrom.GetFirstName] has finally graduated from school! You attend the graduation ceremony, looking on with pride as [FromFrom.GetFirstName] recieves [FromFrom.GetHerHis] graduation parchment. As their guardian, you have some say in what path [FromFrom.GetFirstName] chooses.;;;;;;;;;;;;;x
EVTOPTAgoing_school_events.9;History, Economics, and Humanities;;;;;;;;;;;;;x
TOOLTIPEVTOPTAgoing_school_events.9;You choose a more History and Humanities focused degree for your child;;;;;;;;;;;;;x
EVTOPTBgoing_school_events.9;Art, Literature, and Philosophy;;;;;;;;;;;;;x
TOOLTIPEVTOPTBgoing_school_events.9;You choose a more literary and artistic path for your child;;;;;;;;;;;;;x

