droid_purge_bloodline;Leading Drone;;;;;;;;;x;;;
droid_purge_bloodline_desc;This is the leading unit of the purge for now...;;;;;;;;;x;;;
;;;;;;;;;;;;;
taralonian;Taralonian;;;;;;;;;x;;;
jeferian;Jeferian;;;;;;;;;x;;;
jeferi;Jeferi;;;;;;;;;x;;;
;;;;;;;;;;;;;
novelist_star_child_desc;The Star Children believe in the words of the Prince of the Stars, whose wisdom was great despite his young age. For this reason, the Star Children tend to trust young or less experienced rulers far easier than other schools of thought, as they believe them to be capable of the same wise administration of the Prince.\n\n§GTolerates Alien religions§!;;;;;;;;;x
RULE_STELLARIS_TIMELINE;Stellaris Timeline;;;;;;;;;;;;;x
RULE_STELLARIS_TIMELINE_OFF;This option prevents Stellaris related events from occurring in your game.;;;;;;;;;;;;;x
RULE_STELLARIS_TIMELINE_ON;This option allows for Stellaris related events to occur in your game. This is an alternate timeline.;;;;;;;;;;;;;x
