#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,,
k_title;Title;Title;Title;;Title;;;;;;;;;x,,,,,,,
k_title_adj;Title;Title;Title;;Title;;;;;;;;;x,,,,,,,
k_catalonia;Catalonia;Catalonia;Catalonia;;Catalonia;;;;;;;;;x,,,,,,,
k_catalonia_adj;Cataloniaian;Cataloniaien;Cataloniaier;;Cataloniaiano;;;;;;;;;x,,,,,,,
k_galicia_y_asturias;Galicia y Asturias;Galicia y Asturias;Galicia y Asturias;;Galicia y Asturias;;;;;;;;;x,,,,,,,
k_galicia_y_asturias_adj;Galician;Galicaien;Galicaier;;Galiciaiano;;;;;;;;;x,,,,,,,
k_catalunia;Catalonia;Catalonia;Catalonia;;Catalonia;;;;;;;;;x,,,,,,,
k_catalunia_adj;Cataloniaian;Cataloniaien;Cataloniaier;;Cataloniaiano;;;;;;;;;x,,,,,,,
d_portugal;Portugal;Portugal;Portugal;;Portugal;;;;;;;;;x,,,,,,,
d_portugal_adj;Portugalian;Portugalien;Portugalier;;Portugaliano;;;;;;;;;x,,,,,,,
k_basque;Basque;Basque;Basque;;Basque;;;;;;;;;x,,,,,,,
k_basque_adj;Basqan;Basqueien;Basqueier;;Basqueiano;;;;;;;;;x,,,,,,,
d_basque;Basque;Basque;Basque;;Basque;;;;;;;;;x,,,,,,,
d_basque_adj;Basqan;Basqueien;Basqueier;;Basqueiano;;;;;;;;;x,,,,,,,
d_hauts-de-france;Hauts de France;Hauts de France;Hauts de France;;Hauts de France;;;;;;;;;x,,,,,,,
d_hauts-de-france_adj;Hauts de France;Hauts de Fracne;Hauts de France;;Hauts de France;;;;;;;;;x,,,,,,,
d_grand_est;Grand Est;Grand Est;Grand Est;;Grand Est;;;;;;;;;x,,,,,,,
d_grand_est_adj;Grand Est;Grand Est;Grand Est;;Grand Est;;;;;;;;;x,,,,,,,
d_toulouse;Occitania;Occitania;Occitania;;Occitania;;;;;;;;;x,,,,,,,
d_toulouse_adj;Occitaniaian;Occitaniaien;Occitaniaier;;Occitaniaiano;;;;;;;;;x,,,,,,,
d_aquitaine;Limousin;Limousin;Limousin;;Limousin;;;;;;;;;x,,,,,,,
d_aquitaine_adj;Limousinian;Limousinien;Limousinier;;Limousiniano;;;;;;;;;x,,,,,,,
k_switzerland;Switzerland;Switzerland;Switzerland;;Switzerland;;;;;;;;;x,,,,,,,
k_switzerland_adj;Swiss;Swissien;Swissier;;Swissiano;;;;;;;;;x,,,,,,,
k_lichtenstein;Lichtenstein;Lichtenstein;Lichtenstein;;Lichtenstein;;;;;;;;;x,,,,,,,
k_lichtenstein_adj;Lichtensteinian;Lichtensteinien;Lichtensteinier;;Lichtensteiniano;;;;;;;;;x,,,,,,,
d_lichtenstein;Lichtenstein;Lichtenstein;Lichtenstein;;Lichtenstein;;;;;;;;;x,,,,,,,
d_lichtenstein_adj;Lichtensteinian;Lichtensteinien;Lichtensteinier;;Lichtensteiniano;;;;;;;;;x,,,,,,,
c_schwyz;Vaduz;Vaduz;Vaduz;;Vaduz;;;;;;;;;x,,,,,,,
c_schwyz_adj;Vaduzian;Vaduzien;Vaduzier;;Vaduziano;;;;;;;;;x,,,,,,,
d_loen;Leon;Leon;Leon;;Leon;;;;;;;;;x,,,,,,,
d_loen_adj;Leonian;Leonien;Leonier;;Leoniano;;;;;;;;;x,,,,,,,
d_arturias;Asturias;Asturias;Asturias;;Asturias;;;;;;;;;x,,,,,,,
d_arturias_adj;Asturiasian;Asturiasien;Asturiasier;;Asturiasiano;;;;;;;;;x,,,,,,,
d_extremadura;Extremadura;Extremadura;Extremadura;;Extremadura;;;;;;;;;x,,,,,,,
d_extremadura_adj;Extremaduraian;Extremaduraien;Extremaduraier;;Extremaduraiano;;;;;;;;;x,,,,,,,
d_mallorka;Mallorca;Mallorca;Mallorca;;Mallorca;;;;;;;;;x,,,,,,,
d_mallorka_adj;Mallorcan;Mallorcaien;Mallorcaier;;Mallorcaiano;;;;;;;;;x,,,,,,,
king_lichtensteiner;Great Prince;Great Prince;Great Prince;;Great Prince;;;;;;;;;x,,,,,,,
lichtensteiner;Lichtensteiner;Lichtensteiner;Lichtensteiner;;Lichtensteiner;;;;;;;;;x,,,,,,,
palmarian;Palmarian;Palmarian;Palmarian;;Palmarian;;;;;;;;;x,,,,,,,
lutheran;Lutheran;Lutheran;Lutheran;;Lutheran;;;;;;;;;x,,,,,,,
calvinist;Calvinist;Calvinist;Calvinist;;Calvinist;;;;;;;;;x,,,,,,,
novelist;Novelist;Novelist;Novelist;;Novelist;;;;;;;;;x,,,,,,,
GOD_ARSLAN;Aslan;Aslan;Aslan;;Aslan;;;;;;;;;x,,,,,,,
GOD_THE_VALAR;The Valar;The Valar;The Valar;;The Valar;;;;;;;;;x,,,,,,,
GOD_QUASIMODO;Quasimodo;Quasimodo;Quasimodo;;Quasimodo;;;;;;;;;x,,,,,,,
GOD_DARTAGNAN;D'Artagnan;D'Artagnan;D'Artagnan;;D'Artagnan;;;;;;;;;x,,,,,,,
GOD_SAURON;Sauron;Sauron;Sauron;;Sauron;;;;;;;;;x,,,,,,,
GOD_DRACULA;Dracula;Dracula;Dracula;;Dracula;;;;;;;;;x,,,,,,,
GOD_FRANKENSTEIN;Frankenstein;Frankenstein;Frankenstein;;Frankenstein;;;;;;;;;x,,,,,,,
GOD_JADIS_THE_WHITE_WITCH;Jadis, the White Witch;Jadis, the White Witch;Jadis, the White Witch;;Jadis, the White Witch;;;;;;;;;x,,,
GOD_FROLLO;Frollo;Frollo;Frollo;;Frollo;;;;;;;;;x,,,,,,,
GOD_RICHELIEU;Richelieu;Richelieu;Richelieu;;Richelieu;;;;;;;;;x,,,,,,,
THE_NOVEL;The Novel;The Novel;The Novel;;The Novel;;;;;;;;;x,,,,,,,
LIBRARIAN;Librarian;Librarian;Librarian;;Librarian;;;;;;;;;x,,,,,,,
GOD_ERU_ILUVATAR;Eru Iluvatar;Eru Iluvatar;Eru Iluvatar;;Eru Iluvatar;;;;;;;;;x,,,,,,,
GOD_ALFRED_NOBEL;Alfred Nobel;Alfred Nobel;Alfred Nobel;;Alfred Nobel;;;;;;;;;x,,,,,,,
GOD_THE_WINNERS;The Winners;The Winners;The Winners;;The Winners;;;;;;;;;x,,,,,,,
GOD_THE_GREAT_IGNORANCE;The Great Ignorance;The Great Ignorance;The Great Ignorance;;The Great Ignorance;;;;;;;;;x,,,,,,,
THE_WILL_OF_NOBEL;The Will of Nobel;The Will of Nobel;The Will of Nobel;;The Will of Nobel;;;;;;;;;x,,,,,,,
BOARD_MEMBER;Board Member;;Board Member;;Board Member;;;Board Member;;;;;;;;;x,,,,,,,
thelemic_reformed;Thelema;Thelema;Thelema;;Thelema;;;;;;;;;x,,,,,,,
GOD_THE_QUEEN;The Queen;The Queen;The Queen;;The Queen;;;;;;;;;x,,,,,,,
GOD_NUIT;Nuit;Nuit;Nuit;;Nuit;;;;;;;;;x,,,,,,,
GOD_HADIT;Hadit;Hadit;Hadit;;Hadit;;;;;;;;;x,,,,,,,
GOD_RA_HOOR_KHUIT;Ra-Hoor-Khuit;Ra-Hoor-Khuit;Ra-Hoor-Khuit;;Ra-Hoor-Khuit;;;;;;;;;x,,,,,,,
THE_BOOK_OF_THE_LAW;The Book of Law;The Book of Law;The Book of Law;;The Book of Law;;;;;;;;;x,,,,,,,
nobelian;Nobelian;Nobelian;Nobelian;;Nobelian;;;;;;;;;x,,,,,,,
nobelian_reformed;Reformed Nobelian;Reformed Nobelian;Reformed Nobelian;;Reformed Nobelian;;;;;;;;;x,,,,,,,
novelist_reformed;Reformed Novelist;Reformed Novelist;Reformed Novelist;;Reformed Novelist;;;;;;;;;x,,,,,,,
d_savoia;Savoia;Savoia;Savoia;;Savoia;;;;;;;;;x,,,,,,,
d_savoia_adj;Savoian;Savoian;Savoian;;Savoian;;;;;;;;;x,,,,,,,
d_dauphin;Dauphin;Dauphin;Dauphin;;Dauphin;;;;;;;;;x,,,,,,,
d_dauphin_adj;Dauphinian;Dauphinian;Dauphinian;;Dauphinian;;;;;;;;;x,,,,,,,
d_french_comte;French Comte;;French Comte;;French Comte;;;French Comte;;;;;;;;;x,,,,,,,
d_french_comte_adj;Comte French;Comte French;Comte French;;Comte French;;;;;;;;;x,,,,,,,
d_upper_switzerland;Upper Switzerland;Upper Switzerland;Upper Switzerland;;Upper Switzerland;;;;;;;;;x,,,,,,,
d_upper_switzerland_adj;Upper Swiss;Upper Swiss;Upper Swiss;;Upper Swiss;;;;;;;;;x,,,,,,,
THE_GREAT_NOVEL;The Great Novel;The Great Novel;The Great Novel;;The Great Novel;;;;;;;;;x,,,,,,,
e_benelux;Benelux;Benelux;Benelux;;Benelux;;;;;;;;;x,,,,,,,
e_benelux_adj;Beneluxian;Beneluxien;Beneluxier;;Beneluxiano;;;;;;;;;x,,,,,,,
k_holland;Holland;Holland;Holland;;Holland;;;;;;;;;x,,,,,,,
k_holland_adj;Dutch;Dutch;Dutch;;Dutch;;;;;;;;;x,,,,,,,
k_belgium;Belgium;Belgium;Belgium;;Belgium;;;;;;;;;x,,,,,,,
k_belgium_adj;Belgian;Belgian;Belgian;;Belgian;;;;;;;;;x,,,,,,,
k_luxemburg;Luxemburg;Luxemburg;Luxemburg;;Luxemburg;;;;;;;;;x,,,,,,,
k_luxemburg_adj;Luxemburgian;Luxemburgian;Luxemburgian;;Luxemburgian;;;;;;;;;x,,,,,,,
e_yugoslavia;Yugoslavia;Yugoslavia;Yugoslavia;;Yugoslavia;;;;;;;;;x,,,,,,,
e_yugoslavia_adj;Yugoslaviaian;Yugoslaviaien;Yugoslaviaier;;Yugoslaviaiano;;;;;;;;;x,,,,,,,
k_remove_kebab;Serbia;Serbia;Serbia;;Serbia;;;;;;;;;x,,,,,,,
k_remove_kebab_adj;Serbian;Serbiaien;Serbiaier;;Serbiaiano;;;;;;;;;x,,,,,,,
k_slovenia;Slovenia;Slovenia;Slovenia;;Slovenia;;;;;;;;;x,,,,,,,
k_slovenia_adj;Slovenian;Sloveniaien;Sloveniaier;;Sloveniaiano;;;;;;;;;x,,,,,,,
k_chorwatia;Croatia;Croatia;Croatia;;Croatia;;;;;;;;;x,,,,,,,
k_chorwatia_adj;Croatian;Croatiaien;Croatiaier;;Croatiaiano;;;;;;;;;x,,,,,,,
k_bosnai;Bosnia & Hertzegowina;Bosnia & Hertzegowina;Bosnia & Hertzegowina;;Bosnia & Hertzegowina;;;;;;;;;x,,,,,,,
k_bosnai_adj;Bosnian;Bosniaien;Bosniaier;;Bosniaiano;;;;;;;;;x,,,,,,,
d_provance;Provance;Provance;Provance;;Provance;;;;;;;;;x,,,,,,,
d_provance_adj;Provancian;Provanceien;Provanceier;;Provanceiano;;;;;;;;;x,,,,,,,
d_flander;Flanders;Flanders;Flanders;;Flanders;;;;;;;;;x,,,,,,,
d_flander_adj;Flandersian;Flandersien;Flandersier;;Flandersiano;;;;;;;;;x,,,,,,,
d_trabant;Traband;Traband;Traband;;Traband;;;;;;;;;x,,,,,,,
d_trabant_adj;Trabandian;Trabandien;Trabandier;;Trabandiano;;;;;;;;;x,,,,,,,
d_holand;Holland;Holland;Holland;;Holland;;;;;;;;;x,,,,,,,
d_holand_adj;Dutch;Dutchien;Dutchier;;Dutchiano;;;;;;;;;x,,,,,,,
d_gellre;Gelre;Gelre;Gelre;;Gelre;;;;;;;;;x,,,,,,,
d_gellre_adj;Gelreian;Gelreien;Gelreier;;Gelreiano;;;;;;;;;x,,,,,,,
d_new_luxemburg;New Luxemburg;New Luxemburg;New Luxemburg;;New Luxemburg;;;;;;;;;x,,,,,,,
d_new_luxemburg_adj;New Luxemburgian;New Luxemburgien;New Luxemburgier;;New Luxemburgiano;;;;;;;;;x,,,,,,,
d_luxemburg_proper;Luxemburg Proper;Luxemburg Proper;Luxemburg Proper;;Luxemburg Proper;;;;;;;;;x,,,,,,,
d_luxemburg_proper_adj;Luxemburgian;Luxemburgien;Luxemburgier;;Luxemburgiano;;;;;;;;;x,,,,,,,
k_rhineland;Rhineland;Rhineland;Rhineland;;Rhineland;;;;;;;;;x,,,,,,,
k_rhineland_adj;Rhinelandian;Rhinelandien;Rhinelandier;;Rhinelandiano;;;;;;;;;x,,,,,,,
k_bavarja;Bavaria;Bavaria;Bavaria;;Bavaria;;;;;;;;;x,,,,,,,
k_bavarja_adj;Bavarian;Bavariaien;Bavariaier;;Bavariaiano;;;;;;;;;x,,,,,,,
k_prussia;Prussia;Prussia;Prussia;;Prussia;;;;;;;;;x,,,,,,,
k_prussia_adj;Prussian;Prussiaien;Prussiaier;;Prussiaiano;;;;;;;;;x,,,,,,,
k_bohemia;Czechia;Czechia;Czechia;;Czechia;;;;;;;;;x,,,,,,,
k_bohemia_adj;Czech;Czechiaien;Czechiaier;;Czechiaiano;;;;;;;;;x,,,,,,,
e_ottoman;Ottoman;Ottoman;Ottoman;;Ottoman;;;;;;;;;x,,,,,,,
