ussr_title;General Secretary;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
ussr_title_female;General Secretary;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
wonder_cathedral_sagrada_familia;Sagrada Familia;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
wonder_cathedral_sagrada_familia_desc;It's origin long lost to history, this antediluvian Cathedral has, for many centuries, been a magnificent home for Christian prayers.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
wonder_synagogue_third_temple;Third Temple of Israel;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
wonder_synagogue_third_temple_desc;Third Temple of Israel;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
wonder_mosque_hagia_sophia;Hagia Sophia;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
wonder_mosque_hagia_sophia_desc;This Ancient Mosque, in fact begun it's existence as a Cathderal many centuries ago, but it now has been turned into a Mosque.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
tooltip_feminist_liege_ATE_OW_religion:Liege follows a feminist religion;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
ussr_foa;General Secretary;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
ussr_prefix;Socialist Union of;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
serbian_FEATURES;§Y*§! Unless this character follows the §YYugoslavist§! Religion, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x,,,,,,,,,,,,,,,,,,
croatian_FEATURES;§Y*§! Unless this character follows the §YYugoslavist§! Religion, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x,,,,,,,,,,,,,,,,,,
bosnian_FEATURES;§Y*§! Unless this character follows the §YYugoslavist§! Religion, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x,,,,,,,,,,,,,,,,,,
slovenian_FEATURES;§Y*§! Unless this character follows the §YYugoslavist§! Religion, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x,,,,,,,,,,,,,,,,,,
yugo_unrest_mild;Mild Religious Unrest;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
yugo_unrest_mod;Religious Unrest;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
yugo_unrest_severe;Severe Religious Unrest;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAMEYUGO1;Crisis of Authority;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
