EVTTITLE_ATEOW_realm_event_99999;Zapadoslavia;;;;;;;;;x,,,,,,,,
EVTDESC_ATEOW_realm_event_99999;Legends say that at one time all Slavs where united as brothers, but the great disaster that befell our world tore us apart. Yugoslavia showed that hope of reunification was not lost, and like the Southern Slavs it was only a matter of time until the Western Slavs would find common ground and reunite.\n\nIt was [e_zapadoslavia.Holder.GetFirstNameWithNick] who finally brought the Western Slavs together under the banner of Zapadoslavia. Throughout the new realm, Poles, Czechs and Slovaks celebrate this momentous occasion.;;;;;;;;;x,,,,
EVTOPTA_ATEOW_realm_event_99999;Together we will stand as brothers.;;;;;;;;;x,,,,,,,,
EVTTITLE_ATEOW_realm_event_99998;Rise of the British Raj;;;;;;;;;x,,,,,,,,
EVTDESC_ATEOW_realm_event_99998;Legend tells that, in the distant past, all of India was conquered by the Queen, who personally slew the Hindoo deity Rama when he tried to stop Her. [e_british_india.Holder.GetTitledName] has re-established British rule over India, having seized control of the cities listed in the ancient records as the centers of the subcontinent. A lavish coronation has been organised, and while the British Raj may not yet extend over the whole of India, the foundations for its conquest have been laid.;;;;;;;;;x,,
EVTOPTA_ATEOW_realm_event_99998;The Queen is better able to rule us than our own 'leaders'.;;;;;;;;;x,,,,,,,,
EVTOPTB_ATEOW_realm_event_99998;Rule Britannia!;;;;;;;;;x,,,,,,,,
EVTOPTC_ATEOW_realm_event_99998;Dharma is all silent - this is a disastrous day.;;;;;;;;;x,,,,,,,,
EVTOPTD_ATEOW_realm_event_99998;The perfidious Angleterre grows more powerful!;;;;;;;;;x,,,,,,,,
EVTOPTE_ATEOW_realm_event_99998;Bloodthirsty pagans! I pity the Hindoos.;;;;;;;;;x,,,,,,,,
EVTOPTF_ATEOW_realm_event_99998;And the weather?;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTTITLE_ATEOW_realm_event.99996;Great Russia Restored!;;;;;;;;;x,,,,,,,,
EVTDESC_ATEOW_realm_event.99996;Once, Great Russia, home of chosen people of the Holy Spirit, was the Queen of the Nations, paramount among princes. Under the blessings of Heaven, she bloomed and reigned over the world. But the people grew proud, and Great Russia was shattered. But now, that era has come to an end. [e_great_russia.Holder.GetFirstNameWithNick] has united the warring princes of Russia, becoming recognised by all as the One and Only Holy Tzar. This marks the beginning of a Great New Era for Russia!;;;;;;;;;x,,,,,,,,
EVTOPTA_ATEOW_realm_event.99996;The world will fear Russia again.;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTTITLE_ATEOW_realm_event.99995;CCCP Restored!;;;;;;;;;x,,,,,,,,
