String_ArtifactSearch1;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim];;;;;;;;;;x
String_ArtifactSearch2;[relic_hunter.GetTitledFirstName] has returned, carrying with [relic_hunter.GetHerHim];;;;;;;;;;x
String_ArtifactSearch3;Having returned from [relic_hunter.GetHerHis] long travels, [relic_hunter.GetTitledFirstName] comes up to you and pulls out;;;;;;;;;;x
String_ArtifactSearch4;Upon [relic_hunter.GetHerHis] return, [relic_hunter.GetTitledFirstName] hands me;;;;;;;;;;x
String_ArtifactSearch5;[relic_hunter.GetJobTitle] [relic_hunter.GetFirstName] has finally returned from [relic_hunter.GetHerHis] travels, and has brought with [relic_hunter.GetHerHim];;;;;;;;;;x
String_ArtifactSearch6;[relic_hunter.GetTitledFirstName] has returned and brought with [relic_hunter.GetHerHim];;;;;;;;;;x
EVTNAME_ART_1000;The Weapon of the Ancients;;;;;;;;;;x
EVTNAME_ART_1008;Upon An Iron Horse;;;;;;;;;;x
EVTNAME_ART_1009;Upon An Iron Horse;;;;;;;;;;x
EVTNAME_ART_1010;The Sword of Stalin;;;;;;;;;;x
EVTDESC_ART_1000;[relic_hunter.GetTitledFirstName] returns from [relic_hunter.GetHerHis] search, followed by two men who carry a heavy iron box, which they place on the floor before you. Bowing, your [relic_hunter.GetJobTitle] proclaims: 'My search is concluded. I have brought home with me a terrifying weapon, an ancient firearm.';;;;;;;;;;x
EVTDESC_ART_1001;[GetArtifactSearchBegining] a strange metal object. [relic_hunter.GetSheHeCap] has proof that it used to be a working device, which once was able to do calculations of hours in just a few seconds!;;;;;;;;;;x
EVTDESC_ART_1002;[GetArtifactSearchBegining] an unusual object with numbers on it. [relic_hunter.GetSheHeCap] has proof that it used to be a working device, which once was able to tell the time to its owner in some mysterious ways!;;;;;;;;;;x
EVTDESC_ART_1003;[GetArtifactSearchBegining] a heavy metal object. [relic_hunter.GetSheHeCap] has proof that it used to be a working device, which once was able to write perfect letters at incredible speed!;;;;;;;;;;x
EVTDESC_ART_1004;[GetArtifactSearchBegining] a long steel object. [relic_hunter.GetSheHeCap] explains that it was made before the event and it can help its owner to see faraway places!;;;;;;;;;;x
EVTDESC_ART_1005;[GetArtifactSearchBegining] some musty books. [relic_hunter.GetSheHeCap] has proof that every person used to learn from books like these in the Old World!;;;;;;;;;;x
EVTDESC_ART_1006;[GetArtifactSearchBegining] something looking like a compass, just much smaller. [relic_hunter.GetSheHeCap] explains it is truely a compass, a compass remaining from the Old World!;;;;;;;;;;x
EVTDESC_ART_1007;[GetArtifactSearchBegining] a small iron box and a rusty coin inside it. [relic_hunter.GetSheHeCap] has proof that it once was the currency of the legendary empire, the European Union! Perhaps it might bestow upon me some of the prosperity it once brought?;;;;;;;;;;x
EVTDESC_ART_1008;[relic_hunter.GetTitledFirstName] returns from [relic_hunter.GetHerHis] search, calling you to your courtyard, where an imposing, richly detailed black and golden chariot stands proudly. Bowing, your [relic_hunter.GetJobTitle] proclaims: 'My search is concluded. I have brought home with me a chariot of the ancients, an iron steed of a great king.';;;;;;;;;;x
EVTDESC_ART_1009;[relic_hunter.GetTitledFirstName] returns from [relic_hunter.GetHerHis] search, calling you to your courtyard, where an enormous, four-wheeled iron chariot stands proudly. Bowing, your [relic_hunter.GetJobTitle] proclaims: 'My search is concluded. I have brought home with me a chariot of the ancients, an iron steed of a fearsome conqueror.';;;;;;;;;;x
EVTDESC_ART_1010;[relic_hunter.GetTitledFirstName] returns from [relic_hunter.GetHerHis] search, followed by two men who carry a heavy iron box, which they place on the floor before you. Bowing, your [relic_hunter.GetJobTitle] proclaims: 'My search is concluded. I have brought home with me a terrifying weapon, the sword of Stalin himself.';;;;;;;;;;x
EVTDESC_ART_1011;[GetArtifactSearchBegining] a strange skull. [relic_hunter.GetSheHeCap] explains that this is a skull of an unknown ancient creature.;;;;;;;;;;;;x
EVTDESC_ART_1012;[GetArtifactSearchBegining] an astonishing weapon. [relic_hunter.GetSheHeCap] proclaims it's the legendary Axe of Devendra.;;;;;;;;;;;;x
EVTDESC_ART_1013;[GetArtifactSearchBegining] an astonishing weapon. [relic_hunter.GetSheHeCap] proclaims it's the legendary Vajrayudha.;;;;;;;;;;;;x
EVTDESC_ART_1014;[GetArtifactSearchBegining] an astonishing weapon. [relic_hunter.GetSheHeCap] proclaims it's the legendary Varunastra.;;;;;;;;;;;;x
EVTDESC_ART_1015;[GetArtifactSearchBegining] an astonishing weapon. [relic_hunter.GetSheHeCap] proclaims it's the legendary Agneyastra.;;;;;;;;;;;;x
EVTDESC_ART_1016;[GetArtifactSearchBegining] an astonishing weapon. [relic_hunter.GetSheHeCap] proclaims it's the legendary Suryastra.;;;;;;;;;;;;x
EVTDESC_ART_1017;[GetArtifactSearchBegining] an astonishing weapon. [relic_hunter.GetSheHeCap] proclaims it's the legendary Ghaznivinashakastra.;;;;;;;;;;;;x
EVTDESC_ART_1018;[GetArtifactSearchBegining] an astonishing weapon. [relic_hunter.GetSheHeCap] proclaims it's the legendary Sword of Attila, the one which he punished the Romans countless times.;;;;;;;;;;;;x
EVTNAME_ART_1013;Vajrayudha;;;;;;;;;;;;x
EVTNAME_ART_1014;Varunastra;;;;;;;;;;;;x
EVTNAME_ART_1015;Agneyastra;;;;;;;;;;;;x
EVTNAME_ART_1016;Suryastra;;;;;;;;;;;;x
EVTNAME_ART_1017;Ghaznivinashakastra;;;;;;;;;;;;x
EVTNAME_ART_1018;Sword of Attila;;;;;;;;;;;;x
EVTDESC_ART_1793;[relic_hunter.GetTitledFirstName] returns from [relic_hunter.GetHerHis] search, followed by holding a small, sealed iron box in his hands, shaking ever so slightly. Bowing, your [relic_hunter.GetJobTitle] proclaims: 'My search is concluded. I have brought home with me the Heart of Marat.';;;;;;;;;;x

old_world_glass;Old World Glass;;;;;;;;;;;;;x
old_world_glass_desc;Glassware from the ancient world, finer than anything modern glassblowers can produce.;;;;;;;;;;;;;x
old_world_jewelry;Old World Jewelery;;;;;;;;;;;;;x
old_world_jewelry_desc;Jewelery from the ancient world, more intricate than anything modern artisans can produce.;;;;;;;;;;;;;x
old_world_money;Old World Money;;;;;;;;;;;;;x
old_world_money_desc;Icons of the Almighty Dollar.;;;;;;;;;;;;;x
old_world_musicbox;Old World Music Box;;;;;;;;;;;;;x
old_world_musicbox_desc;An ancient, shiny device that contains the melodies of the Old World.;;;;;;;;;;;;;x
old_world_engine;Old World Machinery;;;;;;;;;;;;;x
old_world_engine_desc;A fabulously preserved piece of Old World machinery, constructed of a miraculous metal and blessed so that it shall never rust.;;;;;;;;;;;;;x
sword_michael;The Sword of Michael;;;;;;;;;;;;;x
sword_michael_desc;Left behind by Archangel Michael after the Great Tribulation, this golden sword is said to have originated in God's armory. It would be blasphemy of the highest order to shed human blood with it, but as a ceremonial relic it proves divine right to rule.;;;;;;;;;;;;;x
horn_gabriel;The Horn of Gabriel;;;;;;;;;;;;;x
horn_gabriel_desc;The gleaming horn of the Archangel Gabriel, sounded to devastating effect at the onset of the Great Tribulation and left behind on Earth in preparation for the final doom that must eventually follow.;;;;;;;;;;;;;x
right_hand_petrus;Right Hand of Petrus Romanus;;;;;;;;;;;;;x
right_hand_petrus_desc;The mummified hand of Petrus Romanus, grasping the gavel of the dreadful judge. Although Petrus Romanus was destroyed when he placed his hand upon the gavel, humanity was spared and the final judgment postponed.;;;;;;;;;;;;;x
papal_tiara;Papal Tiara;;;;;;;;;;;;;x
papal_tiara_desc;This elaborate, jewel-encrusted crown was used by the antediluvian Catholic Church in their coronation ceremonies. It was rumored that a papal tiara was sent to Washington for safekeeping before the Deluge. These rumors have been confirmed.;;;;;;;;;;;;;x
ancient_rosary;Ancient Rosary;;;;;;;;;;;;;x
ancient_rosary_desc;This row of beads is used by devotees of the Virgin Mary to ensure that prayers are said in the proper order. This particular chain of beads is several centuries old.;;;;;;;;;;;;;x
excalibur;Excalibur;;;;;;;;;;;;;x
excalibur_desc;This legendary sword was wielded by the great King Arthur himself during his campaigns in Britain and beyond. It was once thought lost to time, but it has once again found a worthy bearer.;;;;;;;;;;;;;x
silver_key;Silver Key;;;;;;;;;;;;;x
silver_key_desc;A simple silver key.\nIt MUST NEVER be used.;;;;;;;;;;;;;x
black_slab;The Black Slab;;;;;;;;;;;;x
black_slab_desc;A black granite tablet engraved with a timeless warning:\n"Do not call up that which you cannot put down.";;;;;;;;;;;;x
golden_menorah;Golden Menorah;;;;;;;;;;;;;x
golden_menorah_desc;A large seven-branched menorah made of solid gold. It closely matches surviving descriptions of the menorah that once resided in the Holy Temple.;;;;;;;;;;;;;x
jewish_banner;Jewish Banner;;;;;;;;;;;;;x
jewish_banner_desc;A white banner, adorned with a blue Star of David and flanked by two blue stripes. Although simple in design, it is nevertheless capable of inspiring Jewish warriors to fight bravely on the field of battle.;;;;;;;;;;;;;x
ancient_torah;Ancient Sefer Torah;;;;;;;;;;;;;x
ancient_torah_desc;This handwritten Torah scroll, containing all 304,805 letters of the Hebrew Torah, was copied onto parchment long before the Event occurred. Pre-Event Sifrei Torah are highly sought after by Jewish religious and historical scholars alike.;;;;;;;;;;;;;x
ate_fingerbone_of_rabbi;Finger of a Rabbi;;;;;;;;;;;;;x
ate_fingerbone_of_rabbi_desc;This little bone is said to have come from an incredibly wise and knowledgeable rabbi.;;;;;;;;;;;;;x
tone_of_golgotha;Stone of Golgotha;;;;;;;;;;;;;x
stone_of_golgotha_desc;This ordinary-looking piece of limestone is said to be the very stone upon which the Holy Cross was raised during Jesus's execution.;;;;;;;;;x
armalite;Arm of Light;;;;;;;;;;;;;x
armalite_desc;The sword originally wielded by an ancient yet unknown Pre-Event Irish hero, the Arm of Light has been used to slay numerous servants of the demonic Queen of Britannia. It has since become a symbol of Irish independence and the eternal struggle against the perfidious Anglo.;;;;;;;;;;;;;x
heart_of_bathman;Heart of the Revolution;;;;;;;;;;;;;x
heart_of_bathman_desc;Marat was the sole begotten son of Madame Guilottine and an alchemist, who lived on Earth centuries before the Event. However, his flesh was dying from the moment he was born, for his mortal, human body could not contain his divine essence. His heart is the only part that remained of him on Earth, after he shed his human form and ascended to Godhood, joining his mother. Some believe that it was Him, not Madame herself that guided the Great Prophet Robespierre.;;;;;;;;;;;;;x
antikythera;Broken Mechanism;;;;;;;;;;;;;x
antikythera_desc;This ancient wooden box houses a large amount of metal and glass fragments of various shapes and sizes. While it supposedly was once an astrological device, it can now only really serve as a fancy paperweight.;;;;;;;;;;;;;x
repaired_antikythera;Clockwork Astronomical Calendar;;;;;;;;;;;;;x
repaired_antikythera_desc;This rather complex mechanism is composed of dozens of gears housed in a sturdy metal box. It can be used to predict astronomical positions and eclipses for calendar and astrological purposes.;;;;;;;;;;;;;x
sword_of_zanzibar;Bladbraekyr;;;;;;;;;;;;;x
sword_of_zanzibar_desc;The Legendary Bladbraekyr has many names, known to the Al-Said family as Shamshir Al-Zinjibar. This Sword and Dagger mate date long before the event, and the materials of its creation is to thank for the longevity. Peerlessly crafted Damascus steel blades affixed to ivory pommels with a powerful and durable golden metal crossguard. The storied history of this sword earned its most well known name in the battle against the Paladins of Charlemange, the ancient knight Esclabor met Roland in single combat, there, the blade shattered Durandal and left Roland mangled and laid low by the might of the newly named Bladbraekyr.;;;;;;;;;;;;;x
ancient_m16;Relic Handgon;;;;;;;;;;;;;x
ancient_m16_desc;An ancient handgon from before the event, whole hosts of men did battle with these as their primary weapon, and with them they conquered every part of the known world.;;;;;;;;;;;;;x
ancient_1911;Officer's Handgon;;;;;;;;;;;;;x
