secret_religious_society_vajrayana;[GetReligiousCommunityName_vajrayana];[GetReligiousCommunityName_vajrayana];[GetReligiousCommunityName_vajrayana];;[GetReligiousCommunityName_vajrayana];;;;;;;;;x
secret_religious_society_vajrayana_desc;[GetReligiousSocietyDesc_vajrayana];[GetReligiousSocietyDesc_vajrayana];[GetReligiousSocietyDesc_vajrayana];;[GetReligiousSocietyDesc_vajrayana];;;;;;;;;x
secret_religious_society_vajrayana_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_vajrayana_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_vajrayana;The [vajrayana.GetName] Faithful;Fidèles [vajrayana.GetName]s;Die [vajrayana.GetName]en Gläubigen;;Creyentes [vajrayana.GetName]s;;;;;;;;;x
secretly_convert_to_vajrayana_holy_site;Secretly Convert to [vajrayana.GetName];Adopter en secret la foi [vajrayana.GetName];Heimlich zum [vajrayana.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [vajrayana.GetName];;;;;;;;;x
secretly_convert_to_vajrayana_holy_site_desc;The §Y[vajrayana.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Y[vajrayana.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[vajrayana.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[vajrayana.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_budaism;[GetReligiousCommunityName_budaism];[GetReligiousCommunityName_budaism];[GetReligiousCommunityName_budaism];;[GetReligiousCommunityName_budaism];;;;;;;;;x
secret_religious_society_budaism_desc;[GetReligiousSocietyDesc_budaism];[GetReligiousSocietyDesc_budaism];[GetReligiousSocietyDesc_budaism];;[GetReligiousSocietyDesc_budaism];;;;;;;;;x
secret_religious_society_budaism_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_budaism_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_budaism;The [budaism.GetName] Faithful;Fidèles [budaism.GetName]s;Die [budaism.GetName]en Gläubigen;;Creyentes [budaism.GetName]s;;;;;;;;;x
secretly_convert_to_budaism_holy_site;Secretly Convert to [budaism.GetName];Adopter en secret la foi [budaism.GetName];Heimlich zum [budaism.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [budaism.GetName];;;;;;;;;x
secretly_convert_to_budaism_holy_site_desc;The §Y[budaism.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Y[budaism.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[budaism.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[budaism.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_theravada;[GetReligiousCommunityName_theravada];[GetReligiousCommunityName_theravada];[GetReligiousCommunityName_theravada];;[GetReligiousCommunityName_theravada];;;;;;;;;x
secret_religious_society_theravada_desc;[GetReligiousSocietyDesc_theravada];[GetReligiousSocietyDesc_theravada];[GetReligiousSocietyDesc_theravada];;[GetReligiousSocietyDesc_theravada];;;;;;;;;x
secret_religious_society_theravada_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_theravada_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_theravada;The [theravada.GetName] Faithful;Fidèles [theravada.GetName]s;Die [theravada.GetName]en Gläubigen;;Creyentes [theravada.GetName]s;;;;;;;;;x
secretly_convert_to_theravada_holy_site;Secretly Convert to [theravada.GetName];Adopter en secret la foi [theravada.GetName];Heimlich zum [theravada.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [theravada.GetName];;;;;;;;;x
secretly_convert_to_theravada_holy_site_desc;The §Y[theravada.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Y[theravada.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[theravada.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[theravada.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_thaislam;[GetReligiousCommunityName_thaislam];[GetReligiousCommunityName_thaislam];[GetReligiousCommunityName_thaislam];;[GetReligiousCommunityName_thaislam];;;;;;;;;x
secret_religious_society_thaislam_desc;[GetReligiousSocietyDesc_thaislam];[GetReligiousSocietyDesc_thaislam];[GetReligiousSocietyDesc_thaislam];;[GetReligiousSocietyDesc_thaislam];;;;;;;;;x
secret_religious_society_thaislam_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_thaislam_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_thaislam;The [thaislam.GetName] Faithful;Fidèles [thaislam.GetName]s;Die [thaislam.GetName]en Gläubigen;;Creyentes [thaislam.GetName]s;;;;;;;;;x
secretly_convert_to_thaislam_holy_site;Secretly Convert to [thaislam.GetName];Adopter en secret la foi [thaislam.GetName];Heimlich zum [thaislam.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [thaislam.GetName];;;;;;;;;x
secretly_convert_to_thaislam_holy_site_desc;The §Y[thaislam.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Y[thaislam.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[thaislam.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[thaislam.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_gelugpa;[GetReligiousCommunityName_gelugpa];[GetReligiousCommunityName_gelugpa];[GetReligiousCommunityName_gelugpa];;[GetReligiousCommunityName_gelugpa];;;;;;;;;x
secret_religious_society_gelugpa_desc;[GetReligiousSocietyDesc_gelugpa];[GetReligiousSocietyDesc_gelugpa];[GetReligiousSocietyDesc_gelugpa];;[GetReligiousSocietyDesc_gelugpa];;;;;;;;;x
secret_religious_society_gelugpa_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_gelugpa_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_gelugpa;The [gelugpa.GetName] Faithful;Fidèles [gelugpa.GetName]s;Die [gelugpa.GetName]en Gläubigen;;Creyentes [gelugpa.GetName]s;;;;;;;;;x
secretly_convert_to_gelugpa_holy_site;Secretly Convert to [gelugpa.GetName];Adopter en secret la foi [gelugpa.GetName];Heimlich zum [gelugpa.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [gelugpa.GetName];;;;;;;;;x
