secret_religious_society_REAL_sunni;The Islamic Brotherhood;;;;;;;;;;;;;x
secret_religious_society_sunni_desc_REAL;The Sunnis secretly follow the teachings of the Quran, believed to have been verbally recited to Muhammed by God. They will proclaim that Muhammed is chosen by God, as prophet and the first Imam.;;;;;;;;;;;;;x

secret_religious_society_REAL_wahhabi;The Salafi Preachers;;;;;;;;;;;;;x
secret_religious_society_wahhabi_desc_REAL;The followers of the teachings of pre-event theologian Abd al-Wahhab are an organization that promises to expand the teachings of the Salafi/Wahhabi school of Islam to the world, proving it to be the correct way of practice.;;;;;;;;;;;;;x

secret_religious_society_REAL_malikite;The Atlas Loyals;;;;;;;;;;;;;x
secret_religious_society_malikite_desc_REAL;The Malakite faith believes that only those of house Alouite can claim the Caliphate over all of Islam. Its most loyal followers promise to preach their faith to the corners of the world.;;;;;;;;;;;;;x

secret_religious_society_REAL_sufi;The Secret Tariqa;;;;;;;;;;;;;x
secret_religious_society_sufi_desc_REAL;Amongst the schools of Sufism, the Secret Tariqa is devoted to preach the teachings of Sufism mysticism to all other religions followers, ensuring that the faith of Islam shall be triumphant.;;;;;;;;;;;;;x

secret_religious_society_REAL_ibadi;The Ibadi Faithful;;;;;;;;;;;;;x
secret_religious_society_ibadi_desc_REAL;The Ibadi faith is said to predate both the Sunni and Shia schools of Islam. There are several doctrinal differences between these later branches and the orthodox Ibadi. For examples, the Ibadi do not believe there has to be one leader for all of the Muslim communities. However, their fervent faith in Allah is the same.;;;;;;;;;;;;;x

secret_religious_society_REAL_shiite;The Party of Ali;;;;;;;;;;;;;x
secret_religious_society_shiite_desc_REAL;The Shiites secretly follow the teachings of the Quran, believed to have been verbally recited to Muhammed by God. They will proclaim that Muhammed is chosen by God, as prophet and the first Imam. They spread their belief that God, through Muhammed, chose Ali as his successor, and thus the first caliph of the state of Islam. They will stand by what they believe to be the true word of god.;;;;;;;;;;;;;x

secret_religious_society_REAL_druze;The Wise Ones;;;;;;;;;;;;;x
secret_religious_society_druze_desc_REAL;The Druze follow the teachings of the Epistles of Wisdom, which includes the Old Testament, the Qur'an and the philosophical works by Plato. The faithful believe that God is the whole of existence, unlimited and omnipresent. To unite with the Cosmic Mind and reach ultimate happiness, a Druze must live through many successive reincarnations.;;;;;;;;;;;;;x

secret_religious_society_REAL_bahai;The Hands of the Cause;;;;;;;;;;;;;x
secret_religious_society_bahai_desc_REAL;The Hands of the Cause were refounded after the Event to spread the teachings of their great founder. This secretive society focuses on the spread of the faith by conversion of people from different faiths throughout the world.;;;;;;;;;;;;;x

secret_religious_society_REAL_ahmadiyya;The Silent Council;;;;;;;;;;;;;x
secret_religious_society_ahmadiyya_desc_REAL;The Ahmadiyya faith has been for centuries in a difficult position, reduced apparently to only India. The more zealous followers have founded therefore the Silent Council, a secret society dedicated to spread their teachings to all.;;;;;;;;;;;;;x

secret_religious_society_REAL_mesopotamian;The Students of Hammurabi;;;;;;;;;;;;;x
secret_religious_society_mesopotamian_desc_REAL;The Students are the society dedicated to pass down the wisdom of Mesopotamianism to all non-believers and convert them to the rightful faith. As Hammurabi brought the law of Allah to Mesopotamia, so will the Students of this great king pass it to all others.;;;;;;;;;;;;;x

secret_religious_society_REAL_islamity;The Followers of the Crossed Moons;;;;;;;;;;;;;x
secret_religious_society_islamity_desc_REAL;The faith of the Empire of Nigeria is often seen as less missionary focused then others. However, the Followers are different, spreading the beliefs of Chrislam to faraway lands.;;;;;;;;;;;;;x

secret_religious_society_REAL_muwahidunna;The Visionaries;;;;;;;;;;;;;x
secret_religious_society_muwahidunna_desc_REAL;The most zealous followers of Is'mail the Visionary believe the faith has to be spread to ensure unity in the divided faiths. Taking the name of Visionaries to emulate the last ruler of the Sahara, they travel far and wide to make anyone aware of the truth of Muwahidunna.;;;;;;;;;;;;;x

secret_religious_society_REAL_ismaili;The Pure Brotherhood;;;;;;;;;;;;;x
secret_religious_society_ismaili_desc_REAL;From the very earliest days, the Ismaili faithful have been persecuted by those who did not understand. In those ancient days, the followers of God turned to secrecy to hide themselves from the eyes of the unbelievers. They will persevere again, until the whole world knows the glory of God.;;;;;;;;;;;;;x

secret_religious_society_REAL_apostolic;União do Cristo Redentor;;;;;;;;;;;;;x
secret_religious_society_apostolic_desc_REAL;Split from the Roman Catholic Church, the Igreja Apostolica has found itself as the most prominent faith in the lands of Brazil, and now seek to expand outwards, forming organizations such as the Union of Christ the Redeemer.;;;;;;;;;;;;;x

#########

secret_religious_society_REAL_ironist;The Signs on the Way;;;;;;;;;;;;;x
secret_religious_society_ironist_desc_REAL;As followers of the Way of Steel, the Ironists believe their objective to spread the faith both by conquest and by kindness. The Signs, taking the name of the objects that once guided the metal chariots of the Pre-Event world, plan to preach to all the greatness of Steel.;;;;;;;;;;;;;x

secret_religious_society_REAL_zarist;The Imperial Duma;;;;;;;;;;;;;x
secret_religious_society_zarist_desc_REAL;The ancient Imperial Duma was an organ meant to help the Tzar in his great duties. However, it was destroyed and fell, disappearing from the annals of history. Reborn after the Event, the Imperial Duma is now an order dedicated once more at spreading the glory of the Holy Tzars.;;;;;;;;;;;;;x

secret_religious_society_REAL_katerinist;The Empress' Court;;;;;;;;;;;;;x
secret_religious_society_katerinist_desc_REAL;The faith in the Great Tzarina Catherine is a minority compared to the faith of Zarism. Yet, the faithful in those lands survive underground, following the great teachings of the Tzarina and proselitizing to all the others.;;;;;;;;;;;;;x

secret_religious_society_REAL_petrist;The Great Ambassadors;;;;;;;;;;;;;x
secret_religious_society_petrist_desc_REAL;The faith in Tzar Peter the Great is a minority compared to the faith of Zarism, who places him as only one of the greatest instead of the sole one. The faithful survive in those lands, following the great teachings of the Tzar and proselitizing to all the others.;;;;;;;;;;;;;x

secret_religious_society_REAL_stalinist;People's Commisariat for External Affairs;;;;;;;;;;;;;x
secret_religious_society_stalinist_desc_REAL;Persecuted by both Zarists and other faiths, Stalinism still stands proudly against all enemies. However, some of it's followers believe it is better to ensure the expansion of Stalinism through hidden means, converting all followers. It is the People's Commisariat that ensures such expansion.;;;;;;;;;;;;;x

secret_religious_society_REAL_trotskyite;The Grand International;;;;;;;;;;;;;x
secret_religious_society_trotskyite_desc_REAL;The Trotskyite faith believes in perpetual war against all non believers until they either convert or fall. For this, the Grand International ensures the Trotskyite faith to expand underground, ensuring it's survival even as it's enemies plot to destroy it.;;;;;;;;;;;;;x

secret_religious_society_REAL_titoist;The Unaligned;;;;;;;;;;;;;x
secret_religious_society_titoist_desc_REAL;Titoists are a fringe movement among the Stalinists. Believers in the greatness of Lord Tito, they claim Stalin to be only a false idol. The Unaligned swear to spread this faith until it becomes the dominant one in the world, for the glory of the godly ruler of ancient Yugoslavia.;;;;;;;;;;;;;x

secret_religious_society_REAL_jacobinist;The Enlightened;;;;;;;;;;;;;x
secret_religious_society_jacobinist_desc_REAL;The followers of Madame Guillotine are many in the academies and circles of knowledge of the known world. With the Revolution imminent, it is only natural that The Enlightened are more active than ever.;;;;;;;;;;;;;x

secret_religious_society_REAL_vagarna;The Keepers of Faith;;;;;;;;;;;;;x
secret_religious_society_vagarna_desc_REAL;Split from the Liturgicals after the Event, the Vagarna faithful follow the "true" spirit of Protestantism, Folkish faith and personal connection to God through an almost total decentralization of spiritual authority.;;;;;;;;;;;;;x

secret_religious_society_REAL_gnostic;Coven of the Serpent;;;;;;;;;;;;;x
secret_religious_society_gnostic_desc_REAL;Named after the form Satanael took to disguise himself, the Einblickers seek to undermine and ultimately destroy the Papacy in Rome, viewing it as a servant of Yaldabaoth, the false evil God. They were originally a faction within the Vagarna that split off relatively recently and embraced Gnostic beliefs, making themselves infidels in the eyes of the Liturgicals and the Vagarna alike.;;;;;;;;;;;;;x

secret_religious_society_REAL_khanist;The Hidden Riders;;;;;;;;;;;;;x
secret_religious_society_khanist_desc_REAL;As the Wrath of the Khan fights openly to ensure the growth of the Khan's glory, it is the Hidden Riders that secretly travel from land to land to convince more people of the glory of the Great Khan.;;;;;;;;;;;;;x

secret_religious_society_REAL_maoist;The Eternal Kindlers;;;;;;;;;;;;;x
secret_religious_society_maoist_desc_REAL;The Eternal Flame of the revolution started by the Chairman still burns in the east. However, to spread it needs more people to feel it's power. The Eternal Kindlers believe this to be their objective, to spread the flame by igniting the spirits of the non believers.;;;;;;;;;;;;;x

########

secret_religious_society_REAL_theravada;The Eightfold Path;;;;;;;;;;;;;x
secret_religious_society_theravada_desc_REAL;Those who secretly follow the teachings of Buddha focus on asceticism and distancing themselves of worldly possessions as much as they can without notice. A belief in rebirth into the wheel of life and death makes them distance themselves of all cravings, which bring only pain. There are those who would rather plant a good karmic seed through rebirth than renounce these teachings, as an open profession of faith is not always needed to grow closer to Nirvana.;;;;;;;;;;;;;x

secret_religious_society_REAL_vajrayana;The Keepers of the Vajra;;;;;;;;;;;;;x
secret_religious_society_vajrayana_desc_REAL;The Keepers are traveling monks of the Vajrayana faith. Originally travelers from village to village in the plains of Mongolia, they have since expended, walking the ancient paths left by the men before the Event to bring the teachings of Vajrayana into the world.;;;;;;;;;;;;;x

secret_religious_society_REAL_thaislam;The Travelers;;;;;;;;;;;;;x
secret_religious_society_thaislam_desc_REAL;The Travelers are a secret society focused on bringing the teachings of Siyamopali Buddhism to the soon to be colonized lands. Those warrior monks from far off Siam are strong enough to defend themselves from the many hostile threat they face, and their knowledge is such that many of the western people they have met have adered secretly to their faith, spreading it further.;;;;;;;;;;;;;x

secret_religious_society_REAL_gelugpa;The Masters of the Three Tantra;;;;;;;;;;;;;x
secret_religious_society_gelugpa_desc_REAL;The Gelugpa followers are the majority in Tibet, following the great Dalai Lama. His most devout followers have founded the Masters to teach those beyond the mountains the way of Gelug. Often traveling alone, with nothing but the essential, those people hide the intetion of proselitizing behind many excuses, for many rulers do not appreciate to see the power of the Dalai Lama grow in their land.;;;;;;;;;;;;;x

secret_religious_society_REAL_karmapa;The Red Masters;;;;;;;;;;;;;x
secret_religious_society_karmapa_desc_REAL;While the Gelugpa faith under the Dalai Lama is the more widespread faith in Tibet, the followers of the Red Hat Schools are not far behind. Following the Penchen Lama, many of them choose to travel to enlighten the followers of both Gelugpa and foreign faith, in hopes to end the schism that has brought division on Tibet, and to expand their influence beyond.;;;;;;;;;;;;;x

secret_religious_society_REAL_budaism;The Homeseekers;;;;;;;;;;;;;x
secret_religious_society_vajrayana_desc_REAL;The Homeseekers are traveling monks of the Budaism faith. They proclaim that they are acting like Buda, the founder of the religion. They search for the best places to preach and gain followers to the faith.;;;;;;;;;;;;;x

#########

secret_religion_society_REAL_sikh;Guru Followers;;;;;;;;;x,,,,,,,,,
secret_religion_society_sikh_desc_REAL;The Guru Followers are a secret order that follows the Sikh faith. Members of the Guru Followers can attempt to convert others to the rightful faith, and spread the words of the Guru to all;;;;;;;;;x,,,,,,,,,

secret_religion_society_REAL_parabrahmanist;The Guides of Bhagavanism;;;;;;;;;x,,,,,,,,,
secret_religion_society_parabrahmanist_desc_REAL;The Guides of Bhagavanism are a secret order dedicated to the expansion of the teaching of Bhagavan, not by the sword but through conversion. The Neo-Vedantic and other Indians of different faiths are their primary target, but some even venture beyond the borders of Bharat.;;;;;;;;;x,,,,,,,,,

secret_religion_society_REAL_neovedantic;The Veda Readers;;;;;;;;;x,,,,,,,,,
secret_religion_society_neovedantic_desc_REAL;The Readers travel through indian teaching of peace and contemplation, reading the sacred Vedas to any willing to listen. Their troubled journey can be difficult and dangerous, but those man refuse to let their teachings go unlistened.;;;;;;;;;x,,,,,,,,,

secret_religious_society_REAL_jain;The Harmless;;;;;;;;;;;;;x
secret_religious_society_jain_desc_REAL;Nothing has changed for the Jain follower after the Event: to conquer our inner passions is to become Jina. The Jains take five vows of self-discipline and asceticism in their search of spiritual development. Ahmisa: to love and cause no harm to other living beings. Satya: to always speak the truth. Asteya: to never take that which is not willingly offered. Brahmacharya: to adopt chastity or celibacy. Aparigraha: the renunciation of worldly possessions. To be Jain is to never break such vows, even when doing so is in itself a secret that tries Satya to its very limits.;;;;;;;;;;;;;x

########

secret_religious_society_REAL_jewish;The Ne'emanim;;;;;;;;;;;;;x
secret_religious_society_jewish_desc_REAL;Outside of the borders of Israel, the Ne'emanim still believe in the glory of the great kingdom of God. The Most Loyal keep in touch with each other and are even welcoming to other people that attempt to follow the teachings of God.;;;;;;;;;;;;;x

secret_religious_society_REAL_mikraist;The Chachamim;;;;;;;;;;;;;x
secret_religious_society_mikraist_desc_REAL;While still believing in Orthodox Judaism, the Chachamim support the belief that the King of Israel is not the Messiah promised by God, they believe that the Messianic age has arrived and actively search for the true Messiah of the Jewish people.;;;;;;;;;;;;;x

secret_religious_society_REAL_maaravi;League of Jewish Faithful;;;;;;;;;;;;;x
secret_religious_society_maaravi_desc_REAL;While at first considered part of the same community as Old World Judaism, American Judaism has long split from their Old World brethren due to lack of communication and has evolved very differently over the centuries, mostly rejecting the claim that the Messianic age has arrived, they believe that individual faithful must do their part to make the world ready for the arrival of the Messiah.;;;;;;;;;;;;;x

secret_religious_society_REAL_hasidic;The Hidden Hasidim;;;;;;;;;;;;;x
secret_religious_society_hasidic_desc_REAL;Originating from the Old World, the Hasidic movement has found its home in America and nowadays, holds most of its influence there. As a spiritual revival movement within Judaism, Hasidics are noted for their traditionalism and seclusion, resulting in them being isolated from the rest of America, this self reliance has turned out to be helpful in the long run, as they are easily able to regroup in case disaster strikes.;;;;;;;;;;;;;x

secret_religious_society_REAL_haymanot;The Community of Israel;;;;;;;;;;;;;x
secret_religious_society_haymanot_desc_REAL;A sect of Judaism which developed their own traditions and doctrines, the Haymanot have been viewed as infidels and or heretics by Muslims, Christians and even other Jews. Due to that, they're naturally resilient to religious oppression and hold strong to their own teachings.;;;;;;;;;;;;;x

########

secret_religious_society_REAL_lakefolk_pagan_reformed;Hidden Nestlings;;;;;;;;;;;;;x
secret_religious_society_lakefolk_pagan_reformed_desc_REAL;The people of the Thunderbird, the guardian of seasons, the keeper of eternal balance. Have long been considered heathens by Christians and the like, but their hardy nature keeps them steadfast in their belief, and sometimes form hidden "Nests", whose members are called "Nestlings", hidden communities of Four Guardians faithful to keep their faith strong.;;;;;;;;;;;;;x
secret_religious_society_REAL_lakefolk_pagan;Hidden Nestlings;;;;;;;;;;;;;x
secret_religious_society_lakefolk_pagan_desc_REAL;The people of the Thunderbird, the guardian of seasons, the keeper of eternal balance. Have long been considered heathens by Christians and the like, but their hardy nature keeps them steadfast in their belief, and sometimes form hidden "Nests", whose members are called "Nestlings", hidden communities of Four Guardians faithful to keep their faith strong.;;;;;;;;;;;;;x

secret_religious_society_REAL_americanist;The Freemasons;;;;;;;;;;;;;x
secret_religious_society_americanist_desc_REAL;The true sons of liberty, the free thinking people of America, following the doctrines and philosophies of the founding fathers who built a true bastion of liberty. They have resolved to uphold their values of freedom and liberty even in face of oppression.;;;;;;;;x

secret_religious_society_REAL_baltic_pagan_reformed;The Children of Dievas;;;;;;;;;;;;;x
