secret_religious_society_REAL_palmarian;The Virgin Mary Faithful;;;;;;;;;;;;;x
secret_religious_society_REAL_transatlantic;The Legatine Councilmen;;;;;;;;;;;;;x
secret_religious_society_REAL_cadaverist;The Cadaver Society;;;;;;;;;;;;;x
secret_religious_society_REAL_prussianist;Tradition und Leben;;;;;;;;;;;;;x
secret_religious_society_REAL_baptist;Baptist World Alliance;;;;;;;;;;;;;x
secret_religious_society_REAL_xinjiao;Three-Self Patriotic Movement;;;;;;;;;;;;;x
secret_religious_society_REAL_old_believer;Zealots of Piety;;;;;;;;;;;;;x
secret_religious_society_REAL_calvinist;World Reformed Fellowship;;;;;;;;;;;;;x
secret_religious_society_REAL_jugoslavist;Society of Saint Tito;;;;;;;;;;;;;x
secret_religious_society_REAL_chaldean;Christians of the East;;;;;;;;;;;;;x
secret_religious_society_REAL_nasrini;Syrian Christians of India;;;;;;;;;;;;;x
secret_religious_society_REAL_koptic;The Coptic Faithful;;;;;;;;;;;;;x
secret_religious_society_REAL_anglican;Society of the Sacred Mission;;;;;;;;;;;;;x
secret_religious_society_REAL_high_church;Episcopal Community;;;;;;;;;;;;;x
secret_religious_society_REAL_ursuline;Order of St. Ursula;;;;;;;;;;;;;x
secret_religious_society_REAL_evangelical;The Evangelical Alliance;;;;;;;;;;;;;x
secret_religious_society_REAL_batenburger;The Sword-Minded;;;;;;;;;;;;;x

secret_religious_society_REAL_thelemic_reformed;Her Majesty's Secret Servants;;;;;;;;;;;;;x
secret_religious_society_REAL_summer_queen;The Round Table;;;;;;;;;;;;;x
secret_religious_society_REAL_thelemic;The Hellfire Club;;;;;;;;;;;;;x
secret_religious_society_REAL_nousthreskeia_reformed;The Society of Reason;;;;;;;;;;;;;x
secret_religious_society_REAL_nousthreskeia;The Reasonables;;;;;;;;;;;;;x

secret_religious_society_palmarian_desc_REAL;Before the Event, the Virgin Mary sent a vision to a great Saint of the Palmarian faith, showing him that the home of Christianity was not to be Rome, but El Palmar de Troya. In secret, The Virgin Mary Faithful practice their religion and seek to convert fellow Christians to be followers of the True Pope;;;;;;;;;;;;;x
secret_religious_society_transatlantic_desc_REAL;After a meeting with a representative of a certain Christian Church, a fraction of Palmarians has decided that the Holy See has been relocated again, and is currently located in the fabled 'New Rome' of 'The States', far beyond the Atlantic Ocean. In secret, the Legatine Council seeks to spread the word of the True Pope to the general population;;;;;;;;;;;;;x
secret_religious_society_cadaverist_desc_REAL;Cadaverists are a small heretic sect that believe that one of the last Antedeluvian Popes is not in fact dead, but can still miraculously speak to members of the higher Cadaverist clergy. The Cadaver Society seeks to communicate with the immortal spirit of the Pope;;;;;;;;;;;;;x
secret_religious_society_prussianist_desc_REAL;Prussianism is a heretical branch that grew out of the Lutheran church in east Germany. The Church retains many Christian doctrines,but have added extra doctrines out of step with mainstream Protestantism (and Christianity more generally). They believe that,in addition to the Prophets of old, God later sent a prophet to the Germans,known as 'The Kaiser'. They believe that the Kaiser saved the German people from the assualt of the heretical Pope, who had seceded from the true Church for political reasons, and created the Kaiserreich as the Kingdom of God on Earth.;;;;;;;;;;;;;x
secret_religious_society_baptist_desc_REAL;Born in antiquity, Baptism is a strain of Protestantism that is highly charismatic and vigorous. It believes in believer's baptism, meaning that only adult believers should be baptised, and that by full bodily immersion in water. They reject most of the Catholic sacraments and follow a Congregational model of Church governance.;;;;;;;;;;;;;x
secret_religious_society_xinijao_desc_REAL;In the time since the event chinese protestantism has been relatively isolated from the rest of the Christian world and while yes remaining a undoubtably christian faith has adopted some ideas from older Chinese philosophies and adapted them to suit a Christian faith. For example, these Christians pray to their pious ancestors for guidance in a similar way as the Catholics of the west and believe that their God maintains a Celestial Order to the world. ;;;;;;;;;;;;;x
secret_religious_society_old_believer_desc_REAL;Originating from a pre-Event split within the Russian Orthodox Church, the reasons for the Old Believers' existence is lost in the mists of time. They maintain that the Russian Church, under the influence of the demon Nikon, tried to pervert and destroy Christ's Church, creating the Zarist faith. However, their ancestors escaped into the wild, where they hid until eventually the wrath of God destroyed the apostate Russia, no longer deserving the title of 'Holy'.;;;;;;;;;;;;;x
secret_religious_society_calvinist_desc_REAL;Born before the Event on the mountains of Switzerland, some say from a great sage born in the depth of the Alps, the Calvinist faith has greatly grown after the Event. Under rulers chosen by heaven itself (for no ruler that is not chosen could ever be King of the Calvinists for long) the Calvinist faith is prepared to fight to expand the true Christian way;;;;;;;;;;;;;x
secret_religious_society_jugoslavist_desc_REAL;The youngest of all Christian churches, the Yugoslavist faith was born when the Car of Yugoslavia, hard pressed in keeping his diverse Empire united, made a desperate attempt, calling a great Council of all holy men in his lands, fusing all faiths in his domains in a single religion and forcing them all to accept it or lose their heads.;;;;;;;;;;;;;x
secret_religious_society_chaldean_desc_REAL;The Levant has long been home to several Christian denominations,such as the Assyrian Church, Chaldean Catholics, and Oriental Orthodox. These churches had few or no theological differences, and were mostly distinguished by which Rite they used to celebrate the Liturgy. However, after the Event, these differences no longer seemed as significant as the need for cohesion and survival in the face of societal collapse, and so the Syriac Orthodox and Chaldean Catholic Churches joined together. This 'new' old Church is led by the Patriarch of Antioch and All the East;;;;;;;;;;;;;x
secret_religious_society_nasrini_desc_REAL;First spread to India by Saint Thomas the Apostle over 25 centuries ago, the Nasranis have always been a minority in India. With the chaos of the Event cutting India off from most outside communication,the various Nasrani Churches (both those in communion with the Pope and those in communion with the Eastern Church) united together for the sake of convenience. The example of several holy men has caused the Nasranis to grow in popularity over the last few decades, to the point where they are a majority in a few parts of India,though they are still a minority overall;;;;;;;;;;;;;x
secret_religious_society_koptic_desc_REAL;The Coptic faith is an ancient Christian church, dating back to millennia before the Event according to its practicioners. After the Event, it's still practiced in parts of Africa. While weak, the faith has proved resilient over the centuries, and might still survive beyond the 26th century;;;;;;;;;;;;;x
secret_religious_society_anglican_desc_REAL;Native to antediluvian England, the anglican Church has long since been practically extinct in its homeland. It regards itself as a 'via media' or middle way between Protestantism and Catholicism. Its religious head is the king of England. Though barely extant in the British Isles it is not impossible for it to return to its former glory.;;;;;;;;;;;;;x
secret_religious_society_high_church_desc_REAL;Native to antediluvian England, the Episcopal Church has long since been practically extinct in its homeland. It regards itself as a 'via media' or middle way between Protestantism and Catholicism. Though no longer extant in the British Isles, it survived in Canada and parts of Africa, with local bishops presiding over congregations and powerful local rulers being proclaimed King of England for patronising the Church.;;;;;;;;;;;;;x
secret_religious_society_ursuline_desc_REAL;Externally seeming Catholic, the Ursuline religion came to be when the Catholics of Quebec became isolated from Rome following the Event. What exactly occurred across the Atlantic is not properly known, but time has clearly resulted in some serious deviations from Catholic dogma, as evidenced by their not only permitting women to the priesthood, but barring men from it.;;;;;;;;;;;;;x
