garde#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_title;Title;Title;Title;;Title;;;;;;;;;x
k_title_adj;Title;Title;Title;;Title;;;;;;;;;x
british;Pryton;;;;;;;;;x
wallachian;Muntean;;;;;;;;;;;;;x
transylvanian;Ardelean;;;;;;;;;;;;;x
transnistrian;Transnistrian;;;;;;;;;x,,,,,,,,,
adessite;Brodnici;;;;;;;;;x,,,,,,,,,
romanian;Romana;Romanian;Romanian;;Romanian;;;;;;;;;x
lichtensteiner;Lichtensteiner;Lichtensteiner;Lichtensteiner;;Lichtensteiner;;;;;;;;;x
palmarian;Palmarian;Palmarian;Palmarian;;Palmarian;;;;;;;;;x
romani;Romani;;;;;;;;;x;;;;
lutheran;Liturgical;Liturgical;Liturgical;;Liturgical;;;;;;;;;x
brittannic;Brittannic;Brittannic;Brittannic;;Brittannic;;;;;;;;;x
austrian;Osterreichisch;Austrian;Austrian;;Austrian;;;;;;;;;x
pomoran;Pomorskiy;;;;;;;;;x;;;;
amriqi;Amriqi;;;;;;;;;x;;;;
gallo;Galo;;;;;;;;;x;;;;
macedonian;Makedonask;;;;;;;;;x;;;;
skanian;Skansk;;;;;;;;;x;;;;
belgian;Belgesh;;;;;;;;;x;;;;
luxembourgish;Lexembuergesh;;;;;;;;;;x
aramaic;Turoya;;;;;;;;;;x
egyptian;Egyptian;;;;;;;;;;x
muscovite;Moskvitch;;;;;;;;;x;;;;
pietrovan;Piterskiy;;;;;;;;;x;;;;
swiss;Swisch;;;;;;;;;x
afghan;Pashtun;;;;;;;;;x
traveller;Lucht Siúil;;;;;;;;;x
scots;Scots;;;;;;;;;x
romaniote;Romaniote;;;;;;;;;x
russim;Russim;;;;;;;;;x
parsim;Parsim;;;;;;;;;x
bukharim;Bukharim;;;;;;;;;x
italkim;Italkim;;;;;;;;;x
menashe;Bnei Menashe;;;;;;;;;x
originaires;Originaires;;;;;;;;;x
kipchak;Kipchak Turkic;;;;;;;;;x
karluk;Karluk Turkic;;;;;;;;;x
arghu;Arghu Turkic;;;;;;;;;x
oghuz;Oghuz Turkic;;;;;;;;;x
scouse;Scwusysh;;;;;;;;;x
gorale;Górale;;;;;;;;;x
southener;Swuthyryg;;;;;;;;;x
wolof;Wolof;;;;;;;;;x
mandinka;Mandinka;;;;;;;;;x
provencal;Provençal;;;;;;;;;x
rusyn;Rusyn;;;;;;;;;x
altaic_germanic;Altaic Germanic;;;;;;;;;x
far_east_slavic;Far East Slavic;;;;;;;;;x
bavarian;Bayerisch;Bavarian;Bavarian;;Bavarian;;;;;;;;;x
rheinlander;Rheinisch;;;;;;;;;x
brandenburger;Brandenberger;;;;;;;;;;x
swabian;Schwabisch;Swabian;Swabian;;Swabian;;;;;;;;;x
prussian;Preussisch;Prussian;Prussian;;Prussian;;;;;;;;;x
berliner;Berliner;Berliner;Berliner;;Berliner;;;;;;;;;x
danzigian;Danzigian;Danzigian;Danzigian;;Danzigian;;;;;;;;;x
lietuvininkai;Lietuvininkai;;;;;;;;;x
schleswigvolk;Schleswigvolk;Schleswigvolk;Schleswigvolk;;Schleswigvolk;;;;;;;;;x
germanic;Central Germanic;;;;;;;;;x;
farlander;Farlander;Farlander;Farlander;;Farlander;;;;;;;;;x
french;Métropolitain;;;;;;;;;;;;;x
occitan;Asciton;;;;;;;;;;;;;x
jugoslavi;Jugoslavi;;;;;;;;;x
corsu;Corsu;Corsu;Corsu;;Corsu;;;;;;;;;x
francophone;Français;;;;;;;;;;x
apeninian;Italophone;;;;;;;;;x
sard;Sard;Sard;Sard;;Sard;;;;;;;;;x
sicilian;Sicilano;Sicilian;Sicilian;;Sicilian;;;;;;;;;x
low_german;Plattdüütsch;;;;;;;;;x
saxon;Sassisch;;;;;;;;;;;;;x
castilian;Castellano;Castilian;Castilian;;Castilian;;;;;;;;;x
galician;Galego;Galician;Galician;;Galician;;;;;;;;;x
argonese;Argones;Argonese;Argonese;;Argonese;;;;;;;;;x
andalusian;Andalu;Andalusian;Andalusian;;Andalusian;;;;;;;;;x
asturian;Asturianu;Asturian;Asturian;;Asturian;;;;;;;;;x
extrameduran;Estremeño;Extrameduran;Extrameduran;;Extrameduran;;;;;;;;;x
nord;North Germanic;;;;;;;;;x
islander;Islander;Islander;Islander;;Islander;;;;;;;;;x
slovenian;Slovenski;Slovenian;Slovenian;;Slovenian;;;;;;;;;x
west_german;Weser-Rhine Germanic;;;;;;;;;;x
czech;Cesky;Czech;Czech;;Czech;;;;;;;;;x
ukrainer;Ukraïnska;Ukrainer;Ukrainer;;Ukrainer;;;;;;;;;x
cossack;Kozaky;Cossack;Cossack;;Cossack;;;;;;;;;x
aragonese;Aragones;Aragonese;Aragonese;;Aragonese;;;;;;;;;x
sanmarinese;San Marinese;San Marinese;San Marinese;;San Marinese;;;;;;;;;x
israeli;Israeli;Israeli;Israeli;;Israeli;;;;;;;;;x
yemeni;Yamani;;;;;;;;;x;;;;
omani;'Umani;;;;;;;;;x;;;;
iraqi;'Iraqi;;;;;;;;;x;;;;
hazar;Hazari;;;;;;;;;x;;;;
persian;Farsi;;;;;;;;;x;;;;
kazakh;Batys;;;;;;;;;x;;;;
alagol;Alagoldik;;;;;;;;;x;;;;
ontustani;Ontustani;;;;;;;;;x;;;;
anatolian_group;Anatolian;;;;;;;;;x;;;;
aral_group;Aral;;;;;;;;;x;;;;
old_welsh;Cymraeg Hybarch;;;;;;;;;x;;;;
westlander;Weslander;;;;;;;;;x;;;;
eastlander;Easlander;;;;;;;;;x;;;;
northlander;Norflander;;;;;;;;;x;;;;
bielaruskaja;Bielaruskaja;;;;;;;;;x;;;;
cypriote;Kyprioi;;;;;;;;;x;;;;
khorasani;Hrasany;;;;;;;;;x;;;;
azerbaijani;Azerbaycan;;;;;;;;;x;;;;
kumyk;Kumyk;;;;;;;;;x;;;;
caucasian;Caucasian;;;;;;;;;x;;;;
icelander;Islendingur;;;;;;;;;x;;;;
greenlander;Greenlander;;;;;;;;;x;;;;
saran;Kameeni;;;;;;;;;x;;;;
moldavian;Moldoveneasca;;;;;;;;;x;;;;
nigeren;Nigeren;;;;;;;;;x;;;;
fulani;Fulani;;;;;;;;;x;;;;
tuareg;Tamasheq;;;;;;;;;x;;;;
malian;Malien;;;;;;;;;x;;;;
chechen;Nokhchiy;;;;;;;;;x;;;;
kalmyk;Xal'mgud;;;;;;;;;x;;;;
turkmen;Turkmen;;;;;;;;;x;;;;
sibiran;Zapadno-Sibiriak;;;;;;;;;x;;;;
volgar;Permiak;;;;;;;;;x;;;;
hui;Hui;;;;;;;;;x;;;;
shan;Xigaoshan;;;;;;;;;x;;;;
maltese;Malti;;;;;;;;;x;;;;
tashadian;Tashadi;;;;;;;;;x;;;;
zabbalin;Zabbalin;;;;;;;;;x;;;;
oromo;Oromo;;;;;;;;;x;;;;
sudanese;Sudani;;;;;;;;;x;;;;
misri;Masri;;;;;;;;;x;;;;
moroccan;Maghribi;;;;;;;;;x;;;;
libyan;Libi;;;;;;;;;x;;;;
tunisian;Tunsi;;;;;;;;;x;;;;
algerian;Jaza'iri;;;;;;;;;x;;;;
konjara;Konjara;;;;;;;;;x;;;;
tajik;Tajik;;;;;;;;;x;;;;
uzbek;Uzbek;;;;;;;;;x;;;;
karakalpak;Karakalpak;;;;;;;;;x;;;;
kirghiz;Kirgizskiy;;;;;;;;;x;;;;
english;Old English;;;;;;;;;x;;;;
slovak;Slovensky;;;;;;;;;x;;;;
lativian;Latvietis;;;;;;;;;x;;;;
silesian;Slunska;;;;;;;;;x;;;;
east_sibiran;Vostochno-Sibiriak;;;;;;;;;x;;;;
toubu;Toubu;;;;;;;;;x;;;;
doggerlander;Doggersker;;;;;;;;;x;;;;
barbariyya;Thamazight;;;;;;;;;x;;;;
ulsterite;Ulsterite;;;;;;;;;x;;;;
piemontese;Piemontese;;;;;;;;;x;;;;
tuscanian;Tuscano;;;;;;;;;x;;;;
emilian;Emilano;;;;;;;;;x;;;;
lombard;Lombardo;;;;;;;;;x;;;;
venetian;Veneziano;;;;;;;;;x;;;;
lazian;Laziale;;;;;;;;;x;;;;
neapolitan;Napoletano;;;;;;;;;x;;;;
pugliese;Pugliese;;;;;;;;;x;;;;
east_asian_group;East Asian;;;;;;;;;x;;;;
siamese;Siamese;;;;;;;;;x;;;;
pontian;Póntioi;;;;;;;;;x;;;;
rumca;Rumi;;;;;;;;;x;;;;
kuhjungs;Kuhjung;;;;;;;;;x;;;;
anglo_frisian;Anglo-Frisian;;;;;;;;;x;;;;
old_norman;Anglo-Norman;;;;;;;;;x;;;;
angrezi;Angrezine;;;;;;;;;x;;;;
aeslabh;Firslabh;;;;;;;;;x;;;;
andorran;Andorrà;;;;;;;;;x;;;;
kham;Kham;;;;;;;;;x;;;;
amdo;Amdo;;;;;;;;;x;;;;
u_tsang;U-Tsang;;;;;;;;;x;;;;
bhutanese;Dzongkha;;;;;;;;;x;;;;
griko;Griko;;;;;;;;;x;;;;
north_atlantic;North Atlantic;;;;;;;;;x;;;;
near_eastern;Near Eastern;;;;;;;;;x;;;;
niger_congolese;Niger-Congolese;;;;;;;;;x;;;;
yoruba;Yoruba;;;;;;;;;x;;;;
hausa;Hausa;;;;;;;;;x;;;;
igbo;Igbo;;;;;;;;;x;;;;
congolese;Congolese;;;;;;;;;x;;;;
ket;Ket;;;;;;;;;x;;;;
samoyedic;Samoyedic;;;;;;;;;x;;;;
yakut;Saha;;;;;;;;;x;;;;
yenisean;Yenisean;;;;;;;;;x;;;;
selkup;Selkup;;;;;;;;;x;;;;
nganasan;Nganasane;;;;;;;;;x;;;;
soitoskan;Soitoskane;;;;;;;;;x;;;;
wolgadeutsche;Kasachdeutsche;;;;;;;;;x;;;;
tatarian;Tatarva;;;;;;;;;x;;;;
bashkir;Bashkir;;;;;;;;;x;;;;
west_turkic;West Turkic;;;;;;;;;x;;;;
east_turkic;East Turkic;;;;;;;;;x;;;;
mongolic;Mongolic;;;;;;;;;x;;;;
west_indo_aryan_group;Western Indo-Aryan;;;;;;;;;x;;;;
domari;Domari;;;;;;;;;x;;;;
buryat;Buryaad;;;;;;;;;x;;;;
manx;Manninee;;;;;;;;;x;;;;
evenk;Evenki;;;;;;;;;x;;;;
novorusskiy;Novyy Russkiy;;;;;;;;;x;;;;
montenegrin;Crnogorci;;;;;;;;;x;;;;
faroyingar;Faroyingar;;;;;;;;;x;;;;
low_bhutanese;Low Dzongkha;;;;;;;;;x;;;;
aigionoi;Aigionoi;;;;;;;;;x;;;;
sazzac;Sazzac;;;;;;;;;x;;;;
koryo_saram;Koryo-Saram;;;;;;;;;x;;;;
korean_group;Koreanic;;;;;;;;;x;;;;
gothic;Gotsk;;;;;;;;;;x;;;
kyolish;Kjolsk;;;;;;;;;;x;;;
klynian;Klynska;;;;;;;;;;;;;x
frencig;Frencig;;;;;;;;;;;;;x
bengali;Bangla;;;;;;;;;;;;;x
assamese;Asamiya;;;;;;;;;;;;;x
panjabi;Panjabi;;;;;;;;;;;;;x
assyrian;Suraya;;;;;;;;;;;;;x
kurdish;Kurdi;;;;;;;;;;;;;x
lytsvin;Lytsvinskaja;;;;;;;;;;;;;x
somali;Soomaal;;;;;;;;;;;;;x
polish;Malopolska;;;;;;;;;;;;;x
mazovian;Mazowiecka;;;;;;;;;;;;;x
greater_polish;Wielkopolska;;;;;;;;;;;;;x
croatian;Hrvatski;;;;;;;;;;x;;;
serbian;Srpski;;;;;;;;;;x;;;
bulgarian;Bulgarski;;;;;;;;;;;x;;
hungarian;Magyar;;;;;;;;;;;;x;
lithuanian;Lietuvis;;;;;;;;;;x;;;
prussian;Preussisch;;;;;;;;;;x;;;
ethiopian;Itiyopiyawai;;;;;;;;;;;;x;
bedouin_arabic;Badawi;;;;;;;;;;x;;;
hejazi;Hijazi;;;;;;;;;;x;;;
levantine_arabic;Shami;;;;;;;;;;x;;;
greek;Hellene;;;;;;;;;;x;;;
alan;Alan;;;;;;;;;;x;;;
georgian;Kartuli;;;;;;;;;;x;;;
irish;Éireannaigh;;;;;;;;;;x;;;
scottish;Gàidheil;;;;;;;;;;x;;;
welsh;Welsh;;;;;;;;;;x;;;
breton;Breton;;;;;;;;;;x;;;
basque;Euskara;;;;;;;;;;x;;;
castillan;Castilian;;;;;;;;;;x;;;
catalan;Català;;;;;;;;;;x;;;
khaliji;Khaleeji;;;;;;;;x;;;
portuguese;Portugues;;;;;;;;;;x;;;
armenian;Hay;;;;;;;;;;x;;;
dutch;Nederlander;;;;;;;;;;x;;;
swedish;Svealanning;;;;;;;;;;x;;;
norwegian;Norsk;;;;;;;;;;x;;;
danish;Dansk;;;;;;;;;;x;;;
german;Deutsche;;;;;;;;;;x;;;
turkish;Turk;;;;;;;;;;x;;;
coptic;Kubti;;;;;;;;;x;;;;
bosnian;Bosanski;;;;;;;;;x;;;;
farlander;Farlander;;;;;;;;;x;;;;
finnish;Suomalainen;;;;;;;;;;x;;;
ugricbaltic;Eestlane;;;;;;;;;;x;;;
