ADONAI;Adonai;;;;;;;;;x,,,,,,,,,,,,,
ahmadiyya;Ahmadi;;;;;;;;;x,,,,,,,,,,,,,
THE_KNIJGA;The Knijga;;;;;;;;;x,,,,,,,,,,,,,
THE_TALES;The Tales;;;;;;;;;x,,,,,,,,,,,,,
ahmadiyya_DESC;A form of Islam native to the Indian subcontinent. Ahmadi Muslims believe that a messianic figure known as the Mahdi, named Ahmad, came down to India before the Event, announcing that the people must repent and turn back to the True Islam, or else be destroyed. To those who accepted him he showed the new way of peace, and proclaimed that Islam would no longer be spread by the sword, but by more peaceful means. To those who rejected him, he issued condemnations. The Event then fell upon the people for their lack of faith, while the chosen people remained safe, hidden from the wrath. Now, under the guidance of their Caliph, the Ahmadiyya go forth once again, to preach the religion of peace to every corner of the ruined world.;;;;;;;;;x,,,
AL_FAQIH;al-Faqih;;;;;;;;;x,,,,,,,,,,,,,
d_americanist_reformed_adj;Allied;;;;;;;;;;;;;x
d_americanist_reformed;Alliance;;;;;;;;;;;;;x
SUPREME_COMMANDER;Supreme Allied Commander;;;;;;;;;;;;;x
bahai;Baha'i;;;;;;;;;x,,,,,,,,,,,,,
bahai_DESC;The Baha'i religion preaches in favor of the establishment of world peace, equality, and emphasises the unity of all people and religions. The faith derives from the teachings of Baha'u'llah, a pre-event Persian, though following the Event much information on his life has been lost.;;;;;;;;;x,,,,,,,,
baptist;Baptist;;;;;;;;;x,,,,,,,,,,,,,
baptist_DESC;Born in antiquity, Baptism is a strain of Protestantism that is highly charismatic and vigorous. It believes that only adult believers should be baptised, and that too by full bodily immersion in water. They reject most of the Catholic sacraments and follow a Congregational model of Church governance. Baptists after the Event are isolated from their homeland in America, and mostly exist as religious minorities throughout the Old World. In the northeastern region of India, where they have become a majority, they form powerful armies to defend their freedom of religion.;;;;;;;;;x,,,,,,,,
bezpopotvsy;Bezpopotvsy;;;;;;;;;x,,,,,,,,,,,,,
bezpopotvsy_DESC;The Bezpopotvsy faith is the descendant of various schisms of the Old Believer faith. After the Event, those various schism formed a loose organization of temples that pray without priests. Tending to be extremely insular, the Bezpopotvsy faith is rare to see outside of small villages.;;;;;;;;;x,,,,,
BHAGAVAD_GITA;The Bhagavad Gita;;;;;;;;;x,,,,,,,,,,,,,
BOARD_MEMBER;Board Member;;;;;;;;;x,,,,,,,,,,,,,
brethren;Sea Creed;;;;;;;;;x,,,,,,,,,,,,,
brethren_DESC;The Sea Creed faith is more a loose group of superstitions from the Atlantic and the Mediterranean. The corsairs of those seas hold together their crews through the fear inspired by the risks of going against the Code of the Sea, and of course against their ruler. Most rulers turn a blind eye on the acts and rituals of the Sea Creed, especially because the Corsairs bring in a fair profit.;;;;;;;;;x,,,,,,,,,,,
buddhist_group;Buddhist;;;;;;;;;x,,,,,,,,,,,,,
calvinist;Calvinist;Calvinist;Calvinist;;Calvinist;;;;;;;;;x,,,,,,,,,,,,,
calvinist_DESC;Born before the Event on the mountains of Switzerland, some say from a great sage born in the depth of the Alps, the Calvinist faith has greatly grown after the Event. Under rulers chosen by heaven itself (for no ruler that is not chosen could ever be King of the Calvinists for long) the Calvinist faith is prepared to fight to expand the true Christian way.;;;;;;;;;x,,,,,,,,,,,
catholic_DESC;Surviving through the Event, like it did through so many other crises great and small, the Catholic faith however did not come out unscathed. Once the faith of almost all of Europe, now Catholicism survives divided, surrounded by new faiths, some claiming to be the true Christian faith and some swearing to destroy it. The remaining Catholics have to hold together, or be destroyed.;;;;;;;;;x,,,,,,
celtic_pagan;Draíochta;;;;;;;;;x,,,,,,,,,,,,,
celtic_pagan_DESC;A ancient faith first truly revived on the Aran islands of Ireland. While not a direct succesor it has survived somewhat in the background of Ireland's long christianisation. It worships the spirits which inhabit all places in the world having returned from the otherworld where they were banished by the Christian Saint Patrick. The event destroyed the barriers he put in place allowing the spirits to return once again. Of perticular worship are water spirits as they give life, the ruler of these fae is Lir, Old King of the Sea and his Swan children.;;;;;;;;;x,,,,,,,,
celtic_pagan_reformed;Draíochta Nua;;;;;;;;;x,,,,,,,,,,,,,
celtic_pagan_reformed_DESC;A ancient faith first truly revived on the Aran islands of Ireland. While not a direct succesor it has survived somewhat in the background of Ireland's long christianisation. It worships the spirits which inhabit all places in the world having returned from the otherworld where they were banished by the Christian Saint Patrick. The event destroyed the barriers he put in place allowing the spirits to return once again. Of perticular worship are water spirits as they give life, the ruler of these fae is Lir, Old King of the Sea and his Swan children. Now that the faith has been reformed it is impossible to say the direction it will take;;;;;;;;;x,,,,,,,,,,
GOD_WATER_FAE;The Water Fae;;;;;;;;;x,,,,,,,,,,,,,
GOD_THE_4_SWANS;The four Swans;;;;;;;;;x,,,,,,,,,,,,,
GOD_EARTH_FAE;The Ground Fae;;;;;;;;;x,,,,,,,,,,,,,
GOD_FAE;The Fae;;;;;;;;;x,,,,,,,,,,,,,
GOD_SAINT_PATRICK;Saint Patrick;;;;;;;;;x,,,,,,,,,,,,,
GOD_LIR;Lir King of the Sea;;;;;;;;;x,,,,,,,,,,,,,
THE_FAE_LORE;The Lore of the Mounds;;;;;;;;;x,,,,,,,,,,,,,
#############
fraticelli;Neo-Fraticelli;;;;;;;;;x,,,,,,,,,,,,,
fraticelli_DESC;The Fraticelli, or 'New Little Brethren', is a Catholic heresy that was inspired by records of a medieval heresy of the same name. It is devoted to poverty and asceticism - especially for men of the cloth. Fraticelli heretics are violently opposed to Church wealth and displays of opulence.;;;;;;;;;x,,,,,,,,,,,,,
#############
marblists;Marblists;;;;;;;;;x,,,,,,,,,,,,,
marblists_DESC;Legends tell that during the rule of the Romans the great emperor Constantine was blessed by God and made into his Holy emperor, many stories are told about this holy figure: some say that he united the entire roman world under his rule After decades of division, other say that he sacrificed himself to save the people of God from the ravenous Turks but one thing Is clear beyond dispute on the day of his death the angels of the Lord turned him into a statue of marble and hid him into the depth of the city of Constantinople so that in the final days of the world he could awaken once more to lead the people of god into salvation as their blessed and immortal emperor.;;;;;;;;;x,,,,,,,,,,,,,
MARBLE_EMPEROR;The Marble Emperor;;;;;;;;;x,,,,,,,,,,,,,
e_marblists;Marble Empire;;;;;;;;;x,,,,,,,,,,,,,
e_marblists_adj;Marblist;;;;;;;;;x,,,,,,,,,,,,,
#############
neo_donatists;Neo-Donatists;;;;;;;;;x,,,,,,,,,,,,,
neo_donatists_DESC;This sect believes that the Armageddon has come and the people of the world have been found lapse and unworthy of ascension, that all of the people of the earth are stained by their sins and have been abandoned by God. The theology of this heresy ponders the implications of the event that destroyed the world of men identifying It, as many Christians did, with the Last Judgement but in particular, this branch of the orthodox faithful asked themself why if the apocalypse came to the world haven't the dead been resurrected and the rightful called at the right of the Father. There are different interpretations of why this happened: some believe that during the Event the apocalypse happened in full, the dead were revived and the children of God judged and that thus what is called world today is nothing but one of the tortures of hell. Others believe that the event has only heralded the apocalypse and the only reason why the dead haven't been resurrected Is that the Earth was so full of sin that God rebuked it and that thus the world exists as a limbo between the Judgement of God and the damnation of Hell.;;;;;;;;;x,,,,,,,,,,,,,
THE_THEOTOKOS;The Theotokos;;;;;;;;;x,,,,,,,,,,,,,
THE_SINS_MANKIND;The Sins of Mankind;;;;;;;;;x,,,,,,,,,,,,,
#############
lakefolk_pagan;Four Guardians;;;;;;;;;x,,,,,,,,,,,,,
lakefolk_pagan_DESC;A post event religion from across the Atlantic and near the Great Lakes, this faith has a deep connection to the cycles of the world and it's natural power. Principally there are only 5 truly divine beings in it's cosmology, those being the 5 Thunderbirds. The 4 lesser Birds ruling over each of the 4 winds and the greater Thunderbird as their father ruling over all of creation. The 4 seasons of the year are ruled by 4 demi-gods, those being, Paul Bunyan the sower of spring, Minne the mistress of the great river, Jack O'Lantern the headless the bringer of fall and Father Christmas who both rules winter and delivers the child. The Child being a representation of the new year being born following the battle between King Boreas and Vulcanus Rex.;;;;;;;;;x,,,,,,,,
lakefolk_pagan_reformed;Reformed Four Guardians;;;;;;;;;x,,,,,,,,,,,,,
lakefolk_pagan_reformed_DESC;A post event religion from across the Atlantic and near the Great Lakes, this faith has a deep connection to the cycles of the world and it's natural power. Principally there are only 5 truly divine beings in it's cosmology, those being the 5 Thunderbirds. The 4 lesser Birds ruling over each of the 4 winds and the greater Thunderbird as their father ruling over all of creation. The 4 seasons of the year are ruled by 4 demi-gods, those being, Paul Bunyan the sower of spring, Minne the mistress of the great river, Jack O'Lantern the headless the bringer of fall and Father Christmas who both rules winter and delivers the child. The Child being a representation of the new year being born following the battle between King Boreas and Vulcanus Rex. Now that the faith has been reformed it is impossible to say the direction it will take;;;;;;;;;x,,,,,,,,,,
THE_GREAT_BIRD;The Great Thunder Bird;;;;;;;;;x,,,,,,,,,,,,,
THE_NORTHERN_BIRD;The Northern Thunder Bird;;;;;;;;;x,,,,,,,,,,,,,
THE_WESTERN_BIRD;The Western Bird;;;;;;;;;x,,,,,,,,,,,,,
THE_EASTERN_BIRD;The Eastern Bird;;;;;;;;;x,,,,,,,,,,,,,
THE_SOUTHERN_BIRD;The Southern Bird;;;;;;;;;x,,,,,,,,,,,,,
THE_CHILD;The Child;;;;;;;;;x,,,,,,,,,,,,,
FATHER_CHRISTMAS;Father Christmas;;;;;;;;;x,,,,,,,,,,,,,
MINNE;Lady Minne;;;;;;;;;x,,,,,,,,,,,,,
PAUL_BUNYAN;Paul Bunyan the sower;;;;;;;;;x,,,,,,,,,,,,,
JACK_O_LANTERN;Jack O'Lantern the headless;;;;;;;;;x,,,,,,,,,,,,,
VULCANUS_REX;Vulcanus Rex;;;;;;;;;x,,,,,,,,,,,,,
KING_BOREAS;King Boreas;;;;;;;;;x,,,,,,,,,,,,,
LADY_MINNE_SERVANTS;Lady Minne's Servants;;;;;;;;;x,,,,,,,,,,,,,
ELDER;Elder;;;;;;;;;x,,,,,,,,,,,,,
HEAD_ELDER;High Elder;;;;;;;;;x,,,,,,,,,,,,,
d_lakefolk_pagan_reformed;Thunderbird's Nest;;;;;;;;;x,,,,,,,,,,,,,
d_lakefolk_pagan_reformed_adj;Thunderbird;;;;;;;;;x,,,,,,,,,,,,,
#######
inuit_pagan;Tatik;;;;;;;;;x,,,,,,,,,,,,,
