e_commonwealth;Commonwealth;Commonwealth;Commonwealth;;Commonwealth;;;;;;;;;x
e_commonwealth_adj;Commonwealth;Commonwealth;Commonwealth;;Commonwealth;;;;;;;;;x
e_ottoman;Ottoman;Ottoman;Ottoman;;Ottoman;;;;;;;;;x
e_ottoman_adj;Ottoman;Ottoman;Ottoman;;Ottoman;;;;;;;;;x
e_yugoslavia;Yugoslavia;Yugoslavia;Yugoslavia;;Yugoslavia;;;;;;;;;x
e_yugoslavia_adj;Yugoslavian;Yugoslaviaien;Yugoslaviaier;;Yugoslaviaiano;;;;;;;;;x
e_benelux;Benelux;Benelux;Benelux;;Benelux;;;;;;;;;x
e_benelux_adj;Beneluxian;Beneluxien;Beneluxier;;Beneluxiano;;;;;;;;;x
e_al-andalus;Al-Andalus;;;;;;;;;;;;;x
e_al-andalus_adj;Andalusian;;;;;;;;;;;;;x
e_prussia;Greater Prussia;;;;;;;;;;;;;x
e_prussia_adj;Greater Prussian;;;;;;;;;;;;;x
e_european_union;European Union;;;;;;;;;x
e_european_union_adj;European;;;;;;;;;x
e_austria_romaia;Austria-Romaia;;;;;;;;;x
e_austria_romaia_adj;Austro-Romani;;;;;;;;;x
e_austria_hungary;Austria-Hungary;;;;;;;;;x
e_austria_hungary_adj;Austro-Hungarian;;;;;;;;;x
#Set via decision
e_hungary_austria_dummy;xxxx;;;;;;;;;x
EMPIRE_HUNGARY_AUSTRIA;Hungary-Austria;;;;;;;;;x
EMPIRE_HUNGARY_AUSTRIA_ADJ;Hungaro-Austrian;;;;;;;;;x
e_austria_hungary_dummy;xxxx;;;;;;;;;x
EMPIRE_AUSTRIA_HUNGARY;Austria-Hungary;;;;;;;;;x
EMPIRE_AUSTRIA_HUNGARY_ADJ;Austro-Hungarian;;;;;;;;;x
k_title;Title;Title;Title;;Title;;;;;;;;;x
k_title_adj;Title;Title;Title;;Title;;;;;;;;;x
d_marmara;Marmara;;;;;;;;;x
d_marmara_adj;Marmara;;;;;;;;;x
d_zurichgau;Zurichgau;Zurichgau;Zurichgau;;Zurichgau;;;;;;;;;x
ELDER;Elder;Elder;Elder;;Elder;;;;;;;;;x
ELDER_FOA;Your Eminence;Your Eminence;Your Eminence;;Your Eminence;;;;;;;;;x
COUNCIL_PRESIDENT;Council President;Council President;Council President;;Council President;;;;;;;;;x
COUNCIL_PRESIDENT_FOA;Your Holiness;Your Holiness;Your Holiness;;Your Holiness;;;;;;;;;x
CHAIRMAN;Chairman;;;;;;;;;x
ROMANIRAJ;Romaniraj;;;;;;;;;x
CHAIRMAN_FOA;Great Leader;;;;;;;;;x
LIEUTENANT_GENERAL;Lieutenant-General;;;;;;;;;x
LIEUTENANT_GENERAL_FOA;General;;;;;;;;;x
GENERAL_COMISSAR;General-Comissar;;;;;;;;;x
GENERAL_COMISSAR_FOA;Great Leader;;;;;;;;;x
HEADMASTER;Headmaster;;;;;;;;;x
HEADMASTER_FOA;Your Enlightenedness;;;;;;;;;x
CITIZEN_FOA;Comrade;;;;;;;;;x
DRAGON_EMPEROR;Dragon Emperor;;;;;;;;;x
DRAGON_EMPEROR_FEMALE;Dragon Empress;;;;;;;;;x
DRAGON_EMPEROR_FOA;Your Draconic Majesty;;;;;;;;;x
DRAGON_KING;Dragon King;;;;;;;;;x
DRAGON_KING_FEMALE;Dragon Queen;;;;;;;;;x
LIEUTENANT-COLONEL;Lieutenant-Colonel;;;;;;;;;x
LIEUTENANT-COLONEL_FOA;Your Majesty;;;;;;;;;x
DIRECTOR;Director;;;;;;;;;x
DIRECTOR_FOA;Mr.;;;;;;;;;x
CAPTAIN-LIEUTENANT;Captain-Lieutenant;Captain-Lieutenant;Captain-Lieutenant;;Captain-Lieutenant;;;;;;;;;x
