novelist1001Title;A Quiet Front;;;;;;;;;x
novelist1001Desc;[From.GetBestName] died in battle, sad...;;;;;;;;;x
EVTOPTA_novelist1001;All was quiet on the western front, uh?;;;;;;;;;x
EVTOPTB_novelist1001;One death is a tragedy, two thousands a statistic.;;;;;;;;;x
EVTOPTC_novelist1001;It is just as much a matter of chance that I am still alive as that I might have been hit.;;;;;;;;;x
EVTOPTD_novelist1001;Death is not an adventure to those who stand face to face with it.;;;;;;;;;x
novelist1100Title;Beauty and the Beast;;;;;;;;;x
novelist1100Desc;Rumors about the beast, peasant wants his dauther back...;;;;;;;;;x
EVTOPTA_novelist1100;Just the job for me!;;;;;;;;;#Only hunter
EVTOPTB_novelist1100;I could try to find it...;;;;;;;;;#Not hunter, almost always fail
EVTOPTC_novelist1100;I'm happy without observing legendary beasts.;;;;;;;;;x
EVTOPTD_novelist1100;Stupid peasants and their stupid problems!;;;;;;;;;x
EVTOPTA_novelist1100_tooltip;You will begin to search for the castle of the Beast.;;;;;;;;;x
novelist1101Desc;Greedy old man wants gold to tell you the way...;;;;;;;;;x
EVTOPTA_novelist1101;Take my gold and lead me!;;;;;;;;;x
EVTOPTB_novelist1101;Oh, I'm sure you will tell me...;;;;;;;;;#Cruel only
EVTOPTC_novelist1101;Telling me the way would save a girl.;;;;;;;;;#High diplomacy only
EVTOPTD_novelist1101;I can't afford something like this right now.;;;;;;;;;x
beauty_and_the_beast_lead;The old man will lead you to the castle.;;;;;;;;;x
novelist1105Desc;Spent days searching, no result...;;;;;;;;;x
EVTOPTA_novelist1105;I will find it, because I want to find it.;;;;;;;;;#Stubborn only
EVTOPTB_novelist1105;Putting in a little more effort can't hurt.;;;;;;;;;#Diligent only
EVTOPTC_novelist1105;[Root.Religion.GetRandomGodNameCap], show me the way!;;;;;;;;;#Zealous only
EVTOPTD_novelist1105;Unfourtunate.;;;;;;;;;x
beauty_and_the_beast_continue_searching;You will continue to search.;;;;;;;;;x
novelist1106Desc;Spent even more days searching, still no result...;;;;;;;;;x
EVTOPTA_novelist1106;All these effort for nothing.;;;;;;;;;x
novelist1110Desc;Arrived at the castle, still outside...;;;;;;;;;x
EVTOPTA_novelist1110;And finally, we will meet.;;;;;;;;;x
EVTOPTB_novelist1110;There must be another door to this building...;;;;;;;;;#High intrigue only
EVTOPTC_novelist1110;This is my last chance to leave...;;;;;;;;;x
EVTOPTA_novelist1110_tooltip;You will enter the castle.;;;;;;;;;x
EVTOPTB_novelist1110_tooltip;You will sneak into the castle.;;;;;;;;;x
novelist1111Desc;Sneak in, see the beast, but he don't see you...;;;;;;;;;x
EVTOPTA_novelist1111;He doens't expect me now...;;;;;;;;;x
EVTOPTB_novelist1111;This creature is harmless, I shall spare it.;;;;;;;;;x
beauty_and_the_beast_continue_attack;You will attack the Beast.;;;;;;;;;x
novelist1112Desc;Just went inside, beast try to explain...;;;;;;;;;x
EVTOPTA_novelist1112;What's the matter, Beast, too kind and gentle to fight back?;;;;;;;;;x
EVTOPTB_novelist1112;Please listen, keeping that girl here isn't right.;;;;;;;;;#High learning only
EVTOPTC_novelist1112;Such an inteligent and nice creature, I shall leave him alone.;;;;;;;;;#Kind only
EVTOPTB_novelist1112_tooltip;You will try to convince the Beast.;;;;;;;;;x
novelist1112Desc;Convinced the beast with theology and logic to let Belle free, end...;;;;;;;;;x
EVTOPTA_novelist1113;Nobody debates like [Root.GetFirstName]!;;;;;;;;;x
novelist1114Desc;Die in duel, end...;;;;;;;;;x
EVTOPTA_novelist1114;...and they live happily ever after?;;;;;;;;;x
novelist1115Desc_A;Win the duel, kill the beast, Belle is free...;;;;;;;;;x
novelist1115Desc_A;Attacked by surprise, still has a small fight, kill the beast, Belle is free...;;;;;;;;;x
EVTOPTA_novelist1115_A;Nobody fights like [Root.GetFirstName]!;;;;;;;;;x
EVTOPTA_novelist1115_B;Nobody sneaks like [Root.GetFirstName]!;;;;;;;;;x
beast_slayer_bloodline;Blood of the Beast Slayer;;;;;;;;;x
beast_slayer_bloodline_desc;Killing the Beast and saving Belle, made [This.GetTitledFirstName] one of the most respected warriors of [This.GetHerHis] age.;;;;;;;;;x
head_of_the_beast;Head of the Beast;;;;;;;;;x
head_of_the_beast;This is the head of the Beast, slain by [OriginalOwner.GetBestName].;;;;;;;;;x
