EVTDESCAPIR500;As your companions pack your ships with the loot from [From.GetName], a young marauder comes to you. He tells you that he spotted a great spot to build a pirate den. Plenty of your other warriors want to stay here and continue ravaging the land after the rest of you return home.;;;;;;;;;;;;;x,,,,,,
EVTOPTAPIR500;Just keep the wine cold until my next visit.;;;;;;;;;;;;;x,,,,,,
EVTOPTBPIR500;We need to move on.;;;;;;;;;;;;;x,,,,,,
TOOLTIP_EVTOPTAPIR500;A pirate den will be built in [scoped_province.GetName].;;;;;;;;;;;;;x,,,,,,
EVTDESCAPIR501;You are preparing to move on from [From.GetName] to the next settlement, when a [character_to_join_pirates.GetManWoman] runs past your guards to speak with you. [character_to_join_pirates.GetSheHeCap] explains that [character_to_join_pirates.GetSheHe] wants to join your forces and live like you. Some of your warriors start to smile behind [character_to_join_pirates.GetHerHim] as [character_to_join_pirates.GetSheHe] clearly doesn't know how hard your lives are.;;;;;;;;;;;;;x,,,,,,
EVTOPTAPIR501;Welcome to the team!;;;;;;;;;;;;;x,,,,,,
EVTOPTBPIR501;You can come with us... as a prisoner.;;;;;;;;;;;;;x,,,,,,
EVTOPTCPIR501;Lead this fool back to [character_to_join_pirates.GetHerHis] people.;;;;;;;;;;;;;x,,,,,,
fort_pirate_den_1;Small Pirate Den;;;;;;;;;;;;;x,,,,,,
fort_pirate_den_2;Pirate Den;;;;;;;;;;;;;x,,,,,,
fort_pirate_den_3;Large Pirate Den;;;;;;;;;;;;;x,,,,,,
fort_pirate_den_desc;This is a shady place where pirates gather.;;;;;;;;;;;;;x,,,,,,
